wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"0.9447477414941758"
L,ptrel,central,5,0,2.5,30,50,0,1,"0.9877010552747759"
L,ptrel,central,5,0,2.5,50,70,0,1,"0.9663705891136832"
L,ptrel,central,5,0,2.5,70,100,0,1,"0.9533422543891232"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9522300580081053"
L,ptrel,central,5,0,2.5,140,200,0,1,"0.9672107350185399"
L,ptrel,central,5,0,2.5,200,300,0,1,"0.9423059042938883"
L,ptrel,central,5,0,2.5,300,600,0,1,"0.9685645126092517"
L,ptrel,central,5,0,2.5,600,1000,0,1,"0.9074532047747546"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.8880976115656845"
L,ptrel,down,5,0,2.5,30,50,0,1,"0.9314981059369002"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.9122706390748071"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.8980097113064095"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.8860538045731735"
L,ptrel,down,5,0,2.5,140,200,0,1,"0.9241721794410005"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.8714671761339883"
L,ptrel,down,5,0,2.5,300,600,0,1,"0.8583273700636032"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.8502541935141308"
L,ptrel,down_bdecay,5,0,2.5,20,30,0,1,"0.9411400236415596"
L,ptrel,down_bdecay,5,0,2.5,30,50,0,1,"0.9884742687053729"
L,ptrel,down_bdecay,5,0,2.5,50,70,0,1,"0.9660718819807715"
L,ptrel,down_bdecay,5,0,2.5,70,100,0,1,"0.9521839739743754"
L,ptrel,down_bdecay,5,0,2.5,100,140,0,1,"0.954340490108823"
L,ptrel,down_bdecay,5,0,2.5,140,200,0,1,"0.9666847701400088"
L,ptrel,down_bdecay,5,0,2.5,200,300,0,1,"0.9375048001099624"
L,ptrel,down_bdecay,5,0,2.5,300,600,0,1,"0.9753475053682357"
L,ptrel,down_bdecay,5,0,2.5,600,1000,0,1,"0.9068307346437905"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"0.9417200294302339"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"0.9857026755213051"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9649960446423275"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9519377878014088"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9500379943237625"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"0.9654888067678302"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"0.9478566584208303"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"0.9781619244188089"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.9066286075015292"
L,ptrel,down_btempcorr,5,0,2.5,20,30,0,1,"0.9498758520962343"
L,ptrel,down_btempcorr,5,0,2.5,30,50,0,1,"0.989414611370429"
L,ptrel,down_btempcorr,5,0,2.5,50,70,0,1,"0.9713104872768886"
L,ptrel,down_btempcorr,5,0,2.5,70,100,0,1,"0.9501137415792966"
L,ptrel,down_btempcorr,5,0,2.5,100,140,0,1,"0.9454736667453796"
L,ptrel,down_btempcorr,5,0,2.5,140,200,0,1,"0.9567891112185463"
L,ptrel,down_btempcorr,5,0,2.5,200,300,0,1,"0.9267587334137874"
L,ptrel,down_btempcorr,5,0,2.5,300,600,0,1,"0.9201362869787891"
L,ptrel,down_btempcorr,5,0,2.5,600,1000,0,1,"0.8966069790980798"
L,ptrel,down_gluonsplitting,5,0,2.5,20,30,0,1,"0.9475162827835083"
L,ptrel,down_gluonsplitting,5,0,2.5,30,50,0,1,"0.9881453086962586"
L,ptrel,down_gluonsplitting,5,0,2.5,50,70,0,1,"0.9668097205817432"
L,ptrel,down_gluonsplitting,5,0,2.5,70,100,0,1,"0.9545017434522514"
L,ptrel,down_gluonsplitting,5,0,2.5,100,140,0,1,"0.9528011330224868"
L,ptrel,down_gluonsplitting,5,0,2.5,140,200,0,1,"0.9639545917846177"
L,ptrel,down_gluonsplitting,5,0,2.5,200,300,0,1,"0.9353047710246403"
L,ptrel,down_gluonsplitting,5,0,2.5,300,600,0,1,"0.959678902066902"
L,ptrel,down_gluonsplitting,5,0,2.5,600,1000,0,1,"0.9172498835532614"
L,ptrel,down_jes,5,0,2.5,20,30,0,1,"0.897510354419467"
L,ptrel,down_jes,5,0,2.5,30,50,0,1,"0.9383160025110371"
L,ptrel,down_jes,5,0,2.5,50,70,0,1,"0.9180520596579991"
L,ptrel,down_jes,5,0,2.5,70,100,0,1,"0.9056751416696671"
L,ptrel,down_jes,5,0,2.5,100,140,0,1,"0.9046185551077001"
L,ptrel,down_jes,5,0,2.5,140,200,0,1,"0.9652827212105884"
L,ptrel,down_jes,5,0,2.5,200,300,0,1,"0.9509276154804647"
L,ptrel,down_jes,5,0,2.5,300,600,0,1,"1.0213245867558465"
L,ptrel,down_jes,5,0,2.5,600,1000,0,1,"0.9148289199779371"
L,ptrel,down_jetaway,5,0,2.5,20,30,0,1,"0.933860854684843"
L,ptrel,down_jetaway,5,0,2.5,30,50,0,1,"0.9680935716236239"
L,ptrel,down_jetaway,5,0,2.5,50,70,0,1,"0.9530278887086285"
L,ptrel,down_jetaway,5,0,2.5,70,100,0,1,"0.944623188050642"
L,ptrel,down_jetaway,5,0,2.5,100,140,0,1,"0.97189170990104"
L,ptrel,down_jetaway,5,0,2.5,140,200,0,1,"0.9495021625606987"
L,ptrel,down_jetaway,5,0,2.5,200,300,0,1,"0.9915095020314602"
L,ptrel,down_jetaway,5,0,2.5,300,600,0,1,"0.9269927606631929"
L,ptrel,down_jetaway,5,0,2.5,600,1000,0,1,"0.8815442729898215"
L,ptrel,down_l2c,5,0,2.5,20,30,0,1,"0.9388344994898452"
L,ptrel,down_l2c,5,0,2.5,30,50,0,1,"0.985063976753418"
L,ptrel,down_l2c,5,0,2.5,50,70,0,1,"0.9657356559968284"
L,ptrel,down_l2c,5,0,2.5,70,100,0,1,"0.9556456795048818"
L,ptrel,down_l2c,5,0,2.5,100,140,0,1,"0.9574385108975606"
L,ptrel,down_l2c,5,0,2.5,140,200,0,1,"0.972706551032082"
L,ptrel,down_l2c,5,0,2.5,200,300,0,1,"0.9336145113037932"
L,ptrel,down_l2c,5,0,2.5,300,600,0,1,"0.9866552337155727"
L,ptrel,down_l2c,5,0,2.5,600,1000,0,1,"0.88219854232974"
L,ptrel,down_ltempcorr,5,0,2.5,20,30,0,1,"0.9550336418020641"
L,ptrel,down_ltempcorr,5,0,2.5,30,50,0,1,"0.9993172871335638"
L,ptrel,down_ltempcorr,5,0,2.5,50,70,0,1,"0.9773370358542066"
L,ptrel,down_ltempcorr,5,0,2.5,70,100,0,1,"0.964267834117629"
L,ptrel,down_ltempcorr,5,0,2.5,100,140,0,1,"0.9619050944550537"
L,ptrel,down_ltempcorr,5,0,2.5,140,200,0,1,"0.9827898807843738"
L,ptrel,down_ltempcorr,5,0,2.5,200,300,0,1,"0.9594946497315976"
L,ptrel,down_ltempcorr,5,0,2.5,300,600,0,1,"1.0043289614666824"
L,ptrel,down_ltempcorr,5,0,2.5,600,1000,0,1,"0.9172303874640728"
L,ptrel,down_mudr,5,0,2.5,20,30,0,1,"0.9593694713315924"
L,ptrel,down_mudr,5,0,2.5,30,50,0,1,"0.9991791409107583"
L,ptrel,down_mudr,5,0,2.5,50,70,0,1,"0.9633267975357912"
L,ptrel,down_mudr,5,0,2.5,70,100,0,1,"0.970919379512696"
L,ptrel,down_mudr,5,0,2.5,100,140,0,1,"0.9855967200790334"
L,ptrel,down_mudr,5,0,2.5,140,200,0,1,"0.9910819744876082"
L,ptrel,down_mudr,5,0,2.5,200,300,0,1,"0.9599158461953993"
L,ptrel,down_mudr,5,0,2.5,300,600,0,1,"0.9451750714214663"
L,ptrel,down_mudr,5,0,2.5,600,1000,0,1,"0.8689327015256045"
L,ptrel,down_mupt,5,0,2.5,20,30,0,1,"0.9638804774432563"
L,ptrel,down_mupt,5,0,2.5,30,50,0,1,"0.9940011516167203"
L,ptrel,down_mupt,5,0,2.5,50,70,0,1,"0.9822882962484973"
L,ptrel,down_mupt,5,0,2.5,70,100,0,1,"0.9694641728738762"
L,ptrel,down_mupt,5,0,2.5,100,140,0,1,"0.9730211716261608"
L,ptrel,down_mupt,5,0,2.5,140,200,0,1,"0.9910222049076476"
L,ptrel,down_mupt,5,0,2.5,200,300,0,1,"0.9807990369160894"
L,ptrel,down_mupt,5,0,2.5,300,600,0,1,"1.0177255267982264"
L,ptrel,down_mupt,5,0,2.5,600,1000,0,1,"0.9140806837411463"
L,ptrel,down_pileup,5,0,2.5,20,30,0,1,"0.9408408275065919"
L,ptrel,down_pileup,5,0,2.5,30,50,0,1,"0.98588516799673"
L,ptrel,down_pileup,5,0,2.5,50,70,0,1,"0.9658935175250201"
L,ptrel,down_pileup,5,0,2.5,70,100,0,1,"0.9520532390358716"
L,ptrel,down_pileup,5,0,2.5,100,140,0,1,"0.9535661567341679"
L,ptrel,down_pileup,5,0,2.5,140,200,0,1,"0.966507580860142"
L,ptrel,down_pileup,5,0,2.5,200,300,0,1,"0.9387356204684354"
L,ptrel,down_pileup,5,0,2.5,300,600,0,1,"0.9910177342319579"
L,ptrel,down_pileup,5,0,2.5,600,1000,0,1,"0.9089945935612126"
L,ptrel,down_statistic,5,0,2.5,20,30,0,1,"0.9365434468981523"
L,ptrel,down_statistic,5,0,2.5,30,50,0,1,"0.9843718646361427"
L,ptrel,down_statistic,5,0,2.5,50,70,0,1,"0.9643728745419085"
L,ptrel,down_statistic,5,0,2.5,70,100,0,1,"0.951546281693685"
L,ptrel,down_statistic,5,0,2.5,100,140,0,1,"0.9506480580449534"
L,ptrel,down_statistic,5,0,2.5,140,200,0,1,"0.9656870129859901"
L,ptrel,down_statistic,5,0,2.5,200,300,0,1,"0.9406829163871901"
L,ptrel,down_statistic,5,0,2.5,300,600,0,1,"0.9666574815270144"
L,ptrel,down_statistic,5,0,2.5,600,1000,0,1,"0.8992160810053831"
L,ptrel,up,5,0,2.5,20,30,0,1,"1.0013978714226672"
L,ptrel,up,5,0,2.5,30,50,0,1,"1.0439040046126518"
L,ptrel,up,5,0,2.5,50,70,0,1,"1.0204705391525595"
L,ptrel,up,5,0,2.5,70,100,0,1,"1.008674797471837"
L,ptrel,up,5,0,2.5,100,140,0,1,"1.0184063114430373"
L,ptrel,up,5,0,2.5,140,200,0,1,"1.0102492905960794"
L,ptrel,up,5,0,2.5,200,300,0,1,"1.0131446324537883"
L,ptrel,up,5,0,2.5,300,600,0,1,"1.0788016551549002"
L,ptrel,up,5,0,2.5,600,1000,0,1,"0.9646522160353783"
L,ptrel,up_bdecay,5,0,2.5,20,30,0,1,"0.9483554593467921"
L,ptrel,up_bdecay,5,0,2.5,30,50,0,1,"0.9869278418441789"
L,ptrel,up_bdecay,5,0,2.5,50,70,0,1,"0.9666692962465949"
L,ptrel,up_bdecay,5,0,2.5,70,100,0,1,"0.9545005348038711"
L,ptrel,up_bdecay,5,0,2.5,100,140,0,1,"0.9501196259073876"
L,ptrel,up_bdecay,5,0,2.5,140,200,0,1,"0.9677366998970711"
L,ptrel,up_bdecay,5,0,2.5,200,300,0,1,"0.9471070084778141"
L,ptrel,up_bdecay,5,0,2.5,300,600,0,1,"0.9617815198502677"
L,ptrel,up_bdecay,5,0,2.5,600,1000,0,1,"0.9080756749057186"
L,ptrel,up_bfragmentation,5,0,2.5,20,30,0,1,"0.9477754535581178"
L,ptrel,up_bfragmentation,5,0,2.5,30,50,0,1,"0.9896994350282468"
