,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
38,L,mujets,central,5,0,2.5,20,1000,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)
39,L,mujets,central,4,0,2.5,20,1000,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)
40,L,mujets,down,5,0,2.5,20,30,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.016187676971455744
41,L,mujets,down,5,0,2.5,30,50,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.03950240988622452
42,L,mujets,down,5,0,2.5,50,70,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.01030785048931627
43,L,mujets,down,5,0,2.5,70,100,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.07586939861980546
44,L,mujets,down,5,0,2.5,100,140,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.07031889526803124
45,L,mujets,down,5,0,2.5,140,200,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.1392744137225106
46,L,mujets,down,5,0,2.5,200,300,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.0804867165447923
47,L,mujets,down,5,0,2.5,300,600,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.17588497094485925
48,L,mujets,down,5,0,2.5,600,1000,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.32063977609825267
49,L,mujets,down,4,0,2.5,20,30,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.04046919242863936
50,L,mujets,down,4,0,2.5,30,50,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.0987560247155613
51,L,mujets,down,4,0,2.5,50,70,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.025769626223290674
52,L,mujets,down,4,0,2.5,70,100,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.18967349654951365
53,L,mujets,down,4,0,2.5,100,140,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.1757972381700781
54,L,mujets,down,4,0,2.5,140,200,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.3481860343062765
55,L,mujets,down,4,0,2.5,200,300,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.20121679136198073
56,L,mujets,down,4,0,2.5,300,600,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.4397124273621481
57,L,mujets,down,4,0,2.5,600,1000,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)-0.8015994402456317
58,L,mujets,up,5,0,2.5,20,30,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.016187676971455744
59,L,mujets,up,5,0,2.5,30,50,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.03950240988622452
60,L,mujets,up,5,0,2.5,50,70,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.01030785048931627
61,L,mujets,up,5,0,2.5,70,100,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.07586939861980546
62,L,mujets,up,5,0,2.5,100,140,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.07031889526803124
63,L,mujets,up,5,0,2.5,140,200,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.1392744137225106
64,L,mujets,up,5,0,2.5,200,300,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.0804867165447923
65,L,mujets,up,5,0,2.5,300,600,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.17588497094485925
66,L,mujets,up,5,0,2.5,600,1000,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.32063977609825267
67,L,mujets,up,4,0,2.5,20,30,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.04046919242863936
68,L,mujets,up,4,0,2.5,30,50,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.0987560247155613
69,L,mujets,up,4,0,2.5,50,70,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.025769626223290674
70,L,mujets,up,4,0,2.5,70,100,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.18967349654951365
71,L,mujets,up,4,0,2.5,100,140,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.1757972381700781
72,L,mujets,up,4,0,2.5,140,200,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.3481860343062765
73,L,mujets,up,4,0,2.5,200,300,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.20121679136198073
74,L,mujets,up,4,0,2.5,300,600,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.4397124273621481
75,L,mujets,up,4,0,2.5,600,1000,0,1,0.990979*(1.+0.00010614*x)/(1.+0.000526496*x)+0.8015994402456317
114,M,mujets,central,5,0,2.5,20,1000,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))
115,M,mujets,central,4,0,2.5,20,1000,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))
116,M,mujets,down,5,0,2.5,20,30,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.10763202442988198
117,M,mujets,down,5,0,2.5,30,50,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.1357019381907381
118,M,mujets,down,5,0,2.5,50,70,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.07369633999703637
119,M,mujets,down,5,0,2.5,70,100,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.06741590656401528
120,M,mujets,down,5,0,2.5,100,140,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.08452333937735665
121,M,mujets,down,5,0,2.5,140,200,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.18773416421641415
122,M,mujets,down,5,0,2.5,200,300,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.18044643521934572
123,M,mujets,down,5,0,2.5,300,600,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.1991870230539276
124,M,mujets,down,5,0,2.5,600,1000,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.12775510026099576
125,M,mujets,down,4,0,2.5,20,30,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.322896073289646
126,M,mujets,down,4,0,2.5,30,50,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.4071058145722143
127,M,mujets,down,4,0,2.5,50,70,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.2210890199911091
128,M,mujets,down,4,0,2.5,70,100,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.20224771969204583
129,M,mujets,down,4,0,2.5,100,140,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.2535700181320699
130,M,mujets,down,4,0,2.5,140,200,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.5632024926492425
131,M,mujets,down,4,0,2.5,200,300,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.5413393056580371
132,M,mujets,down,4,0,2.5,300,600,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.5975610691617828
133,M,mujets,down,4,0,2.5,600,1000,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))-0.38326530078298726
134,M,mujets,up,5,0,2.5,20,30,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.10763202442988198
135,M,mujets,up,5,0,2.5,30,50,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.1357019381907381
136,M,mujets,up,5,0,2.5,50,70,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.07369633999703637
137,M,mujets,up,5,0,2.5,70,100,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.06741590656401528
138,M,mujets,up,5,0,2.5,100,140,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.08452333937735665
139,M,mujets,up,5,0,2.5,140,200,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.18773416421641415
140,M,mujets,up,5,0,2.5,200,300,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.18044643521934572
141,M,mujets,up,5,0,2.5,300,600,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.1991870230539276
142,M,mujets,up,5,0,2.5,600,1000,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.12775510026099576
143,M,mujets,up,4,0,2.5,20,30,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.322896073289646
144,M,mujets,up,4,0,2.5,30,50,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.4071058145722143
145,M,mujets,up,4,0,2.5,50,70,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.2210890199911091
146,M,mujets,up,4,0,2.5,70,100,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.20224771969204583
147,M,mujets,up,4,0,2.5,100,140,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.2535700181320699
148,M,mujets,up,4,0,2.5,140,200,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.5632024926492425
149,M,mujets,up,4,0,2.5,200,300,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.5413393056580371
150,M,mujets,up,4,0,2.5,300,600,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.5975610691617828
151,M,mujets,up,4,0,2.5,600,1000,0,1,0.890305+0.0029108*log(x+19)*log(x+18)*(3-0.532953*log(x+18))+0.38326530078298726
190,T,mujets,central,5,0,2.5,20,1000,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)
191,T,mujets,central,4,0,2.5,20,1000,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)
192,T,mujets,down,5,0,2.5,20,30,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.06050045179751913
193,T,mujets,down,5,0,2.5,30,50,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.04011037756382116
194,T,mujets,down,5,0,2.5,50,70,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.03415244432693292
195,T,mujets,down,5,0,2.5,70,100,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.03835407350301306
196,T,mujets,down,5,0,2.5,100,140,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.07085615517145016
197,T,mujets,down,5,0,2.5,140,200,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.06978050338409113
198,T,mujets,down,5,0,2.5,200,300,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.1982486169512399
199,T,mujets,down,5,0,2.5,300,600,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.2017997337594129
200,T,mujets,down,5,0,2.5,600,1000,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.12074015698332372
201,T,mujets,down,4,0,2.5,20,30,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.21175158129131696
202,T,mujets,down,4,0,2.5,30,50,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.14038632147337404
203,T,mujets,down,4,0,2.5,50,70,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.11953355514426522
204,T,mujets,down,4,0,2.5,70,100,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.1342392572605457
205,T,mujets,down,4,0,2.5,100,140,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.24799654310007557
206,T,mujets,down,4,0,2.5,140,200,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.24423176184431894
207,T,mujets,down,4,0,2.5,200,300,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.6938701593293397
208,T,mujets,down,4,0,2.5,300,600,0,1,1.02158*(1.+0.004622*x)/(1.+0.00647455*x)-0.7062990681579452
