wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"0.9957342902708546"
L,ptrel,central,5,0,2.5,30,50,0,1,"0.9460076514395752"
L,ptrel,central,5,0,2.5,50,70,0,1,"0.9516841690593163"
L,ptrel,central,5,0,2.5,70,100,0,1,"0.9155019640244124"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9180880622370402"
L,ptrel,central,5,0,2.5,140,200,0,1,"0.8861162093401873"
L,ptrel,central,5,0,2.5,200,300,0,1,"0.9692171199211251"
L,ptrel,central,5,0,2.5,300,600,0,1,"0.8816720337510241"
L,ptrel,central,5,0,2.5,600,1000,0,1,"0.6747888619178412"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.8737219618037406"
L,ptrel,down,5,0,2.5,30,50,0,1,"0.864805894156945"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.8219963365113849"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.840813023947893"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.8293994914975378"
L,ptrel,down,5,0,2.5,140,200,0,1,"0.752815202521804"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.8821811443406286"
L,ptrel,down,5,0,2.5,300,600,0,1,"0.6957443888768687"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.3875889404559316"
L,ptrel,down_bdecay,5,0,2.5,20,30,0,1,"0.9976065213646487"
L,ptrel,down_bdecay,5,0,2.5,30,50,0,1,"0.9393165886754632"
L,ptrel,down_bdecay,5,0,2.5,50,70,0,1,"0.9864491084465785"
L,ptrel,down_bdecay,5,0,2.5,70,100,0,1,"0.9267815923330374"
L,ptrel,down_bdecay,5,0,2.5,100,140,0,1,"0.9140386103901421"
L,ptrel,down_bdecay,5,0,2.5,140,200,0,1,"0.841810398873178"
L,ptrel,down_bdecay,5,0,2.5,200,300,0,1,"0.9721008568918177"
L,ptrel,down_bdecay,5,0,2.5,300,600,0,1,"0.8375884320634729"
L,ptrel,down_bdecay,5,0,2.5,600,1000,0,1,"0.5301881448706237"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"0.9929576020931807"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"0.9548730962443137"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9040999606063505"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9041710613884058"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9263016038812357"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"0.841810398873178"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"0.979430982021145"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"0.8375884320634729"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.6410494188219491"
