wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.0975651741027832"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.0171791315078735"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.0049002170562744"
L,kinfit,central,5,0,2.4,100,140,0,1,"0.9897090196609497"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9786842465400696"
L,kinfit,central,5,0,2.4,200,300,0,1,"1.0011218786239624"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.047722339630127"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.0930576295353915"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.0107656425794704"
L,kinfit,down,5,0,2.4,70,100,0,1,"0.9969427769084879"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.9856419098569897"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.9730460323130102"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.9835604077186262"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.0108641167053936"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.0975618717909583"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.017178503540773"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.0048996252991031"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9897089530053185"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9786840452584862"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"1.0011218506910495"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.0477145653161664"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.0975648682147003"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.0171789379065643"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.0048996098856797"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9897090146299519"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9786836715359044"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"1.001121787193707"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.047709047500458"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.097560363660218"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.0171775960871194"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0048993234080967"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9897087527921506"
L,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.9786839086370085"
L,kinfit,down_jes,5,0,2.4,200,300,0,1,"1.0011218693691575"
L,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.0477063881658033"
L,kinfit,down_mass,5,0,2.4,30,50,0,1,"1.0975639469875738"
L,kinfit,down_mass,5,0,2.4,50,70,0,1,"1.0171785810937273"
L,kinfit,down_mass,5,0,2.4,70,100,0,1,"1.0048997142101221"
L,kinfit,down_mass,5,0,2.4,100,140,0,1,"0.9897089244067132"
L,kinfit,down_mass,5,0,2.4,140,200,0,1,"0.9786839530506732"
L,kinfit,down_mass,5,0,2.4,200,300,0,1,"1.0011216987235798"
L,kinfit,down_mass,5,0,2.4,300,600,0,1,"1.0477216253782125"
L,kinfit,down_pileup,5,0,2.4,30,50,0,1,"1.0975650154297476"
L,kinfit,down_pileup,5,0,2.4,50,70,0,1,"1.0171788978960556"
L,kinfit,down_pileup,5,0,2.4,70,100,0,1,"1.0049000921675848"
L,kinfit,down_pileup,5,0,2.4,100,140,0,1,"0.9897090116779985"
L,kinfit,down_pileup,5,0,2.4,140,200,0,1,"0.9786839490654904"
L,kinfit,down_pileup,5,0,2.4,200,300,0,1,"1.0011218701545204"
L,kinfit,down_pileup,5,0,2.4,300,600,0,1,"1.0477128979073314"
L,kinfit,down_statistic,5,0,2.4,30,50,0,1,"1.0946768892463297"
L,kinfit,down_statistic,5,0,2.4,50,70,0,1,"1.0110709290020168"
L,kinfit,down_statistic,5,0,2.4,70,100,0,1,"0.9971451531164348"
L,kinfit,down_statistic,5,0,2.4,100,140,0,1,"0.9857765547931194"
L,kinfit,down_statistic,5,0,2.4,140,200,0,1,"0.9732589893974364"
L,kinfit,down_statistic,5,0,2.4,200,300,0,1,"0.9835908878594637"
L,kinfit,down_statistic,5,0,2.4,300,600,0,1,"1.011717677116394"
L,kinfit,down_tune,5,0,2.4,30,50,0,1,"1.0975630027648862"
L,kinfit,down_tune,5,0,2.4,50,70,0,1,"1.0171784498206193"
L,kinfit,down_tune,5,0,2.4,70,100,0,1,"1.0048997575300653"
L,kinfit,down_tune,5,0,2.4,100,140,0,1,"0.9897083843513448"
L,kinfit,down_tune,5,0,2.4,140,200,0,1,"0.9786835956482483"
L,kinfit,down_tune,5,0,2.4,200,300,0,1,"1.0011211259885862"
L,kinfit,down_tune,5,0,2.4,300,600,0,1,"1.0477073206383487"
L,kinfit,up,5,0,2.4,30,50,0,1,"1.1020727186701749"
L,kinfit,up,5,0,2.4,50,70,0,1,"1.0235926204362766"
L,kinfit,up,5,0,2.4,70,100,0,1,"1.0128576572040608"
L,kinfit,up,5,0,2.4,100,140,0,1,"0.9937761294649097"
L,kinfit,up,5,0,2.4,140,200,0,1,"0.9843224607671289"
L,kinfit,up,5,0,2.4,200,300,0,1,"1.0186833495292986"
L,kinfit,up,5,0,2.4,300,600,0,1,"1.0845805625548604"
L,kinfit,up_hdamp,5,0,2.4,30,50,0,1,"1.097568476414608"
L,kinfit,up_hdamp,5,0,2.4,50,70,0,1,"1.017179759474974"
L,kinfit,up_hdamp,5,0,2.4,70,100,0,1,"1.0049008088134457"
L,kinfit,up_hdamp,5,0,2.4,100,140,0,1,"0.9897090863165809"
L,kinfit,up_hdamp,5,0,2.4,140,200,0,1,"0.978684447821653"
L,kinfit,up_hdamp,5,0,2.4,200,300,0,1,"1.0011219065568753"
L,kinfit,up_hdamp,5,0,2.4,300,600,0,1,"1.0477301139440875"
L,kinfit,up_jer,5,0,2.4,30,50,0,1,"1.097565479990866"
L,kinfit,up_jer,5,0,2.4,50,70,0,1,"1.0171793251091827"
L,kinfit,up_jer,5,0,2.4,70,100,0,1,"1.004900824226869"
L,kinfit,up_jer,5,0,2.4,100,140,0,1,"0.9897090246919475"
L,kinfit,up_jer,5,0,2.4,140,200,0,1,"0.9786848215442348"
L,kinfit,up_jer,5,0,2.4,200,300,0,1,"1.0011219700542178"
L,kinfit,up_jer,5,0,2.4,300,600,0,1,"1.047735631759796"
L,kinfit,up_jes,5,0,2.4,30,50,0,1,"1.0975699845453484"
L,kinfit,up_jes,5,0,2.4,50,70,0,1,"1.0171806669286276"
L,kinfit,up_jes,5,0,2.4,70,100,0,1,"1.004901110704452"
L,kinfit,up_jes,5,0,2.4,100,140,0,1,"0.9897092865297488"
L,kinfit,up_jes,5,0,2.4,140,200,0,1,"0.9786845844431307"
