,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
38,L,mujets,central,5,0,2.5,20,1000,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)
39,L,mujets,central,4,0,2.5,20,1000,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)
40,L,mujets,down,5,0,2.5,20,30,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.022818124634776147
41,L,mujets,down,5,0,2.5,30,50,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.017208029679256335
42,L,mujets,down,5,0,2.5,50,70,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.019758181331926278
43,L,mujets,down,5,0,2.5,70,100,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.02581502622319078
44,L,mujets,down,5,0,2.5,100,140,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.03985853586226109
45,L,mujets,down,5,0,2.5,140,200,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.05334167760893269
46,L,mujets,down,5,0,2.5,200,300,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.08623934430839807
47,L,mujets,down,5,0,2.5,300,600,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.14594973576109818
48,L,mujets,down,5,0,2.5,600,1000,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.06955729994129128
49,L,mujets,down,4,0,2.5,20,30,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.057045311586940366
50,L,mujets,down,4,0,2.5,30,50,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.043020074198140835
51,L,mujets,down,4,0,2.5,50,70,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.049395453329815694
52,L,mujets,down,4,0,2.5,70,100,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.06453756555797695
53,L,mujets,down,4,0,2.5,100,140,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.09964633965565273
54,L,mujets,down,4,0,2.5,140,200,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.13335419402233173
55,L,mujets,down,4,0,2.5,200,300,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.21559836077099517
56,L,mujets,down,4,0,2.5,300,600,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.36487433940274544
57,L,mujets,down,4,0,2.5,600,1000,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)-0.1738932498532282
58,L,mujets,up,5,0,2.5,20,30,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.022818124634776147
59,L,mujets,up,5,0,2.5,30,50,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.017208029679256335
60,L,mujets,up,5,0,2.5,50,70,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.019758181331926278
61,L,mujets,up,5,0,2.5,70,100,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.02581502622319078
62,L,mujets,up,5,0,2.5,100,140,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.03985853586226109
63,L,mujets,up,5,0,2.5,140,200,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.05334167760893269
64,L,mujets,up,5,0,2.5,200,300,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.08623934430839807
65,L,mujets,up,5,0,2.5,300,600,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.14594973576109818
66,L,mujets,up,5,0,2.5,600,1000,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.06955729994129128
67,L,mujets,up,4,0,2.5,20,30,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.057045311586940366
68,L,mujets,up,4,0,2.5,30,50,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.043020074198140835
69,L,mujets,up,4,0,2.5,50,70,0,1,1.00566*(1.+0.00313004*x)/(1.+0.00359384*x)+0.049395453329815694
