wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"0.9548037804274794"
L,ptrel,central,5,0,2.5,30,50,0,1,"0.9738547829265117"
L,ptrel,central,5,0,2.5,50,70,0,1,"0.9526617370979372"
L,ptrel,central,5,0,2.5,70,100,0,1,"0.9494182717067178"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9765607822325508"
L,ptrel,central,5,0,2.5,140,200,0,1,"0.958796086839849"
L,ptrel,central,5,0,2.5,200,300,0,1,"0.9286208749325507"
L,ptrel,central,5,0,2.5,300,600,0,1,"0.9767803266279895"
L,ptrel,central,5,0,2.5,600,1000,0,1,"0.902973839531712"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.8961492476899481"
L,ptrel,down,5,0,2.5,30,50,0,1,"0.9161767806966571"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.8800677553231473"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.874457826127622"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.8759188297243128"
L,ptrel,down,5,0,2.5,140,200,0,1,"0.9028422522011803"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.8436436994010279"
L,ptrel,down,5,0,2.5,300,600,0,1,"0.8222349535544878"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.8330054666186568"
L,ptrel,down_bdecay,5,0,2.5,20,30,0,1,"0.9537948566997806"
L,ptrel,down_bdecay,5,0,2.5,30,50,0,1,"0.9752968071099625"
L,ptrel,down_bdecay,5,0,2.5,50,70,0,1,"0.9523792657414634"
L,ptrel,down_bdecay,5,0,2.5,70,100,0,1,"0.9510521875139942"
L,ptrel,down_bdecay,5,0,2.5,100,140,0,1,"0.9847181052541178"
L,ptrel,down_bdecay,5,0,2.5,140,200,0,1,"0.9436347443147611"
L,ptrel,down_bdecay,5,0,2.5,200,300,0,1,"0.9338393161695905"
L,ptrel,down_bdecay,5,0,2.5,300,600,0,1,"0.9279413102965901"
L,ptrel,down_bdecay,5,0,2.5,600,1000,0,1,"0.9013753275233735"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"0.9532387015755759"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"0.9709072845358838"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9519753438834789"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9505453125071615"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9847129703699694"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"0.9451907746163463"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"0.9311138136170075"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"0.9279413102965901"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.8995862847965279"
L,ptrel,down_btempcorr,5,0,2.5,20,30,0,1,"0.959364740861256"
L,ptrel,down_btempcorr,5,0,2.5,30,50,0,1,"0.9747849728095616"
L,ptrel,down_btempcorr,5,0,2.5,50,70,0,1,"0.9499267788647611"
L,ptrel,down_btempcorr,5,0,2.5,70,100,0,1,"0.9431002981807675"
L,ptrel,down_btempcorr,5,0,2.5,100,140,0,1,"0.985140750257128"
L,ptrel,down_btempcorr,5,0,2.5,140,200,0,1,"0.9308666962773806"
L,ptrel,down_btempcorr,5,0,2.5,200,300,0,1,"0.9200778989789882"
L,ptrel,down_btempcorr,5,0,2.5,300,600,0,1,"0.9279413102965901"
L,ptrel,down_btempcorr,5,0,2.5,600,1000,0,1,"0.8510791285791055"
L,ptrel,down_gluonsplitting,5,0,2.5,20,30,0,1,"0.9556761559397418"
L,ptrel,down_gluonsplitting,5,0,2.5,30,50,0,1,"0.9741738875794066"
L,ptrel,down_gluonsplitting,5,0,2.5,50,70,0,1,"0.9530721635872864"
L,ptrel,down_gluonsplitting,5,0,2.5,70,100,0,1,"0.9520901981205816"
L,ptrel,down_gluonsplitting,5,0,2.5,100,140,0,1,"0.986100364142248"
L,ptrel,down_gluonsplitting,5,0,2.5,140,200,0,1,"0.9475371686429674"
L,ptrel,down_gluonsplitting,5,0,2.5,200,300,0,1,"0.9237717936369803"
L,ptrel,down_gluonsplitting,5,0,2.5,300,600,0,1,"0.9279413102965901"
L,ptrel,down_gluonsplitting,5,0,2.5,600,1000,0,1,"0.9080695552867761"
L,ptrel,down_jes,5,0,2.5,20,30,0,1,"0.9070635914061054"
L,ptrel,down_jes,5,0,2.5,30,50,0,1,"0.9251620437801862"
L,ptrel,down_jes,5,0,2.5,50,70,0,1,"0.9050286502430404"
L,ptrel,down_jes,5,0,2.5,70,100,0,1,"0.9019473581213819"
L,ptrel,down_jes,5,0,2.5,100,140,0,1,"0.9277327431209232"
L,ptrel,down_jes,5,0,2.5,140,200,0,1,"0.9396778898271984"
L,ptrel,down_jes,5,0,2.5,200,300,0,1,"0.9291289481778888"
L,ptrel,down_jes,5,0,2.5,300,600,0,1,"0.9417666372552909"
L,ptrel,down_jes,5,0,2.5,600,1000,0,1,"0.9099222964869154"
L,ptrel,down_jetaway,5,0,2.5,20,30,0,1,"0.945104323474343"
L,ptrel,down_jetaway,5,0,2.5,30,50,0,1,"0.9500413379060602"
L,ptrel,down_jetaway,5,0,2.5,50,70,0,1,"0.9348974669961979"
L,ptrel,down_jetaway,5,0,2.5,70,100,0,1,"0.9388233293472628"
L,ptrel,down_jetaway,5,0,2.5,100,140,0,1,"1.0075034138622312"
L,ptrel,down_jetaway,5,0,2.5,140,200,0,1,"0.9577702988764993"
L,ptrel,down_jetaway,5,0,2.5,200,300,0,1,"0.8821898311859232"
L,ptrel,down_jetaway,5,0,2.5,300,600,0,1,"1.0018372822745802"
L,ptrel,down_jetaway,5,0,2.5,600,1000,0,1,"0.9205173338074197"
L,ptrel,down_l2c,5,0,2.5,20,30,0,1,"0.9502094426346095"
L,ptrel,down_l2c,5,0,2.5,30,50,0,1,"0.9705275318226944"
L,ptrel,down_l2c,5,0,2.5,50,70,0,1,"0.9518634369390871"
