wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.01017"
L,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.982031"
L,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.03831"
L,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"0.998266"
L,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.02207"
L,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"0.997651"
L,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"1.02269"
L,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"1.02918"
L,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.991164"
L,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.00076"
L,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"1.01958"
L,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.00981"
L,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.01053"
L,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.01241"
L,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.00793"
L,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.01276"
L,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"1.00758"
L,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.01066"
L,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"1.00968"
L,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"1.01438"
L,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"1.00596"
L,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"1.01388"
L,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"1.00646"
L,sys8,central,5,0,2.5,30.0,50.0,0,1,"0.992831"
L,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.971069"
L,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.01459"
