wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"1.14863+0.000359936*x+-8.76035e-07*x*x+5.71281e-10*x*x*x"
L,light,down,0,0,2.5,20,1000,0,1,"1.10594+1.56943e-05*x+-6.42889e-08*x*x+7.59718e-11*x*x*x"
L,light,up,0,0,2.5,20,1000,0,1,"1.1912+0.000703768*x+-1.68608e-06*x*x+1.06575e-09*x*x*x"
M,light,central,0,0,2.5,20,1000,0,1,"1.17449+0.000642572*x+-2.2684e-06*x*x+1.71046e-09*x*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"1.05433+-0.000181195*x+-3.83485e-07*x*x+5.69552e-10*x*x*x"
M,light,up,0,0,2.5,20,1000,0,1,"1.29401+0.00146875*x+-4.16188e-06*x*x+2.86441e-09*x*x*x"
T,light,central,0,0,2.5,20,1000,0,1,"1.2015+-0.000347785*x+-4.52249e-07*x*x+5.5433e-10*x*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"0.922135+-0.000816429*x+1.0166e-06*x*x+-4.50832e-10*x*x*x"
T,light,up,0,0,2.5,20,1000,0,1,"1.47872+0.000154227*x+-2.0412e-06*x*x+1.68119e-09*x*x*x"
XT,light,central,0,0,2.5,20,1000,0,1,"1.17427+-0.000339492*x+-8.63898e-07*x*x+9.90904e-10*x*x*x"
XT,light,down,0,0,2.5,20,1000,0,1,"0.939058+-0.000640583*x+4.18281e-07*x*x+4.26065e-11*x*x*x"
XT,light,up,0,0,2.5,20,1000,0,1,"1.40427+3.01597e-05*x+-2.37686e-06*x*x+2.1642e-09*x*x*x"
XXT,light,central,0,0,2.5,20,1000,0,1,"1.11068+-0.00178597*x+3.51518e-06*x*x+-2.48031e-09*x*x*x"
XXT,light,down,0,0,2.5,20,1000,0,1,"0.637562+-0.000537305*x+1.759e-06*x*x+-1.64109e-09*x*x*x"
XXT,light,up,0,0,2.5,20,1000,0,1,"1.59205+-0.00314469*x+5.65225e-06*x*x+-3.69574e-09*x*x*x"
