wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"-6.62921+7.9632*x/(1.21296+x)+-0.000189731*x"
L,light,down,0,0,2.5,20,1000,0,1,"-5.19758+6.38173*x/(1.09845+x)+-0.000127505*x"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(-6.62921+7.9632*x/(1.21296+x)+-0.000189731*x)*(1-(0.0506406+0.000321336*x+-6.68633e-07*x*x+3.7713e-10*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-6.62921+7.9632*x/(1.21296+x)+-0.000189731*x)*(1-(0.0307209+-9.42776e-07*x+-4.53295e-09*x*x+7.71676e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"-8.95515+10.4498*x/(1.33103+x)+-0.000264984*x"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(-6.62921+7.9632*x/(1.21296+x)+-0.000189731*x)*(1+(0.0506406+0.000321336*x+-6.68633e-07*x*x+3.7713e-10*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-6.62921+7.9632*x/(1.21296+x)+-0.000189731*x)*(1+(0.0307209+-9.42776e-07*x+-4.53295e-09*x*x+7.71676e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"0.618338+1.39897*x/(54.6393+x)+-0.00181881*x+1.04095e-06*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"0.61342+0.976538*x/(58.5188+x)+-0.00137016*x+8.1021e-07*x*x"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.618338+1.39897*x/(54.6393+x)+-0.00181881*x+1.04095e-06*x*x)*(1-(0.140285+0.000290748*x+-6.06269e-07*x*x+3.34519e-10*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.618338+1.39897*x/(54.6393+x)+-0.00181881*x+1.04095e-06*x*x)*(1-(0.0607611+3.30958e-06*x+-9.18931e-09*x*x+7.99607e-12*x*x*x))"
