wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.1,"0.9019394763059496"
-,shape,central,5,0,2.5,20,40,0.1,0.3,"-6.4387575449323435*(x-0.1)*(x-0.1)*(x-0.1)+4.1456703071334875*(x-0.1)*(x-0.1)+0.0*(x-0.1)+0.9019394763059496"
-,shape,central,5,0,2.5,20,40,0.3,0.39,"-271.6724864607405*(x-0.3)*(x-0.3)*(x-0.3)+31.755690019636013*(x-0.3)*(x-0.3)+0.8856172174615139*(x-0.3)+1.0162562282318304"
-,shape,central,5,0,2.5,20,40,0.39,0.495,"462.5246185381758*(x-0.39)*(x-0.39)*(x-0.39)-72.84762741976269*(x-0.39)*(x-0.39)+0.0*(x-0.39)+1.1551336243325385"
-,shape,central,5,0,2.5,20,40,0.495,0.605,"-45.222142225887495*(x-0.495)*(x-0.495)*(x-0.495)+11.38357887864598*(x-0.495)*(x-0.495)+0.0*(x-0.495)+0.8874185935649108"
-,shape,central,5,0,2.5,20,40,0.605,0.722,"-100.36731188670127*(x-0.605)*(x-0.605)*(x-0.605)+13.927182934823767*(x-0.605)*(x-0.605)+0.8628235905023999*(x-0.605)+0.964969226693871"
-,shape,central,5,0,2.5,20,40,0.722,0.84,"10.821206167471287*(x-0.722)*(x-0.722)*(x-0.722)-3.211289857611039*(x-0.722)*(x-0.722)+0.0*(x-0.722)+1.095819202484659"
-,shape,central,5,0,2.5,20,40,0.84,0.973,"2.1245371048995505*(x-0.84)*(x-0.84)*(x-0.84)-1.5410945876569293*(x-0.84)*(x-0.84)-0.3058409823685946*(x-0.84)+1.0688847905190355"
-,shape,central,5,0,2.5,20,40,0.973,1.1,"1.0059457823038085"
-,shape,central,5,0,2.5,40,60,0,0.099,"1.0201778891037356"
