wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.11,"1.0358402374597149"
-,shape,central,5,0,2.5,20,40,0.11,0.324,"0.0002217663294043676*(x-0.11)*(x-0.11)*(x-0.11)+0.0001153849330917013*(x-0.11)*(x-0.11)+0.0*(x-0.11)+1.0358402374597149"
-,shape,central,5,0,2.5,20,40,0.324,0.419,"-0.7599399975412761*(x-0.324)*(x-0.324)*(x-0.324)+0.4200869908549096*(x-0.324)*(x-0.324)+7.985278382745542e-05*(x-0.324)+1.0358476950144266"
-,shape,central,5,0,2.5,20,40,0.419,0.525,"-53.36591640880888*(x-0.419)*(x-0.419)*(x-0.419)+8.205364644789151*(x-0.419)*(x-0.419)+0.05932100561283022*(x-0.419)+1.0389950125659637"
-,shape,central,5,0,2.5,20,40,0.525,0.635,"182.29387587228425*(x-0.525)*(x-0.525)*(x-0.525)-30.0784895189269*(x-0.525)*(x-0.525)+0.0*(x-0.525)+1.0739188560122208"
-,shape,central,5,0,2.5,20,40,0.635,0.748,"-198.3125984126081*(x-0.635)*(x-0.635)*(x-0.635)+33.61398543093707*(x-0.635)*(x-0.635)+0.0*(x-0.635)+0.9526022816192157"
-,shape,central,5,0,2.5,20,40,0.748,0.852,"253.10150524361555*(x-0.748)*(x-0.748)*(x-0.748)-39.48383481800401*(x-0.748)*(x-0.748)+0.0*(x-0.748)+1.095674608275094"
-,shape,central,5,0,2.5,20,40,0.852,0.979,"10.437756283500937*(x-0.852)*(x-0.852)*(x-0.852)+0.0*(x-0.852)*(x-0.852)+0.0*(x-0.852)+0.953322222477917"
-,shape,central,5,0,2.5,20,40,0.979,1.1,"0.9747027450071835"
-,shape,central,5,0,2.5,40,60,0,0.105,"0.9915810685968985"
-,shape,central,5,0,2.5,40,60,0.105,0.326,"-1.5924157350258623*(x-0.105)*(x-0.105)*(x-0.105)-0.4496642683955478*(x-0.105)*(x-0.105)+0.45090711083268087*(x-0.105)+0.9915810685968985"
-,shape,central,5,0,2.5,40,60,0.326,0.433,"1.5991698941104204*(x-0.326)*(x-0.326)*(x-0.326)-0.24582851222198304*(x-0.326)*(x-0.326)+0.018829973458654264*(x-0.326)+1.052081173460132"
-,shape,central,5,0,2.5,40,60,0.433,0.548,"-126.62183430383895*(x-0.433)*(x-0.433)*(x-0.433)+21.75031267742892*(x-0.433)*(x-0.433)+0.021149360196160493*(x-0.433)+1.0532405418683692"
-,shape,central,5,0,2.5,40,60,0.548,0.654,"231.54472313026957*(x-0.548)*(x-0.548)*(x-0.548)-39.265591356510676*(x-0.548)*(x-0.548)+0.0*(x-0.548)+1.1507446212030743"
-,shape,central,5,0,2.5,40,60,0.654,0.761,"8.988779460430383*(x-0.654)*(x-0.654)*(x-0.654)+0.9843842625127824*(x-0.654)*(x-0.654)-0.5193958403051377*(x-0.654)+0.9853299066850414"
