wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.126,"1.0142096528569178"
-,shape,central,5,0,2.5,20,40,0.126,0.364,"13.357505618057202*(x-0.126)*(x-0.126)*(x-0.126)-9.537259011292841*(x-0.126)*(x-0.126)+2.2698676446876958*(x-0.126)+1.0142096528569178"
-,shape,central,5,0,2.5,20,40,0.364,0.454,"438.4814349586502*(x-0.364)*(x-0.364)*(x-0.364)-59.194993719417795*(x-0.364)*(x-0.364)+0.0*(x-0.364)+1.1942858193354748"
-,shape,central,5,0,2.5,20,40,0.454,0.549,"-48.08340093409978*(x-0.454)*(x-0.454)*(x-0.454)+6.85188463310922*(x-0.454)*(x-0.454)+0.0*(x-0.454)+1.0344593362930468"
-,shape,central,5,0,2.5,20,40,0.549,0.656,"183.23004082162967*(x-0.549)*(x-0.549)*(x-0.549)-29.40842155187156*(x-0.549)*(x-0.549)+0.0*(x-0.549)+1.0550720892309837"
-,shape,central,5,0,2.5,20,40,0.656,0.768,"-26.899808640659717*(x-0.656)*(x-0.656)*(x-0.656)+6.264772307163971*(x-0.656)*(x-0.656)+0.0*(x-0.656)+0.9428397497818579"
-,shape,central,5,0,2.5,20,40,0.768,0.875,"-39.48795164953331*(x-0.768)*(x-0.768)*(x-0.768)+4.510641482556528*(x-0.768)*(x-0.768)+0.39101539803942337*(x-0.768)+0.9836327592490179"
-,shape,central,5,0,2.5,20,40,0.875,0.986,"9.306845927609235*(x-0.875)*(x-0.875)*(x-0.875)-7.077578925943627*(x-0.875)*(x-0.875)+0.0*(x-0.875)+1.0287393024204268"
-,shape,central,5,0,2.5,20,40,0.986,1.1,"0.9542647834766974"
-,shape,central,5,0,2.5,40,60,0,0.122,"0.9681835701355402"
-,shape,central,5,0,2.5,40,60,0.122,0.365,"3.3816701930240924*(x-0.122)*(x-0.122)*(x-0.122)-4.664810684882279*(x-0.122)*(x-0.122)+1.668045263169149*(x-0.122)+0.9681835701355402"
-,shape,central,5,0,2.5,40,60,0.365,0.475,"102.87956600089204*(x-0.365)*(x-0.365)*(x-0.365)-16.975128390147184*(x-0.365)*(x-0.365)+0.0*(x-0.365)+1.1465894340584044"
-,shape,central,5,0,2.5,40,60,0.475,0.585,"-1.9708531854115294*(x-0.475)*(x-0.475)*(x-0.475)+0.3251907755929023*(x-0.475)*(x-0.475)+0.0*(x-0.475)+1.0781230828848107"
-,shape,central,5,0,2.5,40,60,0.585,0.697,"96.26877231747197*(x-0.585)*(x-0.585)*(x-0.585)-16.173153749335288*(x-0.585)*(x-0.585)+0.0*(x-0.585)+1.0794346856797021"
