wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.9988210441530411
L,wc,central,4,0,2.4,30.0,40.0,0,1,0.994916095570287
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.9813683502534621
L,wc,central,4,0,2.4,60.0,80.0,0,1,1.0319883955631524
L,wc,central,4,0,2.4,80.0,140.0,0,1,1.0263299347819914
L,wc,central,4,0,2.4,140.0,200.0,0,1,0.997105881498069
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0180039400786665
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.0108535422914138
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9953905539786815
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.056521660355724
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0581359768349399
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.0917303809409185
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9799969327580546
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9792283060068094
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.967542442835219
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,1.0080191152085622
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9954672175171037
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.9104028981078107
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0079872044329854
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,1.0010092506948425
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9873091109070246
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,1.0370299067535032
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.0370825251238334
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.0417325660640813
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.989690320155978
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9878350598604634
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9689579909218521
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,1.0148216215985404
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9915256748540344
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.9447850339066962
M,wc,central,4,0,2.4,25.0,30.0,0,1,1.0119722062828715
M,wc,central,4,0,2.4,30.0,40.0,0,1,0.9814480015550657
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9838225356075759
M,wc,central,4,0,2.4,60.0,80.0,0,1,1.0334009107217592
M,wc,central,4,0,2.4,80.0,140.0,0,1,1.0242746838623762
M,wc,central,4,0,2.4,140.0,200.0,0,1,0.941600206793726
M,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0402369929239161
M,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.0029104243277638
M,wc,up_stat,4,0,2.4,40.0,60.0,0,1,1.002533830389061
M,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.0657248433391435
M,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.066437673553233
M,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.0617970400051935
M,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9844681456299736
M,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9604411374643368
