wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,20,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))"
L,comb,central,4,0,2.5,20,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))"
L,comb,down,5,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.020184220344107058"
L,comb,down,5,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.018448267788136054"
L,comb,down,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.015449727612340033"
L,comb,down,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.009610447112164458"
L,comb,down,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0038660697147981384"
L,comb,down,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.004333751655131663"
L,comb,down,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.006267771052845679"
L,comb,down,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.08225422864907203"
L,comb,down,5,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.05105094550986124"
L,comb,down,4,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.05046055086026764"
L,comb,down,4,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.04612066947034013"
L,comb,down,4,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.038624319030850084"
L,comb,down,4,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.024026117780411145"
L,comb,down,4,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.009665174286995346"
L,comb,down,4,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.010834379137829156"
L,comb,down,4,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.015669427632114197"
L,comb,down,4,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.2056355716226801"
L,comb,down,4,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.12762736377465309"
L,comb,down_bfragmentation,5,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0009088443330738941"
L,comb,down_bfragmentation,5,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0008185999750153942"
L,comb,down_bfragmentation,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0015087828385978524"
L,comb,down_bfragmentation,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00028742548418330733"
L,comb,down_bfragmentation,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-6.877451290782421e-05"
L,comb,down_bfragmentation,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00014134288003804526"
L,comb,down_bfragmentation,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0003783310115962337"
L,comb,down_bfragmentation,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.006804899008234248"
L,comb,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.005326313546392661"
L,comb,down_bfragmentation,4,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0022721108326847353"
L,comb,down_bfragmentation,4,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0020464999375384854"
L,comb,down_bfragmentation,4,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.003771957096494631"
L,comb,down_bfragmentation,4,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0007185637104582684"
L,comb,down_bfragmentation,4,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0001719362822695605"
L,comb,down_bfragmentation,4,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00035335720009511317"
L,comb,down_bfragmentation,4,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0009458275289905843"
L,comb,down_bfragmentation,4,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.01701224752058562"
L,comb,down_bfragmentation,4,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.013315783865981652"
L,comb,down_colorreconnection,5,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0001467571093258773"
L,comb,down_colorreconnection,5,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0004902206342408542"
L,comb,down_colorreconnection,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0018152928583589603"
L,comb,down_colorreconnection,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0018607046632932618"
L,comb,down_colorreconnection,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0014427892278499738"
L,comb,down_colorreconnection,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0017099156630299207"
L,comb,down_colorreconnection,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.002161831595377119"
L,comb,down_colorreconnection,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0001427437124945363"
L,comb,down_colorreconnection,5,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00042162916019218533"
L,comb,down_colorreconnection,4,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00036689277331469327"
L,comb,down_colorreconnection,4,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0012255515856021354"
L,comb,down_colorreconnection,4,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.004538232145897401"
L,comb,down_colorreconnection,4,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0046517616582331545"
L,comb,down_colorreconnection,4,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0036069730696249346"
L,comb,down_colorreconnection,4,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0042747891575748015"
L,comb,down_colorreconnection,4,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.005404578988442797"
L,comb,down_colorreconnection,4,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00035685928123634075"
L,comb,down_colorreconnection,4,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0010540729004804633"
L,comb,down_hdamp,5,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-4.2371159718594326e-05"
L,comb,down_hdamp,5,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0017793151055648666"
L,comb,down_hdamp,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0012688026445618888"
L,comb,down_hdamp,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0030487986634568903"
L,comb,down_hdamp,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0005440523598551187"
L,comb,down_hdamp,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00039103341117049906"
L,comb,down_hdamp,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0010722454580830872"
L,comb,down_hdamp,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0005031432465615075"
L,comb,down_hdamp,5,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0003405850971334278"
L,comb,down_hdamp,4,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00010592789929648582"
L,comb,down_hdamp,4,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.004448287763912167"
L,comb,down_hdamp,4,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0031720066114047218"
L,comb,down_hdamp,4,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.007621996658642226"
L,comb,down_hdamp,4,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0013601308996377967"
L,comb,down_hdamp,4,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0009775835279262476"
L,comb,down_hdamp,4,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.002680613645207718"
L,comb,down_hdamp,4,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0012578581164037687"
L,comb,down_hdamp,4,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0008514627428335695"
L,comb,down_jer,5,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-1.2690057616810388e-05"
L,comb,down_jer,5,0,2.5,30,50,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0011298154576149574"
L,comb,down_jer,5,0,2.5,50,70,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0006570420948590939"
L,comb,down_jer,5,0,2.5,70,100,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0019046472872691444"
L,comb,down_jer,5,0,2.5,100,140,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00037370274179134694"
L,comb,down_jer,5,0,2.5,140,200,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00043636295119488526"
L,comb,down_jer,5,0,2.5,200,300,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0001698916163852369"
L,comb,down_jer,5,0,2.5,300,600,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.0004405646247669965"
L,comb,down_jer,5,0,2.5,600,1000,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-0.00025288454297150374"
L,comb,down_jer,4,0,2.5,20,30,0,1,"0.99251+7.32616e-05*log(x+19)*log(x+18)*(3-0.568982*log(x+18))-3.172514404202597e-05"
