wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.1526073217391968"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.0447014570236206"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.017293930053711"
L,kinfit,central,5,0,2.4,100,140,0,1,"0.9877392649650574"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9891383647918701"
L,kinfit,central,5,0,2.4,200,300,0,1,"0.9745175838470459"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.0941596031188965"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.1442129213609045"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.0381509653109209"
L,kinfit,down,5,0,2.4,70,100,0,1,"1.009825467253653"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.9834968958029318"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.9848557403250269"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.9573524027769268"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.0175529443858315"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.1526022438681451"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.0446922309047295"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.0172918415251928"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9877377806640197"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.989134416582174"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.974451980557375"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.0934395421672285"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.1526044778137496"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.0446937351377663"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.0172866784604615"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9877385168217065"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9891375144982737"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9744797817829749"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.093096976185219"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.1525883939959805"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.044693734143948"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0172861311238215"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9877376397884632"
L,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.9891372822996223"
L,kinfit,down_jes,5,0,2.4,200,300,0,1,"0.9744751584726004"
L,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.093061817295304"
L,kinfit,down_mass,5,0,2.4,30,50,0,1,"1.1525992131850984"
L,kinfit,down_mass,5,0,2.4,50,70,0,1,"1.0446971114129013"
L,kinfit,down_mass,5,0,2.4,70,100,0,1,"1.0172830894910554"
L,kinfit,down_mass,5,0,2.4,100,140,0,1,"0.9877389827319085"
L,kinfit,down_mass,5,0,2.4,140,200,0,1,"0.9891337561253941"
L,kinfit,down_mass,5,0,2.4,200,300,0,1,"0.9744561513026468"
L,kinfit,down_mass,5,0,2.4,300,600,0,1,"1.0925392236552192"
L,kinfit,down_pileup,5,0,2.4,30,50,0,1,"1.152607204359299"
L,kinfit,down_pileup,5,0,2.4,50,70,0,1,"1.0447013921866528"
L,kinfit,down_pileup,5,0,2.4,70,100,0,1,"1.0172926983122466"
L,kinfit,down_pileup,5,0,2.4,100,140,0,1,"0.9877392366121818"
L,kinfit,down_pileup,5,0,2.4,140,200,0,1,"0.9891383355285228"
L,kinfit,down_pileup,5,0,2.4,200,300,0,1,"0.9745175282754097"
L,kinfit,down_pileup,5,0,2.4,300,600,0,1,"1.0940873453529179"
L,kinfit,down_statistic,5,0,2.4,30,50,0,1,"1.1483115162700415"
L,kinfit,down_statistic,5,0,2.4,50,70,0,1,"1.0425859389360994"
L,kinfit,down_statistic,5,0,2.4,70,100,0,1,"1.0125078074634075"
L,kinfit,down_statistic,5,0,2.4,100,140,0,1,"0.9842315139248967"
L,kinfit,down_statistic,5,0,2.4,140,200,0,1,"0.9868023367598653"
L,kinfit,down_statistic,5,0,2.4,200,300,0,1,"0.9678979348391294"
L,kinfit,down_statistic,5,0,2.4,300,600,0,1,"1.0778190921992064"
L,kinfit,down_tune,5,0,2.4,30,50,0,1,"1.1525903851998258"
L,kinfit,down_tune,5,0,2.4,50,70,0,1,"1.0446921048308262"
L,kinfit,down_tune,5,0,2.4,70,100,0,1,"1.0172902704423414"
L,kinfit,down_tune,5,0,2.4,100,140,0,1,"0.9877377397933165"
L,kinfit,down_tune,5,0,2.4,140,200,0,1,"0.9891359998718761"
L,kinfit,down_tune,5,0,2.4,200,300,0,1,"0.9744740790030866"
L,kinfit,down_tune,5,0,2.4,300,600,0,1,"1.0931311461923627"
L,kinfit,up,5,0,2.4,30,50,0,1,"1.161001722117489"
L,kinfit,up,5,0,2.4,50,70,0,1,"1.0512519487363203"
L,kinfit,up,5,0,2.4,70,100,0,1,"1.0247623928537688"
L,kinfit,up,5,0,2.4,100,140,0,1,"0.991981634127183"
L,kinfit,up,5,0,2.4,140,200,0,1,"0.9934209892587134"
L,kinfit,up,5,0,2.4,200,300,0,1,"0.991682764917165"
L,kinfit,up,5,0,2.4,300,600,0,1,"1.1707662618519614"
L,kinfit,up_hdamp,5,0,2.4,30,50,0,1,"1.1526123996102484"
L,kinfit,up_hdamp,5,0,2.4,50,70,0,1,"1.0447106831425117"
L,kinfit,up_hdamp,5,0,2.4,70,100,0,1,"1.017296018582229"
L,kinfit,up_hdamp,5,0,2.4,100,140,0,1,"0.987740749266095"
L,kinfit,up_hdamp,5,0,2.4,140,200,0,1,"0.9891423130015662"
L,kinfit,up_hdamp,5,0,2.4,200,300,0,1,"0.9745831871367168"
L,kinfit,up_hdamp,5,0,2.4,300,600,0,1,"1.0948796640705645"
L,kinfit,up_jer,5,0,2.4,30,50,0,1,"1.152610165664644"
L,kinfit,up_jer,5,0,2.4,50,70,0,1,"1.044709178909475"
L,kinfit,up_jer,5,0,2.4,70,100,0,1,"1.0173011816469604"
L,kinfit,up_jer,5,0,2.4,100,140,0,1,"0.9877400131084082"
L,kinfit,up_jer,5,0,2.4,140,200,0,1,"0.9891392150854665"
L,kinfit,up_jer,5,0,2.4,200,300,0,1,"0.9745553859111169"
L,kinfit,up_jer,5,0,2.4,300,600,0,1,"1.095222230052574"
L,kinfit,up_jes,5,0,2.4,30,50,0,1,"1.152626249482413"
L,kinfit,up_jes,5,0,2.4,50,70,0,1,"1.0447091799032933"
L,kinfit,up_jes,5,0,2.4,70,100,0,1,"1.0173017289836004"
L,kinfit,up_jes,5,0,2.4,100,140,0,1,"0.9877408901416516"
L,kinfit,up_jes,5,0,2.4,140,200,0,1,"0.989139447284118"
L,kinfit,up_jes,5,0,2.4,200,300,0,1,"0.9745600092214914"
L,kinfit,up_jes,5,0,2.4,300,600,0,1,"1.095257388942489"
L,kinfit,up_mass,5,0,2.4,30,50,0,1,"1.1526154302932952"
L,kinfit,up_mass,5,0,2.4,50,70,0,1,"1.0447058026343399"
