wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"0.8288800716400146"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.2200952382837333"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.47229367447007137"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"0.9900584105843406"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"0.803167998790741"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.8281603455543518"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.8291866183280945"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8505857586860657"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8185108304023743"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.828881561756134"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8445239663124084"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"0.828881561756134"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"0.8235040903091431"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"0.8279207944869995"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"0.828881561756134"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"0.8370286846196644"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"0.8207314586603649"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.1120897186093797"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"0.5456704246706496"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.043205587569197"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.6145545557108323"
