,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
38,L,mujets,central,5,0,2.5,20,1000,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))
39,L,mujets,central,4,0,2.5,20,1000,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))
40,L,mujets,down,5,0,2.5,20,30,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.02010491281306556
41,L,mujets,down,5,0,2.5,30,50,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.020081670540384403
42,L,mujets,down,5,0,2.5,50,70,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.018260981423443942
43,L,mujets,down,5,0,2.5,70,100,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.02662485756863986
44,L,mujets,down,5,0,2.5,100,140,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.059863064358474244
45,L,mujets,down,5,0,2.5,140,200,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.06264612812156989
46,L,mujets,down,5,0,2.5,200,300,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.07860003000196746
47,L,mujets,down,5,0,2.5,300,600,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.07832842945009445
48,L,mujets,down,5,0,2.5,600,1000,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.049396096405069145
49,L,mujets,down,4,0,2.5,20,30,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.0502622820326639
50,L,mujets,down,4,0,2.5,30,50,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.050204176350961006
51,L,mujets,down,4,0,2.5,50,70,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.045652453558609855
52,L,mujets,down,4,0,2.5,70,100,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.06656214392159965
53,L,mujets,down,4,0,2.5,100,140,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.1496576608961856
54,L,mujets,down,4,0,2.5,140,200,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.15661532030392472
55,L,mujets,down,4,0,2.5,200,300,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.19650007500491865
56,L,mujets,down,4,0,2.5,300,600,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.19582107362523613
57,L,mujets,down,4,0,2.5,600,1000,0,1,0.99236+0.000387632*log(x+19)*log(x+18)*(3-0.986775*log(x+18))-0.12349024101267286
