wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"0.9144358778814536"
L,ptrel,central,5,0,2.5,30,50,0,1,"0.9705829512500956"
L,ptrel,central,5,0,2.5,50,70,0,1,"0.9519913242036459"
L,ptrel,central,5,0,2.5,70,100,0,1,"0.9574563638174431"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9496649876519564"
L,ptrel,central,5,0,2.5,140,200,0,1,"0.9344037325976162"
L,ptrel,central,5,0,2.5,200,300,0,1,"0.9402553654248933"
L,ptrel,central,5,0,2.5,300,600,0,1,"0.9274379298091068"
L,ptrel,central,5,0,2.5,600,1000,0,1,"0.9443488574126656"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.8520248629464401"
L,ptrel,down,5,0,2.5,30,50,0,1,"0.9162518746975106"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.8432685058933289"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.9036722375233326"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.8902018049559981"
L,ptrel,down,5,0,2.5,140,200,0,1,"0.8731521563013583"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.8625440021720179"
L,ptrel,down,5,0,2.5,300,600,0,1,"0.8489931587007998"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.8938205834630698"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"0.9119919946841071"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"0.9788045543861933"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9043917579934635"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9558250731195179"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9462493890180925"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"0.9322704791343471"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"0.9391737010327826"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"0.9165181023874243"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.9396603206929944"
L,ptrel,down_btempcorr,5,0,2.5,20,30,0,1,"0.9176877229367415"
L,ptrel,down_btempcorr,5,0,2.5,30,50,0,1,"0.9665314367159282"
L,ptrel,down_btempcorr,5,0,2.5,50,70,0,1,"0.9416469499083965"
L,ptrel,down_btempcorr,5,0,2.5,70,100,0,1,"0.9578784362438307"
L,ptrel,down_btempcorr,5,0,2.5,100,140,0,1,"0.9415340821245336"
L,ptrel,down_btempcorr,5,0,2.5,140,200,0,1,"0.9186020511543447"
L,ptrel,down_btempcorr,5,0,2.5,200,300,0,1,"0.917479983639619"
L,ptrel,down_btempcorr,5,0,2.5,300,600,0,1,"0.9044251996945726"
L,ptrel,down_btempcorr,5,0,2.5,600,1000,0,1,"0.9624893666318466"
L,ptrel,down_gluonsplitting,5,0,2.5,20,30,0,1,"0.9148380906097967"
L,ptrel,down_gluonsplitting,5,0,2.5,30,50,0,1,"0.9803778963834402"
L,ptrel,down_gluonsplitting,5,0,2.5,50,70,0,1,"0.9613597499557688"
L,ptrel,down_gluonsplitting,5,0,2.5,70,100,0,1,"0.9589538014182071"
L,ptrel,down_gluonsplitting,5,0,2.5,100,140,0,1,"0.9527610982182387"
L,ptrel,down_gluonsplitting,5,0,2.5,140,200,0,1,"0.93149027045169"
L,ptrel,down_gluonsplitting,5,0,2.5,200,300,0,1,"0.9321036674095676"
L,ptrel,down_gluonsplitting,5,0,2.5,300,600,0,1,"0.9207836660040251"
L,ptrel,down_gluonsplitting,5,0,2.5,600,1000,0,1,"0.9500875431468749"
L,ptrel,down_jes,5,0,2.5,20,30,0,1,"0.8687140839873809"
L,ptrel,down_jes,5,0,2.5,30,50,0,1,"0.9220538036875908"
L,ptrel,down_jes,5,0,2.5,50,70,0,1,"0.9043917579934635"
L,ptrel,down_jes,5,0,2.5,70,100,0,1,"0.909583545626571"
L,ptrel,down_jes,5,0,2.5,100,140,0,1,"0.9021817382693585"
L,ptrel,down_jes,5,0,2.5,140,200,0,1,"0.8876835459677355"
L,ptrel,down_jes,5,0,2.5,200,300,0,1,"0.9506857178169316"
L,ptrel,down_jes,5,0,2.5,300,600,0,1,"0.9381579492890129"
L,ptrel,down_jes,5,0,2.5,600,1000,0,1,"0.9538775386570211"
L,ptrel,down_jetaway,5,0,2.5,20,30,0,1,"0.8756287239601694"
L,ptrel,down_jetaway,5,0,2.5,30,50,0,1,"0.9669642391411286"
L,ptrel,down_jetaway,5,0,2.5,50,70,0,1,"0.9405255474387757"
L,ptrel,down_jetaway,5,0,2.5,70,100,0,1,"0.9464764992893123"
L,ptrel,down_jetaway,5,0,2.5,100,140,0,1,"0.9430570626705899"
L,ptrel,down_jetaway,5,0,2.5,140,200,0,1,"0.9187546858784112"
L,ptrel,down_jetaway,5,0,2.5,200,300,0,1,"0.894831040375926"
L,ptrel,down_jetaway,5,0,2.5,300,600,0,1,"0.8865862910505055"
L,ptrel,down_jetaway,5,0,2.5,600,1000,0,1,"0.9531652470489638"
L,ptrel,down_l2c,5,0,2.5,20,30,0,1,"0.9107381606222076"
L,ptrel,down_l2c,5,0,2.5,30,50,0,1,"0.9609491346127186"
L,ptrel,down_l2c,5,0,2.5,50,70,0,1,"0.9425594373382064"
L,ptrel,down_l2c,5,0,2.5,70,100,0,1,"0.9596647846729693"
L,ptrel,down_l2c,5,0,2.5,100,140,0,1,"0.9565345622820525"
L,ptrel,down_l2c,5,0,2.5,140,200,0,1,"0.937258661009939"
L,ptrel,down_l2c,5,0,2.5,200,300,0,1,"0.9526265525972224"
L,ptrel,down_l2c,5,0,2.5,300,600,0,1,"0.9340238528123799"
L,ptrel,down_l2c,5,0,2.5,600,1000,0,1,"0.9555931875133653"
L,ptrel,down_ltempcorr,5,0,2.5,20,30,0,1,"0.9250569637551173"
L,ptrel,down_ltempcorr,5,0,2.5,30,50,0,1,"0.9813622422723283"
L,ptrel,down_ltempcorr,5,0,2.5,50,70,0,1,"0.9043917579934635"
L,ptrel,down_ltempcorr,5,0,2.5,70,100,0,1,"0.9669883704151668"
L,ptrel,down_ltempcorr,5,0,2.5,100,140,0,1,"0.95636934750197"
L,ptrel,down_ltempcorr,5,0,2.5,140,200,0,1,"0.9401795803518024"
L,ptrel,down_ltempcorr,5,0,2.5,200,300,0,1,"0.9661685168614794"
L,ptrel,down_ltempcorr,5,0,2.5,300,600,0,1,"0.9748672189159696"
L,ptrel,down_ltempcorr,5,0,2.5,600,1000,0,1,"0.9616312803516607"
L,ptrel,down_mudr,5,0,2.5,20,30,0,1,"0.9095501725292617"
L,ptrel,down_mudr,5,0,2.5,30,50,0,1,"0.9725333949306075"
