wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,sys8,central,5,0,2.5,20.0,30.0,0,1,"0.977328"
L,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.95735"
L,sys8,up,5,0,2.5,20.0,30.0,0,1,"0.997306"
L,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"0.968865"
L,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"0.985791"
L,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"0.989528"
L,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"0.965128"
L,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"0.978757"
L,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.975899"
L,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"0.989869"
L,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"0.964787"
L,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"0.977204"
L,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"0.977452"
L,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"0.979272"
L,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"0.975384"
L,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"0.97803"
L,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"0.976626"
L,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"0.974494"
L,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"0.980162"
L,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"0.974891"
L,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"0.979765"
L,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"0.978378"
L,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"0.976278"
L,sys8,central,5,0,2.5,30.0,50.0,0,1,"0.993074"
L,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.971527"
L,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.01462"
L,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.987135"
L,sys8,up_statistic,5,0,2.5,30.0,50.0,0,1,"0.999013"
L,sys8,up_jetaway,5,0,2.5,30.0,50.0,0,1,"0.976483"
L,sys8,down_jetaway,5,0,2.5,30.0,50.0,0,1,"1.00967"
L,sys8,up_mupt,5,0,2.5,30.0,50.0,0,1,"0.996591"
L,sys8,down_mupt,5,0,2.5,30.0,50.0,0,1,"0.989557"
L,sys8,up_ptrel,5,0,2.5,30.0,50.0,0,1,"0.98178"
L,sys8,down_ptrel,5,0,2.5,30.0,50.0,0,1,"1.00437"
L,sys8,up_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"0.993409"
L,sys8,down_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"0.992739"
L,sys8,up_bfragmentation,5,0,2.5,30.0,50.0,0,1,"0.995079"
L,sys8,down_bfragmentation,5,0,2.5,30.0,50.0,0,1,"0.991069"
L,sys8,up_mudr,5,0,2.5,30.0,50.0,0,1,"0.991169"
L,sys8,down_mudr,5,0,2.5,30.0,50.0,0,1,"0.994979"
L,sys8,up_pileup,5,0,2.5,30.0,50.0,0,1,"0.994279"
L,sys8,down_pileup,5,0,2.5,30.0,50.0,0,1,"0.991869"
L,sys8,up_jes,5,0,2.5,30.0,50.0,0,1,"0.994834"
L,sys8,down_jes,5,0,2.5,30.0,50.0,0,1,"0.991314"
L,sys8,up_bdecay,5,0,2.5,30.0,50.0,0,1,"0.994301"
L,sys8,down_bdecay,5,0,2.5,30.0,50.0,0,1,"0.991847"
L,sys8,central,5,0,2.5,50.0,70.0,0,1,"0.995727"
L,sys8,down,5,0,2.5,50.0,70.0,0,1,"0.976709"
L,sys8,up,5,0,2.5,50.0,70.0,0,1,"1.01474"
L,sys8,down_statistic,5,0,2.5,50.0,70.0,0,1,"0.987157"
L,sys8,up_statistic,5,0,2.5,50.0,70.0,0,1,"1.0043"
L,sys8,up_jetaway,5,0,2.5,50.0,70.0,0,1,"0.982922"
L,sys8,down_jetaway,5,0,2.5,50.0,70.0,0,1,"1.00853"
L,sys8,up_mupt,5,0,2.5,50.0,70.0,0,1,"0.991143"
L,sys8,down_mupt,5,0,2.5,50.0,70.0,0,1,"1.00031"
L,sys8,up_ptrel,5,0,2.5,50.0,70.0,0,1,"1.00519"
L,sys8,down_ptrel,5,0,2.5,50.0,70.0,0,1,"0.986269"
L,sys8,up_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.994692"
L,sys8,down_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.996762"
L,sys8,up_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.997753"
L,sys8,down_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.993701"
L,sys8,up_mudr,5,0,2.5,50.0,70.0,0,1,"0.99538"
L,sys8,down_mudr,5,0,2.5,50.0,70.0,0,1,"0.996074"
L,sys8,up_pileup,5,0,2.5,50.0,70.0,0,1,"0.994592"
L,sys8,down_pileup,5,0,2.5,50.0,70.0,0,1,"0.996862"
L,sys8,up_jes,5,0,2.5,50.0,70.0,0,1,"0.993065"
L,sys8,down_jes,5,0,2.5,50.0,70.0,0,1,"0.998389"
L,sys8,up_bdecay,5,0,2.5,50.0,70.0,0,1,"0.996078"
L,sys8,down_bdecay,5,0,2.5,50.0,70.0,0,1,"0.995376"
