wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072-0.04734258563122458"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934-0.03747525314845849"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801-0.02250761252615226"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062-0.015507418834164607"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566-0.015741456939711178"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105-0.02668400469385515"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072+0.04734258563122458"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934+0.03747525314845849"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801+0.02250761252615226"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062+0.015507418834164607"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566+0.015741456939711178"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105+0.02668400469385515"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072-0.022060741865073282"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934-0.01570559859055997"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801-0.007931103939111873"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062-0.0031240649494363045"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566-0.003197259083545912"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105-0.004582271150643284"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072+0.022060741865073282"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934+0.01570559859055997"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801+0.007931103939111873"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062+0.0031240649494363045"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566+0.003197259083545912"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105+0.004582271150643284"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072-0.004098341810608722"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934-0.0029226722376525494"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801-0.0006336302776450642"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062-0.000906634435023343"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566-0.0006633469526215659"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105-0.0017459272213231388"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072+0.004098341810608722"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934+0.0029226722376525494"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801+0.0006336302776450642"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062+0.000906634435023343"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566+0.0006633469526215659"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105+0.0017459272213231388"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072-0.009522454814127768"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934-0.007353772434468444"
L,tnp,down_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801-0.0025853032551116507"
L,tnp,down_jes,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062-0.0011839575270793095"
L,tnp,down_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566-0.0013578418690124694"
L,tnp,down_jes,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105-0.00144657726044958"
L,tnp,up_jes,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072+0.009522454814127768"
L,tnp,up_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9981408969649934+0.007353772434468444"
L,tnp,up_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.006078700671801+0.0025853032551116507"
L,tnp,up_jes,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953988019518062+0.0011839575270793095"
L,tnp,up_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.995026125287566+0.0013578418690124694"
L,tnp,up_jes,5,0,2.4,200.0,300.0,0.0,1.0,"0.9859414263819105+0.00144657726044958"
L,tnp,down_jer,5,0,2.4,30.0,50.0,0.0,1.0,"1.0260212476623072-0.0044855796766366095"
