wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.1541391611099243"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.042353630065918"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.0198187828063965"
L,kinfit,central,5,0,2.4,100,140,0,1,"0.9874570965766907"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9885837435722351"
L,kinfit,central,5,0,2.4,200,300,0,1,"0.9674353003501892"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.0516483783721924"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.146409771586298"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.0328445900440886"
L,kinfit,down,5,0,2.4,70,100,0,1,"1.0130737198422732"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.982865022562082"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.9828300437281088"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.9526351926915259"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.0080950288140473"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.154135992592046"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.0423367817184008"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.0198178695561602"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9874542616905728"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9885786092677327"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.9674058081888282"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.0514371465132761"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.1541389737517278"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.0423416279932347"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.0198142002064081"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9874570136099683"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9885835738386959"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9674058020383391"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.0512370780699278"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.1541199407732812"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.0423406511666684"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0198137675997145"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9874553120566247"
L,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.9885833577573315"
L,kinfit,down_jes,5,0,2.4,200,300,0,1,"0.9674016332778272"
L,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.0512370853227821"
L,kinfit,down_mass,5,0,2.4,30,50,0,1,"1.1541366046459949"
L,kinfit,down_mass,5,0,2.4,50,70,0,1,"1.0423460470117334"
L,kinfit,down_mass,5,0,2.4,70,100,0,1,"1.0198107922892596"
L,kinfit,down_mass,5,0,2.4,100,140,0,1,"0.9874555143482544"
L,kinfit,down_mass,5,0,2.4,140,200,0,1,"0.9885711880522194"
L,kinfit,down_mass,5,0,2.4,200,300,0,1,"0.9673852934648686"
L,kinfit,down_mass,5,0,2.4,300,600,0,1,"1.051190243408623"
L,kinfit,down_pileup,5,0,2.4,30,50,0,1,"1.1541373695761195"
L,kinfit,down_pileup,5,0,2.4,50,70,0,1,"1.0423535586341472"
L,kinfit,down_pileup,5,0,2.4,70,100,0,1,"1.0198175642597107"
L,kinfit,down_pileup,5,0,2.4,100,140,0,1,"0.9874562715402213"
L,kinfit,down_pileup,5,0,2.4,140,200,0,1,"0.9885837390277423"
L,kinfit,down_pileup,5,0,2.4,200,300,0,1,"0.9674349959108746"
L,kinfit,down_pileup,5,0,2.4,300,600,0,1,"1.0515788883558344"
L,kinfit,down_statistic,5,0,2.4,30,50,0,1,"1.149918757379055"
L,kinfit,down_statistic,5,0,2.4,50,70,0,1,"1.037391263525933"
L,kinfit,down_statistic,5,0,2.4,70,100,0,1,"1.0150465611368418"
L,kinfit,down_statistic,5,0,2.4,100,140,0,1,"0.9840911196079105"
L,kinfit,down_statistic,5,0,2.4,140,200,0,1,"0.9861086681485176"
L,kinfit,down_statistic,5,0,2.4,200,300,0,1,"0.9609454474411905"
L,kinfit,down_statistic,5,0,2.4,300,600,0,1,"1.0414715707302094"
L,kinfit,down_tune,5,0,2.4,30,50,0,1,"1.1541241536656202"
L,kinfit,down_tune,5,0,2.4,50,70,0,1,"1.0423373171108636"
L,kinfit,down_tune,5,0,2.4,70,100,0,1,"1.0198157811523991"
L,kinfit,down_tune,5,0,2.4,100,140,0,1,"0.9874544488717012"
L,kinfit,down_tune,5,0,2.4,140,200,0,1,"0.9885750144261456"
L,kinfit,down_tune,5,0,2.4,200,300,0,1,"0.96740134422447"
L,kinfit,down_tune,5,0,2.4,300,600,0,1,"1.0514165017187587"
L,kinfit,up,5,0,2.4,30,50,0,1,"1.1618685506335507"
L,kinfit,up,5,0,2.4,50,70,0,1,"1.0518626700877474"
L,kinfit,up,5,0,2.4,70,100,0,1,"1.0265638457705197"
L,kinfit,up,5,0,2.4,100,140,0,1,"0.9920491705912994"
L,kinfit,up,5,0,2.4,140,200,0,1,"0.9943374434163614"
L,kinfit,up,5,0,2.4,200,300,0,1,"0.9822354080088526"
L,kinfit,up,5,0,2.4,300,600,0,1,"1.0952017279303374"
L,kinfit,up_hdamp,5,0,2.4,30,50,0,1,"1.1541423296278026"
L,kinfit,up_hdamp,5,0,2.4,50,70,0,1,"1.042370478413435"
L,kinfit,up_hdamp,5,0,2.4,70,100,0,1,"1.0198196960566328"
L,kinfit,up_hdamp,5,0,2.4,100,140,0,1,"0.9874599314628085"
L,kinfit,up_hdamp,5,0,2.4,140,200,0,1,"0.9885888778767375"
L,kinfit,up_hdamp,5,0,2.4,200,300,0,1,"0.9674647925115503"
L,kinfit,up_hdamp,5,0,2.4,300,600,0,1,"1.0518596102311086"
L,kinfit,up_jer,5,0,2.4,30,50,0,1,"1.1541393484681208"
L,kinfit,up_jer,5,0,2.4,50,70,0,1,"1.0423656321386012"
L,kinfit,up_jer,5,0,2.4,70,100,0,1,"1.0198233654063849"
L,kinfit,up_jer,5,0,2.4,100,140,0,1,"0.987457179543413"
L,kinfit,up_jer,5,0,2.4,140,200,0,1,"0.9885839133057743"
L,kinfit,up_jer,5,0,2.4,200,300,0,1,"0.9674647986620393"
L,kinfit,up_jer,5,0,2.4,300,600,0,1,"1.052059678674457"
L,kinfit,up_jes,5,0,2.4,30,50,0,1,"1.1541583814465675"
L,kinfit,up_jes,5,0,2.4,50,70,0,1,"1.0423666089651675"
L,kinfit,up_jes,5,0,2.4,70,100,0,1,"1.0198237980130784"
L,kinfit,up_jes,5,0,2.4,100,140,0,1,"0.9874588810967566"
L,kinfit,up_jes,5,0,2.4,140,200,0,1,"0.9885841293871387"
L,kinfit,up_jes,5,0,2.4,200,300,0,1,"0.9674689674225512"
L,kinfit,up_jes,5,0,2.4,300,600,0,1,"1.0520596714216026"
L,kinfit,up_mass,5,0,2.4,30,50,0,1,"1.1541417175738538"
L,kinfit,up_mass,5,0,2.4,50,70,0,1,"1.0423612131201025"
L,kinfit,up_mass,5,0,2.4,70,100,0,1,"1.0198267733235333"
L,kinfit,up_mass,5,0,2.4,100,140,0,1,"0.9874586788051269"
L,kinfit,up_mass,5,0,2.4,140,200,0,1,"0.9885962990922508"
L,kinfit,up_mass,5,0,2.4,200,300,0,1,"0.9674853072355099"
L,kinfit,up_mass,5,0,2.4,300,600,0,1,"1.0521065133357617"
L,kinfit,up_pileup,5,0,2.4,30,50,0,1,"1.1541409526437292"
L,kinfit,up_pileup,5,0,2.4,50,70,0,1,"1.0423537014976887"
L,kinfit,up_pileup,5,0,2.4,70,100,0,1,"1.0198200013530823"
L,kinfit,up_pileup,5,0,2.4,100,140,0,1,"0.98745792161316"
L,kinfit,up_pileup,5,0,2.4,140,200,0,1,"0.9885837481167279"
L,kinfit,up_pileup,5,0,2.4,200,300,0,1,"0.9674356047895039"
L,kinfit,up_pileup,5,0,2.4,300,600,0,1,"1.0517178683885504"
L,kinfit,up_statistic,5,0,2.4,30,50,0,1,"1.1583595648407936"
L,kinfit,up_statistic,5,0,2.4,50,70,0,1,"1.047315996605903"
L,kinfit,up_statistic,5,0,2.4,70,100,0,1,"1.0245910044759512"
L,kinfit,up_statistic,5,0,2.4,100,140,0,1,"0.9908230735454708"
L,kinfit,up_statistic,5,0,2.4,140,200,0,1,"0.9910588189959526"
L,kinfit,up_statistic,5,0,2.4,200,300,0,1,"0.9739251532591879"
L,kinfit,up_statistic,5,0,2.4,300,600,0,1,"1.0618251860141754"
L,kinfit,up_tune,5,0,2.4,30,50,0,1,"1.1541541685542285"
L,kinfit,up_tune,5,0,2.4,50,70,0,1,"1.0423699430209723"
L,kinfit,up_tune,5,0,2.4,70,100,0,1,"1.0198217844603938"
L,kinfit,up_tune,5,0,2.4,100,140,0,1,"0.9874597442816802"
L,kinfit,up_tune,5,0,2.4,140,200,0,1,"0.9885924727183246"
L,kinfit,up_tune,5,0,2.4,200,300,0,1,"0.9674692564759084"
L,kinfit,up_tune,5,0,2.4,300,600,0,1,"1.051880255025626"
M,kinfit,central,5,0,2.4,30,50,0,1,"0.9941939115524292"
M,kinfit,central,5,0,2.4,50,70,0,1,"0.9745423793792725"
M,kinfit,central,5,0,2.4,70,100,0,1,"0.9758909940719604"
M,kinfit,central,5,0,2.4,100,140,0,1,"0.954633891582489"
M,kinfit,central,5,0,2.4,140,200,0,1,"0.9519001841545105"
M,kinfit,central,5,0,2.4,200,300,0,1,"0.936027467250824"
M,kinfit,central,5,0,2.4,300,600,0,1,"0.9264264702796936"
M,kinfit,down,5,0,2.4,30,50,0,1,"0.9856937498844545"
M,kinfit,down,5,0,2.4,50,70,0,1,"0.9678499926519039"
M,kinfit,down,5,0,2.4,70,100,0,1,"0.9704647784499663"
M,kinfit,down,5,0,2.4,100,140,0,1,"0.9484188651990871"
M,kinfit,down,5,0,2.4,140,200,0,1,"0.9434937947758197"
M,kinfit,down,5,0,2.4,200,300,0,1,"0.9259682390956698"
M,kinfit,down,5,0,2.4,300,600,0,1,"0.8904866267062465"
M,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"0.9941876299340002"
M,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"0.9745366527528025"
M,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"0.9758876764700437"
M,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9546279447889638"
