wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"0.7874941825866699"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.1336340918374415"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.4714683839690968"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"0.9283343281374604"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"0.7677555084228516"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.7860325574874878"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.7886654734611511"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8060948848724365"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.7793145179748535"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.7874971628189087"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8034011125564575"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"0.7874971628189087"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"0.7814176082611084"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"0.7870246767997742"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"0.7874971628189087"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"0.7898847464341409"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"0.7851036187391991"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.0301886549959036"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"0.5447997101774363"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"0.9888263499021092"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.5861620152712307"
L,ltsv,central,5,0,2.4,30.0,50.0,0,1,"0.9835443496704102"
L,ltsv,up,5,0,2.4,30.0,50.0,0,1,"1.041998000467595"
L,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.9279698796755601"
L,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"1.0068244500009231"
L,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"0.9739483600658875"
L,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"0.9887696504592896"
L,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"0.9763436913490295"
L,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0054506063461304"
L,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9593189358711243"
L,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9835439920425415"
L,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9902554154396057"
L,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"0.9835439920425415"
L,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"0.9776231646537781"
L,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"0.9834096431732178"
L,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"0.9835439920425415"
L,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"0.9858104995929797"
L,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"0.9812781997478406"
L,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"1.0109155326221082"
L,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"0.9561731667187121"
L,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"1.022994385899593"
L,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.9440943134412274"
L,ltsv,central,5,0,2.4,50.0,70.0,0,1,"0.9389668107032776"
L,ltsv,up,5,0,2.4,50.0,70.0,0,1,"0.9924280956361289"
L,ltsv,down,5,0,2.4,50.0,70.0,0,1,"0.8865299249027198"
L,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"0.9523031906507342"
L,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"0.9334194905064034"
L,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"0.9442655444145203"
L,ltsv,down_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"0.93178790807724"
L,ltsv,up_bfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9550225138664246"
L,ltsv,down_bfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9225365519523621"
L,ltsv,up_cfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9389649033546448"
L,ltsv,down_cfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9397806525230408"
L,ltsv,up_dmux,5,0,2.4,50.0,70.0,0,1,"0.9389649033546448"
L,ltsv,down_dmux,5,0,2.4,50.0,70.0,0,1,"0.937062680721283"
L,ltsv,up_ksl,5,0,2.4,50.0,70.0,0,1,"0.9388526678085327"
L,ltsv,down_ksl,5,0,2.4,50.0,70.0,0,1,"0.9389649033546448"
L,ltsv,up_cb,5,0,2.4,50.0,70.0,0,1,"0.9405404343466474"
L,ltsv,down_cb,5,0,2.4,50.0,70.0,0,1,"0.9373931870599078"
L,ltsv,up_add,5,0,2.4,50.0,70.0,0,1,"0.9570248147794695"
L,ltsv,down_add,5,0,2.4,50.0,70.0,0,1,"0.9209088066270856"
L,ltsv,up_statistic,5,0,2.4,50.0,70.0,0,1,"0.9845044272164346"
L,ltsv,down_statistic,5,0,2.4,50.0,70.0,0,1,"0.8934291941901206"
L,ltsv,central,5,0,2.4,70.0,100.0,0,1,"0.9693442583084106"
L,ltsv,up,5,0,2.4,70.0,100.0,0,1,"1.0124574748871997"
L,ltsv,down,5,0,2.4,70.0,100.0,0,1,"0.9255428985274978"
L,ltsv,up_jes,5,0,2.4,70.0,100.0,0,1,"0.9726831182579982"
L,ltsv,down_jes,5,0,2.4,70.0,100.0,0,1,"0.9688261151313782"
L,ltsv,up_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"0.9747392535209656"
L,ltsv,down_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"0.962272584438324"
L,ltsv,up_bfragmentation,5,0,2.4,70.0,100.0,0,1,"0.9908897876739502"
L,ltsv,down_bfragmentation,5,0,2.4,70.0,100.0,0,1,"0.9467138648033142"
L,ltsv,up_cfragmentation,5,0,2.4,70.0,100.0,0,1,"0.9693410992622375"
L,ltsv,down_cfragmentation,5,0,2.4,70.0,100.0,0,1,"0.9736709594726562"
L,ltsv,up_dmux,5,0,2.4,70.0,100.0,0,1,"0.9693410992622375"
L,ltsv,down_dmux,5,0,2.4,70.0,100.0,0,1,"0.96480792760849"
L,ltsv,up_ksl,5,0,2.4,70.0,100.0,0,1,"0.9692831635475159"
L,ltsv,down_ksl,5,0,2.4,70.0,100.0,0,1,"0.9693410992622375"
L,ltsv,up_cb,5,0,2.4,70.0,100.0,0,1,"0.9704267679374028"
L,ltsv,down_cb,5,0,2.4,70.0,100.0,0,1,"0.9682617486794185"
L,ltsv,up_add,5,0,2.4,70.0,100.0,0,1,"0.9796641266790769"
L,ltsv,down_add,5,0,2.4,70.0,100.0,0,1,"0.9590243899377444"
L,ltsv,up_statistic,5,0,2.4,70.0,100.0,0,1,"1.0042725478141123"
L,ltsv,down_statistic,5,0,2.4,70.0,100.0,0,1,"0.9344159688027089"
L,ltsv,central,5,0,2.4,100.0,140.0,0,1,"0.9958615303039551"
L,ltsv,up,5,0,2.4,100.0,140.0,0,1,"1.0470263432628528"
L,ltsv,down,5,0,2.4,100.0,140.0,0,1,"0.9431764798387315"
L,ltsv,up_jes,5,0,2.4,100.0,140.0,0,1,"0.9979039430618286"
L,ltsv,down_jes,5,0,2.4,100.0,140.0,0,1,"0.9830625903302656"
L,ltsv,up_gluonsplitting,5,0,2.4,100.0,140.0,0,1,"1.000414252281189"
L,ltsv,down_gluonsplitting,5,0,2.4,100.0,140.0,0,1,"0.9903673529624939"
L,ltsv,up_bfragmentation,5,0,2.4,100.0,140.0,0,1,"1.014931082725525"
L,ltsv,down_bfragmentation,5,0,2.4,100.0,140.0,0,1,"0.9771530628204346"
L,ltsv,up_cfragmentation,5,0,2.4,100.0,140.0,0,1,"0.9958623647689819"
L,ltsv,down_cfragmentation,5,0,2.4,100.0,140.0,0,1,"0.9992177486419678"
L,ltsv,up_dmux,5,0,2.4,100.0,140.0,0,1,"0.9958623647689819"
L,ltsv,down_dmux,5,0,2.4,100.0,140.0,0,1,"0.9921631813049316"
L,ltsv,up_ksl,5,0,2.4,100.0,140.0,0,1,"0.9957996606826782"
L,ltsv,down_ksl,5,0,2.4,100.0,140.0,0,1,"0.9958623647689819"
L,ltsv,up_cb,5,0,2.4,100.0,140.0,0,1,"0.9980151088482692"
L,ltsv,down_cb,5,0,2.4,100.0,140.0,0,1,"0.9937079517596411"
L,ltsv,up_add,5,0,2.4,100.0,140.0,0,1,"1.0253693431659714"
L,ltsv,down_add,5,0,2.4,100.0,140.0,0,1,"0.9663537174419388"
L,ltsv,up_statistic,5,0,2.4,100.0,140.0,0,1,"1.0319343799464848"
L,ltsv,down_statistic,5,0,2.4,100.0,140.0,0,1,"0.9597886806614253"
L,ltsv,central,5,0,2.4,140.0,200.0,0,1,"0.9774027466773987"
L,ltsv,up,5,0,2.4,140.0,200.0,0,1,"1.0304216284983712"
L,ltsv,down,5,0,2.4,140.0,200.0,0,1,"0.923640416343721"
L,ltsv,up_jes,5,0,2.4,140.0,200.0,0,1,"0.9883732384366247"
L,ltsv,down_jes,5,0,2.4,140.0,200.0,0,1,"0.9774027466773987"
L,ltsv,up_gluonsplitting,5,0,2.4,140.0,200.0,0,1,"0.9888451099395752"
L,ltsv,down_gluonsplitting,5,0,2.4,140.0,200.0,0,1,"0.962302029132843"
L,ltsv,up_bfragmentation,5,0,2.4,140.0,200.0,0,1,"0.9909470081329346"
L,ltsv,down_bfragmentation,5,0,2.4,140.0,200.0,0,1,"0.9598525166511536"
L,ltsv,up_cfragmentation,5,0,2.4,140.0,200.0,0,1,"0.9774067401885986"
L,ltsv,down_cfragmentation,5,0,2.4,140.0,200.0,0,1,"0.982655942440033"
L,ltsv,up_dmux,5,0,2.4,140.0,200.0,0,1,"0.9774067401885986"
L,ltsv,down_dmux,5,0,2.4,140.0,200.0,0,1,"0.9750325083732605"
L,ltsv,up_ksl,5,0,2.4,140.0,200.0,0,1,"0.9771823883056641"
L,ltsv,down_ksl,5,0,2.4,140.0,200.0,0,1,"0.9774067401885986"
L,ltsv,up_cb,5,0,2.4,140.0,200.0,0,1,"0.9803590769429612"
L,ltsv,down_cb,5,0,2.4,140.0,200.0,0,1,"0.974446416411836"
L,ltsv,up_add,5,0,2.4,140.0,200.0,0,1,"1.007567125495283"
L,ltsv,down_add,5,0,2.4,140.0,200.0,0,1,"0.9472383678595145"
L,ltsv,up_statistic,5,0,2.4,140.0,200.0,0,1,"1.0152195084356828"
L,ltsv,down_statistic,5,0,2.4,140.0,200.0,0,1,"0.9395859849191146"
L,ltsv,central,5,0,2.4,200.0,300.0,0,1,"0.9137213826179504"
L,ltsv,up,5,0,2.4,200.0,300.0,0,1,"0.9874631867336411"
L,ltsv,down,5,0,2.4,200.0,300.0,0,1,"0.8385435977070523"
L,ltsv,up_jes,5,0,2.4,200.0,300.0,0,1,"0.9307829141616821"
L,ltsv,down_jes,5,0,2.4,200.0,300.0,0,1,"0.894648657935698"
L,ltsv,up_gluonsplitting,5,0,2.4,200.0,300.0,0,1,"0.9280353784561157"
L,ltsv,down_gluonsplitting,5,0,2.4,200.0,300.0,0,1,"0.8944631814956665"
L,ltsv,up_bfragmentation,5,0,2.4,200.0,300.0,0,1,"0.9193182587623596"
L,ltsv,down_bfragmentation,5,0,2.4,200.0,300.0,0,1,"0.9080983400344849"
L,ltsv,up_cfragmentation,5,0,2.4,200.0,300.0,0,1,"0.9137216806411743"
L,ltsv,down_cfragmentation,5,0,2.4,200.0,300.0,0,1,"0.9195590615272522"
L,ltsv,up_dmux,5,0,2.4,200.0,300.0,0,1,"0.9137216806411743"
L,ltsv,down_dmux,5,0,2.4,200.0,300.0,0,1,"0.9107285141944885"
L,ltsv,up_ksl,5,0,2.4,200.0,300.0,0,1,"0.913609504699707"
L,ltsv,down_ksl,5,0,2.4,200.0,300.0,0,1,"0.9137216806411743"
L,ltsv,up_cb,5,0,2.4,200.0,300.0,0,1,"0.9174481390215663"
L,ltsv,down_cb,5,0,2.4,200.0,300.0,0,1,"0.9099946262143345"
L,ltsv,up_add,5,0,2.4,200.0,300.0,0,1,"0.9710978374370299"
L,ltsv,down_add,5,0,2.4,200.0,300.0,0,1,"0.856344927798871"
L,ltsv,up_statistic,5,0,2.4,200.0,300.0,0,1,"0.9531048896435884"
L,ltsv,down_statistic,5,0,2.4,200.0,300.0,0,1,"0.8743378755923125"
L,ltsv,central,5,0,2.4,300.0,600.0,0,1,"0.8438785672187805"
L,ltsv,up,5,0,2.4,300.0,600.0,0,1,"0.9852324670615842"
L,ltsv,down,5,0,2.4,300.0,600.0,0,1,"0.7015061173472331"
L,ltsv,up_jes,5,0,2.4,300.0,600.0,0,1,"0.8515264275518757"
L,ltsv,down_jes,5,0,2.4,300.0,600.0,0,1,"0.835529088973999"
L,ltsv,up_gluonsplitting,5,0,2.4,300.0,600.0,0,1,"0.8630078434944153"
L,ltsv,down_gluonsplitting,5,0,2.4,300.0,600.0,0,1,"0.8182111382484436"
L,ltsv,up_bfragmentation,5,0,2.4,300.0,600.0,0,1,"0.829099178314209"
L,ltsv,down_bfragmentation,5,0,2.4,300.0,600.0,0,1,"0.8585620522499084"
L,ltsv,up_cfragmentation,5,0,2.4,300.0,600.0,0,1,"0.8438783288002014"
L,ltsv,down_cfragmentation,5,0,2.4,300.0,600.0,0,1,"0.8496963977813721"
L,ltsv,up_dmux,5,0,2.4,300.0,600.0,0,1,"0.8438783288002014"
L,ltsv,down_dmux,5,0,2.4,300.0,600.0,0,1,"0.839899480342865"
L,ltsv,up_ksl,5,0,2.4,300.0,600.0,0,1,"0.8436213135719299"
L,ltsv,down_ksl,5,0,2.4,300.0,600.0,0,1,"0.8438783288002014"
L,ltsv,up_cb,5,0,2.4,300.0,600.0,0,1,"0.8474580451336603"
L,ltsv,down_cb,5,0,2.4,300.0,600.0,0,1,"0.8402990893039008"
L,ltsv,up_add,5,0,2.4,300.0,600.0,0,1,"0.9822265353077639"
L,ltsv,down_add,5,0,2.4,300.0,600.0,0,1,"0.7055305991297971"
L,ltsv,up_statistic,5,0,2.4,300.0,600.0,0,1,"0.8615106276082166"
L,ltsv,down_statistic,5,0,2.4,300.0,600.0,0,1,"0.8262465068293444"
L,ltsv,central,5,0,2.4,600.0,1000.0,0,1,"0.739201009273529"
L,ltsv,up,5,0,2.4,600.0,1000.0,0,1,"0.9865097754475121"
L,ltsv,down,5,0,2.4,600.0,1000.0,0,1,"0.48949923289092423"
L,ltsv,up_jes,5,0,2.4,600.0,1000.0,0,1,"0.7426767945289612"
L,ltsv,down_jes,5,0,2.4,600.0,1000.0,0,1,"0.7354153811473119"
L,ltsv,up_gluonsplitting,5,0,2.4,600.0,1000.0,0,1,"0.7699304819107056"
L,ltsv,down_gluonsplitting,5,0,2.4,600.0,1000.0,0,1,"0.6960254907608032"
L,ltsv,up_bfragmentation,5,0,2.4,600.0,1000.0,0,1,"0.6966874003410339"
L,ltsv,down_bfragmentation,5,0,2.4,600.0,1000.0,0,1,"0.7780086398124695"
L,ltsv,up_cfragmentation,5,0,2.4,600.0,1000.0,0,1,"0.7392008900642395"
L,ltsv,down_cfragmentation,5,0,2.4,600.0,1000.0,0,1,"0.7476159334182739"
L,ltsv,up_dmux,5,0,2.4,600.0,1000.0,0,1,"0.7392008900642395"
L,ltsv,down_dmux,5,0,2.4,600.0,1000.0,0,1,"0.7331421971321106"
L,ltsv,up_ksl,5,0,2.4,600.0,1000.0,0,1,"0.7391420006752014"
L,ltsv,down_ksl,5,0,2.4,600.0,1000.0,0,1,"0.7392008900642395"
L,ltsv,up_cb,5,0,2.4,600.0,1000.0,0,1,"0.7425590537922228"
L,ltsv,down_cb,5,0,2.4,600.0,1000.0,0,1,"0.7358429647548353"
L,ltsv,up_add,5,0,2.4,600.0,1000.0,0,1,"0.9781927375839558"
L,ltsv,down_add,5,0,2.4,600.0,1000.0,0,1,"0.5002092809631024"
L,ltsv,up_statistic,5,0,2.4,600.0,1000.0,0,1,"0.7799802947739627"
L,ltsv,down_statistic,5,0,2.4,600.0,1000.0,0,1,"0.6984217237730954"
M,ltsv,central,5,0,2.4,20.0,30.0,0,1,"0.8468186259269714"
M,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.2742214985536964"
M,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.44729857332304984"
M,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"0.9982659361757278"
M,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"0.8255913257598877"
M,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.8452450633049011"
M,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.848076343536377"
M,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8668186664581299"
M,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8380209803581238"
M,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8468199372291565"
M,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8639219403266907"
M,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"0.8468199372291565"
M,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"0.8402824401855469"
M,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"0.8463118076324463"
M,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"0.8468199372291565"
M,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"0.8509814218975793"
M,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"0.8426558299563636"
M,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.1769185584545814"
M,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"0.5167186933993615"
M,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.070491773983557"
M,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.6231454778703858"
M,ltsv,central,5,0,2.4,30.0,50.0,0,1,"0.9335668087005615"
M,ltsv,up,5,0,2.4,30.0,50.0,0,1,"0.9931318219629168"
M,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.8765393775783615"
M,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"0.955664423617946"
M,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"0.9244587885863689"
M,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"0.9385269284248352"
M,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"0.9267323613166809"
M,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9543602466583252"
M,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9105727672576904"
M,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9335668087005615"
M,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9399371147155762"
M,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"0.9335668087005615"
M,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"0.9279468059539795"
M,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"0.933439314365387"
M,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"0.9335668087005615"
M,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"0.934125505795656"
M,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"0.933008111605467"
M,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"0.9662664546222739"
M,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"0.9008671627788492"
M,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"0.9721901048370786"
M,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.8949435125640445"
M,ltsv,central,5,0,2.4,50.0,70.0,0,1,"0.942968487739563"
M,ltsv,up,5,0,2.4,50.0,70.0,0,1,"0.9964750718440372"
M,ltsv,down,5,0,2.4,50.0,70.0,0,1,"0.8904966221089337"
M,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"0.9563640426989214"
M,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"0.9373997894222426"
M,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"0.9482915997505188"
M,ltsv,down_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"0.9357606768608093"
M,ltsv,up_bfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9590943455696106"
M,ltsv,down_bfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9264698028564453"
M,ltsv,up_cfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9429682493209839"
M,ltsv,down_cfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9437874555587769"
M,ltsv,up_dmux,5,0,2.4,50.0,70.0,0,1,"0.9429682493209839"
M,ltsv,down_dmux,5,0,2.4,50.0,70.0,0,1,"0.9410579204559326"
M,ltsv,up_ksl,5,0,2.4,50.0,70.0,0,1,"0.9428555965423584"
