,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
38,L,mujets,central,5,0,2.5,20,1000,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))
39,L,mujets,central,4,0,2.5,20,1000,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))
40,L,mujets,down,5,0,2.5,20,30,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.11971839386513958
41,L,mujets,down,5,0,2.5,30,50,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.09719518784456192
42,L,mujets,down,5,0,2.5,50,70,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.09849013087685805
43,L,mujets,down,5,0,2.5,70,100,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.039977948996118506
44,L,mujets,down,5,0,2.5,100,140,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.07112219965095921
45,L,mujets,down,5,0,2.5,140,200,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.07424474408909723
46,L,mujets,down,5,0,2.5,200,300,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.08665796538686497
47,L,mujets,down,5,0,2.5,300,600,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.19065600324522597
48,L,mujets,down,5,0,2.5,600,1000,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.14117507040011518
49,L,mujets,down,4,0,2.5,20,30,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.29929598466284896
50,L,mujets,down,4,0,2.5,30,50,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.2429879696114048
51,L,mujets,down,4,0,2.5,50,70,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.24622532719214513
52,L,mujets,down,4,0,2.5,70,100,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.09994487249029627
53,L,mujets,down,4,0,2.5,100,140,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.17780549912739804
54,L,mujets,down,4,0,2.5,140,200,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.18561186022274306
55,L,mujets,down,4,0,2.5,200,300,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.21664491346716244
56,L,mujets,down,4,0,2.5,300,600,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.47664000811306495
57,L,mujets,down,4,0,2.5,600,1000,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))-0.3529376760002879
58,L,mujets,up,5,0,2.5,20,30,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.11971839386513958
59,L,mujets,up,5,0,2.5,30,50,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.09719518784456192
60,L,mujets,up,5,0,2.5,50,70,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.09849013087685805
61,L,mujets,up,5,0,2.5,70,100,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.039977948996118506
62,L,mujets,up,5,0,2.5,100,140,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.07112219965095921
63,L,mujets,up,5,0,2.5,140,200,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.07424474408909723
64,L,mujets,up,5,0,2.5,200,300,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.08665796538686497
65,L,mujets,up,5,0,2.5,300,600,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.19065600324522597
66,L,mujets,up,5,0,2.5,600,1000,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.14117507040011518
67,L,mujets,up,4,0,2.5,20,30,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.29929598466284896
68,L,mujets,up,4,0,2.5,30,50,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.2429879696114048
69,L,mujets,up,4,0,2.5,50,70,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.24622532719214513
70,L,mujets,up,4,0,2.5,70,100,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.09994487249029627
71,L,mujets,up,4,0,2.5,100,140,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.17780549912739804
72,L,mujets,up,4,0,2.5,140,200,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.18561186022274306
73,L,mujets,up,4,0,2.5,200,300,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.21664491346716244
74,L,mujets,up,4,0,2.5,300,600,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.47664000811306495
75,L,mujets,up,4,0,2.5,600,1000,0,1,1.12958+-0.00615973*log(x+19)*log(x+18)*(3-0.331738*log(x+18))+0.3529376760002879
114,M,mujets,central,5,0,2.5,20,1000,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))
115,M,mujets,central,4,0,2.5,20,1000,0,1,0.808808+0.000106702*log(x+19)*log(x+18)*(3+5.90648*log(x+18))
