wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"1.0032977458787111"
L,ptrel,central,5,0,2.5,30,50,0,1,"0.9377913830252752"
L,ptrel,central,5,0,2.5,50,70,0,1,"0.9577073939938232"
L,ptrel,central,5,0,2.5,70,100,0,1,"0.9781907238627078"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9781502798509082"
L,ptrel,central,5,0,2.5,140,200,0,1,"0.9216601765058534"
L,ptrel,central,5,0,2.5,200,300,0,1,"0.9485071262196776"
L,ptrel,central,5,0,2.5,300,600,0,1,"0.9237139295388733"
L,ptrel,central,5,0,2.5,600,1000,0,1,"0.8872276118800972"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.8803124052112465"
L,ptrel,down,5,0,2.5,30,50,0,1,"0.8431084332759594"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.8582764870761554"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.9178326765716864"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.8548199283964443"
L,ptrel,down,5,0,2.5,140,200,0,1,"0.8450425686742223"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.8572408552984301"
L,ptrel,down,5,0,2.5,300,600,0,1,"0.7303649964468489"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.7465975378077642"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"0.9531328585847756"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"0.9319192703664065"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9582241999975137"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9771223886680575"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9842410689553434"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"0.9223491900399964"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"0.970666681634546"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"0.8538973681177336"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.8428662312860924"
L,ptrel,down_btempcorr,5,0,2.5,20,30,0,1,"0.9531328585847756"
L,ptrel,down_btempcorr,5,0,2.5,30,50,0,1,"0.897277588271929"
L,ptrel,down_btempcorr,5,0,2.5,50,70,0,1,"0.9567689812971479"
L,ptrel,down_btempcorr,5,0,2.5,70,100,0,1,"0.9774932185457128"
L,ptrel,down_btempcorr,5,0,2.5,100,140,0,1,"0.995380580802675"
L,ptrel,down_btempcorr,5,0,2.5,140,200,0,1,"0.9193293609164735"
L,ptrel,down_btempcorr,5,0,2.5,200,300,0,1,"0.9248345536417111"
L,ptrel,down_btempcorr,5,0,2.5,300,600,0,1,"0.8402996425241569"
L,ptrel,down_btempcorr,5,0,2.5,600,1000,0,1,"0.8428662312860924"
L,ptrel,down_gluonsplitting,5,0,2.5,20,30,0,1,"1.0003204615119523"
L,ptrel,down_gluonsplitting,5,0,2.5,30,50,0,1,"0.8909018138740115"
L,ptrel,down_gluonsplitting,5,0,2.5,50,70,0,1,"0.9098220242941321"
L,ptrel,down_gluonsplitting,5,0,2.5,70,100,0,1,"0.9808999453867812"
L,ptrel,down_gluonsplitting,5,0,2.5,100,140,0,1,"0.9846601843374257"
L,ptrel,down_gluonsplitting,5,0,2.5,140,200,0,1,"0.9245583212598376"
L,ptrel,down_gluonsplitting,5,0,2.5,200,300,0,1,"0.9249666053430281"
L,ptrel,down_gluonsplitting,5,0,2.5,300,600,0,1,"0.9424053279584437"
L,ptrel,down_gluonsplitting,5,0,2.5,600,1000,0,1,"0.8428662312860924"
L,ptrel,down_jes,5,0,2.5,20,30,0,1,"0.9531328585847756"
L,ptrel,down_jes,5,0,2.5,30,50,0,1,"0.8909018138740115"
L,ptrel,down_jes,5,0,2.5,50,70,0,1,"0.9098220242941321"
L,ptrel,down_jes,5,0,2.5,70,100,0,1,"0.9292811876695724"
L,ptrel,down_jes,5,0,2.5,100,140,0,1,"0.9292427658583627"
L,ptrel,down_jes,5,0,2.5,140,200,0,1,"0.8755771676805607"
L,ptrel,down_jes,5,0,2.5,200,300,0,1,"0.9651965502175129"
L,ptrel,down_jes,5,0,2.5,300,600,0,1,"0.9956398510739141"
L,ptrel,down_jes,5,0,2.5,600,1000,0,1,"0.8428662312860924"
L,ptrel,down_jetaway,5,0,2.5,20,30,0,1,"0.9531328585847756"
L,ptrel,down_jetaway,5,0,2.5,30,50,0,1,"0.9006035210735807"
L,ptrel,down_jetaway,5,0,2.5,50,70,0,1,"0.9043055397519881"
L,ptrel,down_jetaway,5,0,2.5,70,100,0,1,"0.9988306792235842"
L,ptrel,down_jetaway,5,0,2.5,100,140,0,1,"0.9629313923784162"
L,ptrel,down_jetaway,5,0,2.5,140,200,0,1,"0.8952448147898213"
L,ptrel,down_jetaway,5,0,2.5,200,300,0,1,"0.9032219784832285"
L,ptrel,down_jetaway,5,0,2.5,300,600,0,1,"0.9422463998426377"
L,ptrel,down_jetaway,5,0,2.5,600,1000,0,1,"0.8872276118800972"
L,ptrel,down_l2c,5,0,2.5,20,30,0,1,"0.9531328585847756"
L,ptrel,down_l2c,5,0,2.5,30,50,0,1,"0.9532755479323711"
L,ptrel,down_l2c,5,0,2.5,50,70,0,1,"0.958554960424756"
L,ptrel,down_l2c,5,0,2.5,70,100,0,1,"0.9735531280574836"
L,ptrel,down_l2c,5,0,2.5,100,140,0,1,"0.9800903602684383"
L,ptrel,down_l2c,5,0,2.5,140,200,0,1,"0.9243320283949354"
L,ptrel,down_l2c,5,0,2.5,200,300,0,1,"0.9724143688281346"
L,ptrel,down_l2c,5,0,2.5,300,600,0,1,"0.8775282330619296"
L,ptrel,down_l2c,5,0,2.5,600,1000,0,1,"0.8428662312860924"
L,ptrel,down_ltempcorr,5,0,2.5,20,30,0,1,"1.003509634723616"
L,ptrel,down_ltempcorr,5,0,2.5,30,50,0,1,"0.9631167713396005"
L,ptrel,down_ltempcorr,5,0,2.5,50,70,0,1,"0.9630929274065376"
L,ptrel,down_ltempcorr,5,0,2.5,70,100,0,1,"0.9781739149602718"
L,ptrel,down_ltempcorr,5,0,2.5,100,140,0,1,"0.9837326812876923"
L,ptrel,down_ltempcorr,5,0,2.5,140,200,0,1,"0.9264725233724243"
L,ptrel,down_ltempcorr,5,0,2.5,200,300,0,1,"0.9205864233214454"
L,ptrel,down_ltempcorr,5,0,2.5,300,600,0,1,"0.9760483836095707"
L,ptrel,down_ltempcorr,5,0,2.5,600,1000,0,1,"0.8428662312860924"
L,ptrel,down_mudr,5,0,2.5,20,30,0,1,"1.0059154160709118"
L,ptrel,down_mudr,5,0,2.5,30,50,0,1,"0.94412534291305"
L,ptrel,down_mudr,5,0,2.5,50,70,0,1,"0.965490274622811"
L,ptrel,down_mudr,5,0,2.5,70,100,0,1,"0.9843895375775215"
L,ptrel,down_mudr,5,0,2.5,100,140,0,1,"1.0747607812557431"
L,ptrel,down_mudr,5,0,2.5,140,200,0,1,"0.9693385227942425"
L,ptrel,down_mudr,5,0,2.5,200,300,0,1,"0.9903754603700697"
L,ptrel,down_mudr,5,0,2.5,300,600,0,1,"0.9441677028004573"
L,ptrel,down_mudr,5,0,2.5,600,1000,0,1,"0.8428662312860924"
L,ptrel,down_mupt,5,0,2.5,20,30,0,1,"1.003825520896739"
L,ptrel,down_mupt,5,0,2.5,30,50,0,1,"0.9470344407762445"
L,ptrel,down_mupt,5,0,2.5,50,70,0,1,"0.9499690656267871"
L,ptrel,down_mupt,5,0,2.5,70,100,0,1,"1.005482365234212"
L,ptrel,down_mupt,5,0,2.5,100,140,0,1,"1.0312904066485893"
L,ptrel,down_mupt,5,0,2.5,140,200,0,1,"0.9486175796428384"
L,ptrel,down_mupt,5,0,2.5,200,300,0,1,"0.9585048724843119"
L,ptrel,down_mupt,5,0,2.5,300,600,0,1,"0.9557236849957294"
L,ptrel,down_mupt,5,0,2.5,600,1000,0,1,"0.8428662312860924"
L,ptrel,down_pileup,5,0,2.5,20,30,0,1,"0.9531328585847756"
L,ptrel,down_pileup,5,0,2.5,30,50,0,1,"0.9223149346643132"
L,ptrel,down_pileup,5,0,2.5,50,70,0,1,"0.9098220242941321"
L,ptrel,down_pileup,5,0,2.5,70,100,0,1,"0.9809497958419342"
L,ptrel,down_pileup,5,0,2.5,100,140,0,1,"0.9748345548043471"
L,ptrel,down_pileup,5,0,2.5,140,200,0,1,"0.9227898134605964"
L,ptrel,down_pileup,5,0,2.5,200,300,0,1,"0.9228423601695444"
L,ptrel,down_pileup,5,0,2.5,300,600,0,1,"0.8437285087292565"
