wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,sys8,central,5,0,2.5,70.0,100.0,0,1,"0.840587"
L,sys8,down,5,0,2.5,70.0,100.0,0,1,"0.712405"
L,sys8,up,5,0,2.5,70.0,100.0,0,1,"0.968769"
L,sys8,down_statistic,5,0,2.5,70.0,100.0,0,1,"0.835888"
L,sys8,up_statistic,5,0,2.5,70.0,100.0,0,1,"0.845286"
L,sys8,up_jetaway,5,0,2.5,70.0,100.0,0,1,"0.861874"
L,sys8,down_jetaway,5,0,2.5,70.0,100.0,0,1,"0.8193"
L,sys8,up_mupt,5,0,2.5,70.0,100.0,0,1,"0.96667"
L,sys8,down_mupt,5,0,2.5,70.0,100.0,0,1,"0.714504"
L,sys8,up_ptrel,5,0,2.5,70.0,100.0,0,1,"0.84785"
L,sys8,down_ptrel,5,0,2.5,70.0,100.0,0,1,"0.833324"
L,sys8,up_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"0.839013"
L,sys8,down_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"0.842161"
L,sys8,up_bfragmentation,5,0,2.5,70.0,100.0,0,1,"0.838825"
L,sys8,down_bfragmentation,5,0,2.5,70.0,100.0,0,1,"0.842349"
L,sys8,up_mudr,5,0,2.5,70.0,100.0,0,1,"0.840474"
L,sys8,down_mudr,5,0,2.5,70.0,100.0,0,1,"0.8407"
L,sys8,up_pileup,5,0,2.5,70.0,100.0,0,1,"0.840847"
L,sys8,down_pileup,5,0,2.5,70.0,100.0,0,1,"0.840327"
L,sys8,up_jes,5,0,2.5,70.0,100.0,0,1,"0.840844"
L,sys8,down_jes,5,0,2.5,70.0,100.0,0,1,"0.84033"
L,sys8,up_bdecay,5,0,2.5,70.0,100.0,0,1,"0.840807"
L,sys8,down_bdecay,5,0,2.5,70.0,100.0,0,1,"0.840367"
L,sys8,central,5,0,2.5,100.0,140.0,0,1,"0.8372"
L,sys8,down,5,0,2.5,100.0,140.0,0,1,"0.707173"
L,sys8,up,5,0,2.5,100.0,140.0,0,1,"0.967227"
L,sys8,down_statistic,5,0,2.5,100.0,140.0,0,1,"0.824453"
L,sys8,up_statistic,5,0,2.5,100.0,140.0,0,1,"0.849947"
L,sys8,up_jetaway,5,0,2.5,100.0,140.0,0,1,"0.857206"
L,sys8,down_jetaway,5,0,2.5,100.0,140.0,0,1,"0.817194"
L,sys8,up_mupt,5,0,2.5,100.0,140.0,0,1,"0.96278"
L,sys8,down_mupt,5,0,2.5,100.0,140.0,0,1,"0.71162"
L,sys8,up_ptrel,5,0,2.5,100.0,140.0,0,1,"0.824583"
L,sys8,down_ptrel,5,0,2.5,100.0,140.0,0,1,"0.849817"
L,sys8,up_gluonsplitting,5,0,2.5,100.0,140.0,0,1,"0.81705"
L,sys8,down_gluonsplitting,5,0,2.5,100.0,140.0,0,1,"0.85735"
L,sys8,up_bfragmentation,5,0,2.5,100.0,140.0,0,1,"0.834365"
L,sys8,down_bfragmentation,5,0,2.5,100.0,140.0,0,1,"0.840035"
L,sys8,up_mudr,5,0,2.5,100.0,140.0,0,1,"0.837301"
L,sys8,down_mudr,5,0,2.5,100.0,140.0,0,1,"0.837099"
L,sys8,up_pileup,5,0,2.5,100.0,140.0,0,1,"0.837659"
L,sys8,down_pileup,5,0,2.5,100.0,140.0,0,1,"0.836741"
L,sys8,up_jes,5,0,2.5,100.0,140.0,0,1,"0.836575"
L,sys8,down_jes,5,0,2.5,100.0,140.0,0,1,"0.837825"
L,sys8,up_bdecay,5,0,2.5,100.0,140.0,0,1,"0.837348"
L,sys8,down_bdecay,5,0,2.5,100.0,140.0,0,1,"0.837052"
M,sys8,central,5,0,2.5,20.0,30.0,0,1,"0.827896"
M,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.758202"
M,sys8,up,5,0,2.5,20.0,30.0,0,1,"0.89759"
M,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"0.819501"
M,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"0.836291"
M,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"0.843887"
M,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"0.811905"
M,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"0.846941"
M,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.808851"
M,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"0.763411"
M,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"0.892381"
M,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"0.826484"
M,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"0.829308"
