wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"1.006737722538984"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.984192159569608"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"1.008942499939965"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.9975375076740601"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.9940606685506832"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9949080952140938"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"1.006737722538984-0.046231378275150635"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.984192159569608-0.03657335262849741"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"1.008942499939965-0.021982709757401603"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.9975375076740601-0.015033323964422479"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.9940606685506832-0.015277982835848188"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9949080952140938-0.02451308885504544"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"1.006737722538984+0.046231378275150635"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.984192159569608+0.03657335262849741"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"1.008942499939965+0.021982709757401603"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.9975375076740601+0.015033323964422479"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.9940606685506832+0.015277982835848188"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9949080952140938+0.02451308885504544"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.006737722538984-0.0210784860702569"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.984192159569608-0.014981374440852957"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.008942499939965-0.007887143829820895"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9975375076740601-0.002996015144280451"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9940606685506832-0.0030860975069131134"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9949080952140938-0.004105074499627769"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.006737722538984+0.0210784860702569"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.984192159569608+0.014981374440852957"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.008942499939965+0.007887143829820895"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9975375076740601+0.002996015144280451"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9940606685506832+0.0030860975069131134"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9949080952140938+0.004105074499627769"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.006737722538984-0.00440753408794516"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.984192159569608-0.0029271707530547355"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.008942499939965-0.0006249719166902238"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.9975375076740601-0.0009267682993363949"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.9940606685506832-0.0007462947663228644"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9949080952140938-0.001616299353536157"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.006737722538984+0.00440753408794516"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.984192159569608+0.0029271707530547355"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.008942499939965+0.0006249719166902238"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.9975375076740601+0.0009267682993363949"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.9940606685506832+0.0007462947663228644"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9949080952140938+0.001616299353536157"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"1.006737722538984-0.009215492422033131"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.984192159569608-0.006970492216304513"
