wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,20,1000,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))"
L,comb,central,4,0,2.5,20,1000,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))"
L,comb,down,5,0,2.5,20,30,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.031426376187472585"
L,comb,down,5,0,2.5,30,50,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.015225460157719682"
L,comb,down,5,0,2.5,50,70,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.015803343425073398"
L,comb,down,5,0,2.5,70,100,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.010497621544260899"
L,comb,down,5,0,2.5,100,140,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.003934576554077389"
L,comb,down,5,0,2.5,140,200,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.004513615834932461"
L,comb,down,5,0,2.5,200,300,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.007970715423378478"
L,comb,down,5,0,2.5,300,600,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.14680008530127064"
L,comb,down,5,0,2.5,600,1000,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.08692378951187686"
L,comb,down,4,0,2.5,20,30,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.07856594046868146"
L,comb,down,4,0,2.5,30,50,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.03806365039429921"
L,comb,down,4,0,2.5,50,70,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.03950835856268349"
L,comb,down,4,0,2.5,70,100,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.026244053860652247"
L,comb,down,4,0,2.5,100,140,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.009836441385193474"
L,comb,down,4,0,2.5,140,200,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.011284039587331153"
L,comb,down,4,0,2.5,200,300,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.019926788558446193"
L,comb,down,4,0,2.5,300,600,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.3670002132531766"
L,comb,down,4,0,2.5,600,1000,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.21730947377969215"
L,comb,down_bfragmentation,5,0,2.5,20,30,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0013254625241712822"
L,comb,down_bfragmentation,5,0,2.5,30,50,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0019335253554639033"
L,comb,down_bfragmentation,5,0,2.5,50,70,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0018298123454066055"
L,comb,down_bfragmentation,5,0,2.5,70,100,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0005425674626487532"
L,comb,down_bfragmentation,5,0,2.5,100,140,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.00019837283782393714"
L,comb,down_bfragmentation,5,0,2.5,140,200,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0001926130938451831"
L,comb,down_bfragmentation,5,0,2.5,200,300,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0005419383028023716"
L,comb,down_bfragmentation,5,0,2.5,300,600,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.004587743157398102"
L,comb,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0037118337376853884"
L,comb,down_bfragmentation,4,0,2.5,20,30,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0033136563104282056"
L,comb,down_bfragmentation,4,0,2.5,30,50,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.004833813388659758"
L,comb,down_bfragmentation,4,0,2.5,50,70,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.004574530863516514"
L,comb,down_bfragmentation,4,0,2.5,70,100,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.001356418656621883"
L,comb,down_bfragmentation,4,0,2.5,100,140,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0004959320945598428"
L,comb,down_bfragmentation,4,0,2.5,140,200,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0004815327346129577"
L,comb,down_bfragmentation,4,0,2.5,200,300,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0013548457570059288"
L,comb,down_bfragmentation,4,0,2.5,300,600,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.011469357893495256"
L,comb,down_bfragmentation,4,0,2.5,600,1000,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.00927958434421347"
L,comb,down_colorreconnection,5,0,2.5,20,30,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.000115176078629286"
L,comb,down_colorreconnection,5,0,2.5,30,50,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-4.449159364673588e-06"
L,comb,down_colorreconnection,5,0,2.5,50,70,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0014635303576934428"
L,comb,down_colorreconnection,5,0,2.5,70,100,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0022730469483593146"
L,comb,down_colorreconnection,5,0,2.5,100,140,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0019392203496370838"
L,comb,down_colorreconnection,5,0,2.5,140,200,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0019061493406206447"
L,comb,down_colorreconnection,5,0,2.5,200,300,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.002936733422198941"
L,comb,down_colorreconnection,5,0,2.5,300,600,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.002150381454173487"
L,comb,down_colorreconnection,5,0,2.5,600,1000,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0004400710061933726"
L,comb,down_colorreconnection,4,0,2.5,20,30,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.000287940196573215"
L,comb,down_colorreconnection,4,0,2.5,30,50,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-1.112289841168397e-05"
L,comb,down_colorreconnection,4,0,2.5,50,70,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.003658825894233607"
L,comb,down_colorreconnection,4,0,2.5,70,100,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.005682617370898287"
L,comb,down_colorreconnection,4,0,2.5,100,140,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.004848050874092709"
L,comb,down_colorreconnection,4,0,2.5,140,200,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.004765373351551612"
L,comb,down_colorreconnection,4,0,2.5,200,300,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.007341833555497353"
L,comb,down_colorreconnection,4,0,2.5,300,600,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.005375953635433717"
L,comb,down_colorreconnection,4,0,2.5,600,1000,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.0011001775154834315"
L,comb,down_hdamp,5,0,2.5,20,30,0,1,"0.935384+0.00344289*log(x+19)*log(x+18)*(3-0.474869*log(x+18))-0.00010911146525967145"
