wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.1425306797027588"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.0390055179595947"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.0194507837295532"
L,kinfit,central,5,0,2.4,100,140,0,1,"0.9887689352035522"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9869851469993591"
L,kinfit,central,5,0,2.4,200,300,0,1,"0.973138689994812"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.0738080739974976"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.134018668162875"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.0298976517130636"
L,kinfit,down,5,0,2.4,70,100,0,1,"1.0143718772728116"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.9850247449295522"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.98040075462105"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.9651752064837916"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.0165575210636326"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.142524962913953"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.03898772457363"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.019450147516963"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9887667614935927"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9869764704285693"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.9731256285070771"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.073305623860449"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.1425304340708884"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.0389937100261157"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.0194466574430407"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9887666965125197"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9869843523746189"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9731370454606143"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.073346285591228"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.14250877304627"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.0389929649738718"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0194460943551142"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9887671384004157"
L,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.9869844937009296"
L,kinfit,down_jes,5,0,2.4,200,300,0,1,"0.9731369071464462"
L,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.0733785132930365"
L,kinfit,down_mass,5,0,2.4,30,50,0,1,"1.1425222440755078"
L,kinfit,down_mass,5,0,2.4,50,70,0,1,"1.0389960171705717"
L,kinfit,down_mass,5,0,2.4,70,100,0,1,"1.0194449811128692"
L,kinfit,down_mass,5,0,2.4,100,140,0,1,"0.9887688561385977"
L,kinfit,down_mass,5,0,2.4,140,200,0,1,"0.9869712338840051"
L,kinfit,down_mass,5,0,2.4,200,300,0,1,"0.9731262734810429"
L,kinfit,down_mass,5,0,2.4,300,600,0,1,"1.0731223835656714"
L,kinfit,down_pileup,5,0,2.4,30,50,0,1,"1.142530670240376"
L,kinfit,down_pileup,5,0,2.4,50,70,0,1,"1.0390051635403665"
L,kinfit,down_pileup,5,0,2.4,70,100,0,1,"1.0194496742185493"
L,kinfit,down_pileup,5,0,2.4,100,140,0,1,"0.9887679636345261"
L,kinfit,down_pileup,5,0,2.4,140,200,0,1,"0.9869850879464046"
L,kinfit,down_pileup,5,0,2.4,200,300,0,1,"0.9731386894460989"
L,kinfit,down_pileup,5,0,2.4,300,600,0,1,"1.0734812308428445"
L,kinfit,down_statistic,5,0,2.4,30,50,0,1,"1.1382161350920796"
L,kinfit,down_statistic,5,0,2.4,50,70,0,1,"1.0353129915893078"
L,kinfit,down_statistic,5,0,2.4,70,100,0,1,"1.01689048926346"
L,kinfit,down_statistic,5,0,2.4,100,140,0,1,"0.9862100633326918"
L,kinfit,down_statistic,5,0,2.4,140,200,0,1,"0.9839897283818573"
L,kinfit,down_statistic,5,0,2.4,200,300,0,1,"0.9674627124331892"
L,kinfit,down_statistic,5,0,2.4,300,600,0,1,"1.0578773580491543"
L,kinfit,down_tune,5,0,2.4,30,50,0,1,"1.1425131548243002"
L,kinfit,down_tune,5,0,2.4,50,70,0,1,"1.038988208996443"
L,kinfit,down_tune,5,0,2.4,70,100,0,1,"1.0194479075477396"
L,kinfit,down_tune,5,0,2.4,100,140,0,1,"0.9887687239061052"
L,kinfit,down_tune,5,0,2.4,140,200,0,1,"0.9869748619713299"
L,kinfit,down_tune,5,0,2.4,200,300,0,1,"0.9731363955792425"
L,kinfit,down_tune,5,0,2.4,300,600,0,1,"1.0731905687311496"
L,kinfit,up,5,0,2.4,30,50,0,1,"1.1510426912426426"
L,kinfit,up,5,0,2.4,50,70,0,1,"1.0481133842061259"
L,kinfit,up,5,0,2.4,70,100,0,1,"1.0245296901862948"
L,kinfit,up,5,0,2.4,100,140,0,1,"0.9925131254775523"
L,kinfit,up,5,0,2.4,140,200,0,1,"0.9935695393776682"
L,kinfit,up,5,0,2.4,200,300,0,1,"0.9811021735058324"
L,kinfit,up,5,0,2.4,300,600,0,1,"1.1310586269313625"
L,kinfit,up_hdamp,5,0,2.4,30,50,0,1,"1.1425363964915647"
L,kinfit,up_hdamp,5,0,2.4,50,70,0,1,"1.0390233113455594"
L,kinfit,up_hdamp,5,0,2.4,70,100,0,1,"1.0194514199421434"
L,kinfit,up_hdamp,5,0,2.4,100,140,0,1,"0.9887711089135118"
L,kinfit,up_hdamp,5,0,2.4,140,200,0,1,"0.986993823570149"
L,kinfit,up_hdamp,5,0,2.4,200,300,0,1,"0.973151751482547"
L,kinfit,up_hdamp,5,0,2.4,300,600,0,1,"1.074310524134546"
L,kinfit,up_jer,5,0,2.4,30,50,0,1,"1.1425309253346292"
L,kinfit,up_jer,5,0,2.4,50,70,0,1,"1.0390173258930737"
L,kinfit,up_jer,5,0,2.4,70,100,0,1,"1.0194549100160657"
L,kinfit,up_jer,5,0,2.4,100,140,0,1,"0.9887711738945848"
L,kinfit,up_jer,5,0,2.4,140,200,0,1,"0.9869859416240994"
L,kinfit,up_jer,5,0,2.4,200,300,0,1,"0.9731403345290097"
L,kinfit,up_jer,5,0,2.4,300,600,0,1,"1.0742698624037672"
L,kinfit,up_jes,5,0,2.4,30,50,0,1,"1.1425525863592476"
L,kinfit,up_jes,5,0,2.4,50,70,0,1,"1.0390180709453176"
L,kinfit,up_jes,5,0,2.4,70,100,0,1,"1.0194554731039922"
L,kinfit,up_jes,5,0,2.4,100,140,0,1,"0.9887707320066887"
L,kinfit,up_jes,5,0,2.4,140,200,0,1,"0.9869858002977887"
L,kinfit,up_jes,5,0,2.4,200,300,0,1,"0.9731404728431778"
L,kinfit,up_jes,5,0,2.4,300,600,0,1,"1.0742376347019587"
L,kinfit,up_mass,5,0,2.4,30,50,0,1,"1.1425391153300097"
L,kinfit,up_mass,5,0,2.4,50,70,0,1,"1.0390150187486178"
L,kinfit,up_mass,5,0,2.4,70,100,0,1,"1.0194565863462373"
L,kinfit,up_mass,5,0,2.4,100,140,0,1,"0.9887690142685068"
L,kinfit,up_mass,5,0,2.4,140,200,0,1,"0.9869990601147132"
L,kinfit,up_mass,5,0,2.4,200,300,0,1,"0.9731511065085812"
L,kinfit,up_mass,5,0,2.4,300,600,0,1,"1.0744937644293238"
L,kinfit,up_pileup,5,0,2.4,30,50,0,1,"1.1425306891651417"
L,kinfit,up_pileup,5,0,2.4,50,70,0,1,"1.039005872378823"
L,kinfit,up_pileup,5,0,2.4,70,100,0,1,"1.0194518932405572"
L,kinfit,up_pileup,5,0,2.4,100,140,0,1,"0.9887699067725784"
L,kinfit,up_pileup,5,0,2.4,140,200,0,1,"0.9869852060523137"
L,kinfit,up_pileup,5,0,2.4,200,300,0,1,"0.9731386905435251"
L,kinfit,up_pileup,5,0,2.4,300,600,0,1,"1.0741349171521506"
L,kinfit,up_statistic,5,0,2.4,30,50,0,1,"1.146845224313438"
L,kinfit,up_statistic,5,0,2.4,50,70,0,1,"1.0426980443298817"
L,kinfit,up_statistic,5,0,2.4,70,100,0,1,"1.0220110781956464"
L,kinfit,up_statistic,5,0,2.4,100,140,0,1,"0.9913278070744127"
L,kinfit,up_statistic,5,0,2.4,140,200,0,1,"0.989980565616861"
L,kinfit,up_statistic,5,0,2.4,200,300,0,1,"0.9788146675564349"
L,kinfit,up_statistic,5,0,2.4,300,600,0,1,"1.0897387899458408"
L,kinfit,up_tune,5,0,2.4,30,50,0,1,"1.1425482045812174"
L,kinfit,up_tune,5,0,2.4,50,70,0,1,"1.0390228269227464"
L,kinfit,up_tune,5,0,2.4,70,100,0,1,"1.0194536599113668"
L,kinfit,up_tune,5,0,2.4,100,140,0,1,"0.9887691465009993"
L,kinfit,up_tune,5,0,2.4,140,200,0,1,"0.9869954320273884"
L,kinfit,up_tune,5,0,2.4,200,300,0,1,"0.9731409844103815"
L,kinfit,up_tune,5,0,2.4,300,600,0,1,"1.0744255792638455"
M,kinfit,central,5,0,2.4,30,50,0,1,"0.9850427508354187"
M,kinfit,central,5,0,2.4,50,70,0,1,"0.9702901840209961"
M,kinfit,central,5,0,2.4,70,100,0,1,"0.9706794619560242"
M,kinfit,central,5,0,2.4,100,140,0,1,"0.9472373127937317"
M,kinfit,central,5,0,2.4,140,200,0,1,"0.9434676766395569"
M,kinfit,central,5,0,2.4,200,300,0,1,"0.9337936639785767"
M,kinfit,central,5,0,2.4,300,600,0,1,"0.9431794881820679"
M,kinfit,down,5,0,2.4,30,50,0,1,"0.976179218811886"
M,kinfit,down,5,0,2.4,50,70,0,1,"0.9635892602475145"
M,kinfit,down,5,0,2.4,70,100,0,1,"0.9648899051171742"
M,kinfit,down,5,0,2.4,100,140,0,1,"0.9401226742229087"
M,kinfit,down,5,0,2.4,140,200,0,1,"0.9355071554355354"
M,kinfit,down,5,0,2.4,200,300,0,1,"0.919762877532947"
M,kinfit,down,5,0,2.4,300,600,0,1,"0.9231138218581085"
M,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"0.9850352069588544"
M,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"0.9702850772314013"
M,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"0.9706765741376477"
M,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9472176881930983"
M,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9434576539009703"
M,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.9337801446679057"
M,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"0.9431705157511976"
M,kinfit,down_jer,5,0,2.4,30,50,0,1,"0.9850422479892664"
M,kinfit,down_jer,5,0,2.4,50,70,0,1,"0.9702900552050613"
M,kinfit,down_jer,5,0,2.4,70,100,0,1,"0.9706754603899377"
M,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9472372915902518"
M,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9434676112702993"
M,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9337935780325983"
M,kinfit,down_jer,5,0,2.4,300,600,0,1,"0.9431653072197399"
M,kinfit,down_jes,5,0,2.4,30,50,0,1,"0.9850145857546835"
M,kinfit,down_jes,5,0,2.4,50,70,0,1,"0.9702797491601265"
M,kinfit,down_jes,5,0,2.4,70,100,0,1,"0.9706744181433997"
M,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9472344981434979"
M,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.9434664861560043"
