wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"0.9050333499908447"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.2518342352517722"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.5906255882762519"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"1.0523781379717052"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"0.8754297494888306"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.9029343128204346"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.907204806804657"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.9273399710655212"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.8940951228141785"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.9050356149673462"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.9207814335823059"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"0.9050356149673462"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"0.8986285328865051"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"0.9041787981987"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"0.9050356149673462"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"0.9159486768210799"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"0.8941180231606095"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.109504092032252"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"0.7005626079494374"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.1414940947147416"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.6685726052669477"
L,ltsv,central,5,0,2.4,30.0,50.0,0,1,"1.0040409564971924"
L,ltsv,up,5,0,2.4,30.0,50.0,0,1,"1.0683162460332183"
L,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.9429362314231888"
L,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"1.0279304668604528"
L,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"0.9945290666450683"
L,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.0094493627548218"
L,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"0.9966439604759216"
L,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0267140865325928"
L,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9797183275222778"
L,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0040411949157715"
L,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0114061832427979"
L,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"1.0040411949157715"
L,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"0.9982141256332397"
L,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"1.0039079189300537"
L,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"1.0040411949157715"
L,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"1.0058456206829423"
L,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"1.0022362923114425"
L,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"1.039200935179433"
L,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"0.968880977814952"
L,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"1.0455945536298599"
L,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.962487359364525"
L,ltsv,central,5,0,2.4,50.0,70.0,0,1,"0.9781469702720642"
L,ltsv,up,5,0,2.4,50.0,70.0,0,1,"1.0344121086712064"
L,ltsv,down,5,0,2.4,50.0,70.0,0,1,"0.9216175222762865"
L,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"0.9884202726872302"
L,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"0.9694145711508998"
L,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"0.9855518341064453"
L,ltsv,down_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"0.9683818221092224"
L,ltsv,up_bfragmentation,5,0,2.4,50.0,70.0,0,1,"0.99409019947052"
L,ltsv,down_bfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9616866707801819"
L,ltsv,up_cfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9781472682952881"
L,ltsv,down_cfragmentation,5,0,2.4,50.0,70.0,0,1,"0.9799889326095581"
L,ltsv,up_dmux,5,0,2.4,50.0,70.0,0,1,"0.9781472682952881"
L,ltsv,down_dmux,5,0,2.4,50.0,70.0,0,1,"0.9758668541908264"
L,ltsv,up_ksl,5,0,2.4,50.0,70.0,0,1,"0.9780396223068237"
