,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
38,L,mujets,central,5,0,2.5,20,1000,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))
39,L,mujets,central,4,0,2.5,20,1000,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))
40,L,mujets,down,5,0,2.5,20,30,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.03155891533523885
41,L,mujets,down,5,0,2.5,30,50,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.015461986869649032
42,L,mujets,down,5,0,2.5,50,70,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.017091942830261855
43,L,mujets,down,5,0,2.5,70,100,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.02254903578185657
44,L,mujets,down,5,0,2.5,100,140,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.033841093772853194
45,L,mujets,down,5,0,2.5,140,200,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.06622959707643217
46,L,mujets,down,5,0,2.5,200,300,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.07146070595965476
47,L,mujets,down,5,0,2.5,300,600,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.1480802506446488
48,L,mujets,down,5,0,2.5,600,1000,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.09118693981672243
49,L,mujets,down,4,0,2.5,20,30,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.07889728833809713
50,L,mujets,down,4,0,2.5,30,50,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.03865496717412258
51,L,mujets,down,4,0,2.5,50,70,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.04272985707565464
52,L,mujets,down,4,0,2.5,70,100,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.05637258945464143
53,L,mujets,down,4,0,2.5,100,140,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.08460273443213298
54,L,mujets,down,4,0,2.5,140,200,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.16557399269108042
55,L,mujets,down,4,0,2.5,200,300,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.1786517648991369
56,L,mujets,down,4,0,2.5,300,600,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.370200626611622
57,L,mujets,down,4,0,2.5,600,1000,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))-0.22796734954180609
58,L,mujets,up,5,0,2.5,20,30,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.03155891533523885
59,L,mujets,up,5,0,2.5,30,50,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.015461986869649032
60,L,mujets,up,5,0,2.5,50,70,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.017091942830261855
61,L,mujets,up,5,0,2.5,70,100,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.02254903578185657
62,L,mujets,up,5,0,2.5,100,140,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.033841093772853194
63,L,mujets,up,5,0,2.5,140,200,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.06622959707643217
64,L,mujets,up,5,0,2.5,200,300,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.07146070595965476
65,L,mujets,up,5,0,2.5,300,600,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.1480802506446488
66,L,mujets,up,5,0,2.5,600,1000,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.09118693981672243
67,L,mujets,up,4,0,2.5,20,30,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.07889728833809713
68,L,mujets,up,4,0,2.5,30,50,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.03865496717412258
69,L,mujets,up,4,0,2.5,50,70,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.04272985707565464
70,L,mujets,up,4,0,2.5,70,100,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.05637258945464143
71,L,mujets,up,4,0,2.5,100,140,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.08460273443213298
72,L,mujets,up,4,0,2.5,140,200,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.16557399269108042
73,L,mujets,up,4,0,2.5,200,300,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.1786517648991369
74,L,mujets,up,4,0,2.5,300,600,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.370200626611622
75,L,mujets,up,4,0,2.5,600,1000,0,1,1.01467+-0.00016522*log(x+19)*log(x+18)*(3+1.06922*log(x+18))+0.22796734954180609
114,M,mujets,central,5,0,2.5,20,1000,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))
115,M,mujets,central,4,0,2.5,20,1000,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))
116,M,mujets,down,5,0,2.5,20,30,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.03796298932540193
117,M,mujets,down,5,0,2.5,30,50,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.030215844351665976
118,M,mujets,down,5,0,2.5,50,70,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.022313979270893916
119,M,mujets,down,5,0,2.5,70,100,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.025853926951862675
120,M,mujets,down,5,0,2.5,100,140,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.04182836961334057
121,M,mujets,down,5,0,2.5,140,200,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.090493887893605
122,M,mujets,down,5,0,2.5,200,300,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.1439733460866963
123,M,mujets,down,5,0,2.5,300,600,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.26095955603925086
124,M,mujets,down,5,0,2.5,600,1000,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.16139789088416231
125,M,mujets,down,4,0,2.5,20,30,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.11388896797620579
126,M,mujets,down,4,0,2.5,30,50,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.09064753305499793
127,M,mujets,down,4,0,2.5,50,70,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.06694193781268175
128,M,mujets,down,4,0,2.5,70,100,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.07756178085558803
129,M,mujets,down,4,0,2.5,100,140,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.1254851088400217
130,M,mujets,down,4,0,2.5,140,200,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.271481663680815
131,M,mujets,down,4,0,2.5,200,300,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.43192003826008885
132,M,mujets,down,4,0,2.5,300,600,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.7828786681177526
133,M,mujets,down,4,0,2.5,600,1000,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))-0.4841936726524869
134,M,mujets,up,5,0,2.5,20,30,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.03796298932540193
135,M,mujets,up,5,0,2.5,30,50,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.030215844351665976
136,M,mujets,up,5,0,2.5,50,70,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.022313979270893916
137,M,mujets,up,5,0,2.5,70,100,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.025853926951862675
138,M,mujets,up,5,0,2.5,100,140,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.04182836961334057
139,M,mujets,up,5,0,2.5,140,200,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.090493887893605
140,M,mujets,up,5,0,2.5,200,300,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.1439733460866963
141,M,mujets,up,5,0,2.5,300,600,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.26095955603925086
142,M,mujets,up,5,0,2.5,600,1000,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.16139789088416231
143,M,mujets,up,4,0,2.5,20,30,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.11388896797620579
144,M,mujets,up,4,0,2.5,30,50,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.09064753305499793
145,M,mujets,up,4,0,2.5,50,70,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.06694193781268175
146,M,mujets,up,4,0,2.5,70,100,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.07756178085558803
147,M,mujets,up,4,0,2.5,100,140,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.1254851088400217
148,M,mujets,up,4,0,2.5,140,200,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.271481663680815
149,M,mujets,up,4,0,2.5,200,300,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.43192003826008885
150,M,mujets,up,4,0,2.5,300,600,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.7828786681177526
151,M,mujets,up,4,0,2.5,600,1000,0,1,0.666605+0.0124779*log(x+19)*log(x+18)*(3-0.378046*log(x+18))+0.4841936726524869
190,T,mujets,central,5,0,2.5,20,1000,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))
191,T,mujets,central,4,0,2.5,20,1000,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))
192,T,mujets,down,5,0,2.5,20,30,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))-0.033078187511213525
193,T,mujets,down,5,0,2.5,30,50,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))-0.040820306360416704
194,T,mujets,down,5,0,2.5,50,70,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))-0.02932064069403364
195,T,mujets,down,5,0,2.5,70,100,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))-0.02684309376208571
196,T,mujets,down,5,0,2.5,100,140,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))-0.04457561231920614
197,T,mujets,down,5,0,2.5,140,200,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))-0.13220568217599157
198,T,mujets,down,5,0,2.5,200,300,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))-0.13806651571590198
199,T,mujets,down,5,0,2.5,300,600,0,1,0.846471+0.0077513*log(x+19)*log(x+18)*(3-0.44524*log(x+18))-0.2335128668094446
