wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"0.9076236668830976"
L,ptrel,central,5,0,2.5,30,50,0,1,"0.9629777505873387"
L,ptrel,central,5,0,2.5,50,70,0,1,"0.9442527967158593"
L,ptrel,central,5,0,2.5,70,100,0,1,"0.9518366738028263"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9355039174565354"
L,ptrel,central,5,0,2.5,140,200,0,1,"0.9358637161597431"
L,ptrel,central,5,0,2.5,200,300,0,1,"0.9161890326739827"
L,ptrel,central,5,0,2.5,300,600,0,1,"0.9061424122197672"
L,ptrel,central,5,0,2.5,600,1000,0,1,"1.00170670246729"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.8385455296690969"
L,ptrel,down,5,0,2.5,30,50,0,1,"0.8886624378823409"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.8558874155914118"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.8946285142482215"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.860459835244"
L,ptrel,down,5,0,2.5,140,200,0,1,"0.8699371075620979"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.8420466584262322"
L,ptrel,down,5,0,2.5,300,600,0,1,"0.7589035486339472"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.9025779649222945"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"0.9050031818916102"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"0.9600621846855469"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9343747186905611"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9494924744511339"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9234483518756357"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"0.9294207315394274"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"0.9157910277332977"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"0.9134506354479546"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"1.0051766997948832"
L,ptrel,down_btempcorr,5,0,2.5,20,30,0,1,"0.9096409554921434"
L,ptrel,down_btempcorr,5,0,2.5,30,50,0,1,"0.9669523301390538"
L,ptrel,down_btempcorr,5,0,2.5,50,70,0,1,"0.9361893478803964"
L,ptrel,down_btempcorr,5,0,2.5,70,100,0,1,"0.9511565082698723"
L,ptrel,down_btempcorr,5,0,2.5,100,140,0,1,"0.9215061916656646"
L,ptrel,down_btempcorr,5,0,2.5,140,200,0,1,"0.9312133957031851"
L,ptrel,down_btempcorr,5,0,2.5,200,300,0,1,"0.9067740244529077"
L,ptrel,down_btempcorr,5,0,2.5,300,600,0,1,"0.7950465900570205"
L,ptrel,down_btempcorr,5,0,2.5,600,1000,0,1,"1.0768321268612016"
L,ptrel,down_gluonsplitting,5,0,2.5,20,30,0,1,"0.9079068837219104"
L,ptrel,down_gluonsplitting,5,0,2.5,30,50,0,1,"0.9633783309529975"
L,ptrel,down_gluonsplitting,5,0,2.5,50,70,0,1,"0.8970401568800663"
L,ptrel,down_gluonsplitting,5,0,2.5,70,100,0,1,"0.9545149969256984"
L,ptrel,down_gluonsplitting,5,0,2.5,100,140,0,1,"0.9478368044681271"
L,ptrel,down_gluonsplitting,5,0,2.5,140,200,0,1,"0.9288612047493974"
L,ptrel,down_gluonsplitting,5,0,2.5,200,300,0,1,"0.913021623094262"
L,ptrel,down_gluonsplitting,5,0,2.5,300,600,0,1,"0.8957886348136512"
L,ptrel,down_gluonsplitting,5,0,2.5,600,1000,0,1,"1.0054107260376521"
L,ptrel,down_jes,5,0,2.5,20,30,0,1,"0.8622424835389427"
L,ptrel,down_jes,5,0,2.5,30,50,0,1,"0.9148288630579717"
L,ptrel,down_jes,5,0,2.5,50,70,0,1,"0.8970401568800663"
L,ptrel,down_jes,5,0,2.5,70,100,0,1,"0.904244840112685"
L,ptrel,down_jes,5,0,2.5,100,140,0,1,"0.8887287215837086"
L,ptrel,down_jes,5,0,2.5,140,200,0,1,"0.8890705303517559"
L,ptrel,down_jes,5,0,2.5,200,300,0,1,"0.9216825265783601"
L,ptrel,down_jes,5,0,2.5,300,600,0,1,"0.9199032162047802"
L,ptrel,down_jes,5,0,2.5,600,1000,0,1,"1.014045572875706"
L,ptrel,down_jetaway,5,0,2.5,20,30,0,1,"0.8602629495901073"
L,ptrel,down_jetaway,5,0,2.5,30,50,0,1,"0.957409592818715"
L,ptrel,down_jetaway,5,0,2.5,50,70,0,1,"0.9168633925105829"
L,ptrel,down_jetaway,5,0,2.5,70,100,0,1,"0.938282426227396"
L,ptrel,down_jetaway,5,0,2.5,100,140,0,1,"0.9747539913429358"
L,ptrel,down_jetaway,5,0,2.5,140,200,0,1,"0.915964521299232"
L,ptrel,down_jetaway,5,0,2.5,200,300,0,1,"0.8700912171070424"
L,ptrel,down_jetaway,5,0,2.5,300,600,0,1,"0.873439976247586"
L,ptrel,down_jetaway,5,0,2.5,600,1000,0,1,"1.0170160110562365"
L,ptrel,down_l2c,5,0,2.5,20,30,0,1,"0.9051510677762401"
L,ptrel,down_l2c,5,0,2.5,30,50,0,1,"0.9606733758580841"
L,ptrel,down_l2c,5,0,2.5,50,70,0,1,"0.8970401568800663"
L,ptrel,down_l2c,5,0,2.5,70,100,0,1,"0.955150162748216"
L,ptrel,down_l2c,5,0,2.5,100,140,0,1,"0.9526052921671888"
L,ptrel,down_l2c,5,0,2.5,140,200,0,1,"0.9198474026250558"
