wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,sys8,central,5,0,2.5,20.0,30.0,0,1,"0.989743"
L,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.958294"
L,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.02119"
L,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"0.980805"
L,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"0.998681"
L,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"1.01217"
L,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"0.967319"
L,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"0.98758"
L,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.991906"
L,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.00931"
L,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"0.970176"
L,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"0.990001"
L,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"0.989485"
L,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"0.991419"
L,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"0.988067"
L,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"0.988863"
L,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"0.990623"
L,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"0.986342"
L,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"0.993144"
L,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"0.98807"
L,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"0.991416"
L,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"0.990598"
L,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"0.988888"
L,sys8,central,5,0,2.5,30.0,50.0,0,1,"0.993142"
L,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.977696"
L,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.00859"
L,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.987215"
L,sys8,up_statistic,5,0,2.5,30.0,50.0,0,1,"0.999069"
L,sys8,up_jetaway,5,0,2.5,30.0,50.0,0,1,"0.981449"
L,sys8,down_jetaway,5,0,2.5,30.0,50.0,0,1,"1.00483"
L,sys8,up_mupt,5,0,2.5,30.0,50.0,0,1,"0.988173"
L,sys8,down_mupt,5,0,2.5,30.0,50.0,0,1,"0.998111"
L,sys8,up_ptrel,5,0,2.5,30.0,50.0,0,1,"0.987666"
L,sys8,down_ptrel,5,0,2.5,30.0,50.0,0,1,"0.998618"
L,sys8,up_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"0.9933"
L,sys8,down_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"0.992984"
L,sys8,up_bfragmentation,5,0,2.5,30.0,50.0,0,1,"0.995195"
