wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"1.0076883229811167"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"1.0000898537545126"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"1.0027908144336644"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.9880932803680279"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.9910524513949979"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9704538100923948"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"1.0076883229811167-0.05204839523109674"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"1.0000898537545126-0.03960725092174365"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"1.0027908144336644-0.023823931497099115"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.9880932803680279-0.016441215714491562"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.9910524513949979-0.017011565263112573"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9704538100923948-0.03174324593349927"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"1.0076883229811167+0.05204839523109674"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"1.0000898537545126+0.03960725092174365"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"1.0027908144336644+0.023823931497099115"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.9880932803680279+0.016441215714491562"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.9910524513949979+0.017011565263112573"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9704538100923948+0.03174324593349927"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.0076883229811167-0.024903662730154996"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.0000898537545126-0.01702548260188452"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0027908144336644-0.00861145061163208"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9880932803680279-0.003445321241439105"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9910524513949979-0.0033717406594672623"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9704538100923948-0.0058807794190195925"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.0076883229811167+0.024903662730154996"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.0000898537545126+0.01702548260188452"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0027908144336644+0.00861145061163208"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9880932803680279+0.003445321241439105"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9910524513949979+0.0033717406594672623"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9704538100923948+0.0058807794190195925"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.0076883229811167-0.006820166471731416"
