wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"1.29208+0.00100001*x+-2.23629e-06*x*x+1.30618e-09*x*x*x"
L,light,down,0,0,2.5,20,1000,0,1,"1.24306+0.000569403*x+-1.24884e-06*x*x+7.22316e-10*x*x*x"
L,light,up,0,0,2.5,20,1000,0,1,"1.34076+0.00142974*x+-3.22021e-06*x*x+1.88839e-09*x*x*x"
M,light,central,0,0,2.5,20,1000,0,1,"1.45215+-8.53762e-07*x+-1.143e-06*x*x+9.99123e-10*x*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"1.28977+-0.000771452*x+6.46636e-07*x*x+-6.15265e-11*x*x*x"
M,light,up,0,0,2.5,20,1000,0,1,"1.61438+0.000769188*x+-2.93287e-06*x*x+2.06463e-09*x*x*x"
T,light,central,0,0,2.5,20,1000,0,1,"1.38589+-0.000658227*x+-5.12833e-07*x*x+8.17491e-10*x*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"1.0379+-0.000915628*x+6.85241e-07*x*x+-5.58295e-11*x*x*x"
T,light,up,0,0,2.5,20,1000,0,1,"1.72773+-0.000326307*x+-1.95084e-06*x*x+1.91798e-09*x*x*x"
XT,light,central,0,0,2.5,20,1000,0,1,"1.34871+-0.000834925*x+-1.82893e-07*x*x+5.98791e-10*x*x*x"
XT,light,down,0,0,2.5,20,1000,0,1,"1.08532+-0.001077*x+1.02063e-06*x*x+-2.93236e-10*x*x*x"
XT,light,up,0,0,2.5,20,1000,0,1,"1.60695+-0.000531084*x+-1.5839e-06*x*x+1.67858e-09*x*x*x"
XXT,light,central,0,0,2.5,20,1000,0,1,"1.11955+-0.00106342*x+9.04636e-07*x*x+-2.65032e-10*x*x*x"
XXT,light,down,0,0,2.5,20,1000,0,1,"0.730938+-0.000409922*x+3.60614e-07*x*x+-1.45536e-10*x*x*x"
XXT,light,up,0,0,2.5,20,1000,0,1,"1.50804+-0.00171237*x+1.43205e-06*x*x+-3.65614e-10*x*x*x"
