wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"-20.6253+22.2561*x/(0.689986+x)+-0.000203905*x"
L,light,down,0,0,2.5,20,1000,0,1,"-9.94366+11.391*x/(1.09032+x)+-0.000133059*x"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(-20.6253+22.2561*x/(0.689986+x)+-0.000203905*x)*(1-(0.0528107+0.000324833*x+-6.78977e-07*x*x+3.84254e-10*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-20.6253+22.2561*x/(0.689986+x)+-0.000203905*x)*(1-(0.0307683+-9.5526e-07*x+-4.68646e-09*x*x+6.52558e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"-13.8223+15.6555*x/(1.37109+x)+-0.000295745*x"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(-20.6253+22.2561*x/(0.689986+x)+-0.000203905*x)*(1+(0.0528107+0.000324833*x+-6.78977e-07*x*x+3.84254e-10*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-20.6253+22.2561*x/(0.689986+x)+-0.000203905*x)*(1+(0.0307683+-9.5526e-07*x+-4.68646e-09*x*x+6.52558e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"0.321936+1.6666*x/(28.4258+x)+-0.00155022*x+9.48754e-07*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"0.244457+1.29937*x/(22.8222+x)+-0.00111584*x+7.20015e-07*x*x"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.321936+1.6666*x/(28.4258+x)+-0.00155022*x+9.48754e-07*x*x)*(1-(0.141864+0.000301356*x+-6.39903e-07*x*x+3.59893e-10*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.321936+1.6666*x/(28.4258+x)+-0.00155022*x+9.48754e-07*x*x)*(1-(0.0610244+2.3544e-06*x+-9.82021e-09*x*x+7.64546e-12*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"0.0534575+2.3759*x/(26.6582+x)+-0.00198153*x+1.17797e-06*x*x"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.321936+1.6666*x/(28.4258+x)+-0.00155022*x+9.48754e-07*x*x)*(1+(0.141864+0.000301356*x+-6.39903e-07*x*x+3.59893e-10*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.321936+1.6666*x/(28.4258+x)+-0.00155022*x+9.48754e-07*x*x)*(1+(0.0610244+2.3544e-06*x+-9.82021e-09*x*x+7.64546e-12*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"-0.526469+2.33501*x/(13.865+x)+-0.00151655*x+8.47416e-07*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"-9.92877+11.1486*x/(1.31775+x)+-0.000858275*x+4.87145e-07*x*x"
