wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.704503+1.24492*x/(41.5839+x)+-0.00106298*x+5.26889e-07*x*x"
L,light,down,0,0,2.5,20,1000,0,1,"1.23051+1224.04*x/(-3.23209e+06+x)+0.000995769*x+-6.45313e-07*x*x"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.704503+1.24492*x/(41.5839+x)+-0.00106298*x+5.26889e-07*x*x)*(1-(0.023345+0.000347534*x+-7.18348e-07*x*x+4.01234e-10*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.704503+1.24492*x/(41.5839+x)+-0.00106298*x+5.26889e-07*x*x)*(1-(0.00210056+1.54944e-05*x+-4.33941e-08*x*x+3.10353e-11*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"0.809512+1.51857*x/(68.5139+x)+-0.001589*x+7.90835e-07*x*x"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.704503+1.24492*x/(41.5839+x)+-0.00106298*x+5.26889e-07*x*x)*(1+(0.023345+0.000347534*x+-7.18348e-07*x*x+4.01234e-10*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.704503+1.24492*x/(41.5839+x)+-0.00106298*x+5.26889e-07*x*x)*(1+(0.00210056+1.54944e-05*x+-4.33941e-08*x*x+3.10353e-11*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"-15.7732+17.5987*x/(0.856499+x)+-0.00125175*x+7.79088e-07*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"-26.3854+27.8894*x/(0.345181+x)+-0.00106634*x+7.36334e-07*x*x"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(-15.7732+17.5987*x/(0.856499+x)+-0.00125175*x+7.79088e-07*x*x)*(1-(0.0726286+0.000606131*x+-1.17837e-06*x*x+6.39213e-10*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-15.7732+17.5987*x/(0.856499+x)+-0.00125175*x+7.79088e-07*x*x)*(1-(0.0629362+-1.41373e-05*x+2.57727e-08*x*x+-1.42943e-11*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"0.641264+1.71206*x/(31.4452+x)+-0.00185923*x+1.08595e-06*x*x"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(-15.7732+17.5987*x/(0.856499+x)+-0.00125175*x+7.79088e-07*x*x)*(1+(0.0726286+0.000606131*x+-1.17837e-06*x*x+6.39213e-10*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-15.7732+17.5987*x/(0.856499+x)+-0.00125175*x+7.79088e-07*x*x)*(1+(0.0629362+-1.41373e-05*x+2.57727e-08*x*x+-1.42943e-11*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"1.53591+-0.00156703*x+1.74275e-06*x*x+-6.4498e-10*x*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"1.21234+-0.00172088*x+2.42706e-06*x*x+-1.12299e-09*x*x*x"
T,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.53591+-0.00156703*x+1.74275e-06*x*x+-6.4498e-10*x*x*x)*(1-(0.164802+0.000563817*x+-1.14962e-06*x*x+6.47628e-10*x*x*x))"
T,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.53591+-0.00156703*x+1.74275e-06*x*x+-6.4498e-10*x*x*x)*(1-(0.114202+-5.56303e-05*x+8.52128e-08*x*x+-4.25696e-11*x*x*x))"
T,light,up,0,0,2.5,20,1000,0,1,"1.8604+-0.00141753*x+1.06732e-06*x*x+-1.72595e-10*x*x*x"
T,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.53591+-0.00156703*x+1.74275e-06*x*x+-6.4498e-10*x*x*x)*(1+(0.164802+0.000563817*x+-1.14962e-06*x*x+6.47628e-10*x*x*x))"
T,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(1.53591+-0.00156703*x+1.74275e-06*x*x+-6.4498e-10*x*x*x)*(1+(0.114202+-5.56303e-05*x+8.52128e-08*x*x+-4.25696e-11*x*x*x))"
XT,light,central,0,0,2.5,20,1000,0,1,"1.49343+-0.00195598*x+2.7116e-06*x*x+-1.31526e-09*x*x*x"
XT,light,down,0,0,2.5,20,1000,0,1,"1.22535+-0.00211015*x+3.34504e-06*x*x+-1.74131e-09*x*x*x"
XT,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.49343+-0.00195598*x+2.7116e-06*x*x+-1.31526e-09*x*x*x)*(1-(0.135047+0.000567766*x+-1.16859e-06*x*x+6.55244e-10*x*x*x))"
XT,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.49343+-0.00195598*x+2.7116e-06*x*x+-1.31526e-09*x*x*x)*(1-(0.108252+9.94381e-07*x+-2.44675e-08*x*x+2.04875e-11*x*x*x))"
XT,light,up,0,0,2.5,20,1000,0,1,"1.76247+-0.00180538*x+2.08646e-06*x*x+-8.97213e-10*x*x*x"
XT,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.49343+-0.00195598*x+2.7116e-06*x*x+-1.31526e-09*x*x*x)*(1+(0.135047+0.000567766*x+-1.16859e-06*x*x+6.55244e-10*x*x*x))"
XT,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(1.49343+-0.00195598*x+2.7116e-06*x*x+-1.31526e-09*x*x*x)*(1+(0.108252+9.94381e-07*x+-2.44675e-08*x*x+2.04875e-11*x*x*x))"
XXT,light,central,0,0,2.5,20,1000,0,1,"1.08453+-0.000705444*x+5.52829e-07*x*x"
XXT,light,down,0,0,2.5,20,1000,0,1,"0.684129+-0.000161595*x+1.69222e-07*x*x"
XXT,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.08453+-0.000705444*x+5.52829e-07*x*x)*(1-(0.37036+-0.000657865*x+1.01752e-06*x*x+-5.45122e-10*x*x*x))"
XXT,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.08453+-0.000705444*x+5.52829e-07*x*x)*(1-(0.16431+-0.000113763*x+1.1599e-07*x*x+-4.17206e-11*x*x*x))"
XXT,light,up,0,0,2.5,20,1000,0,1,"1.48528+-0.00125096*x+9.39125e-07*x*x"
XXT,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.08453+-0.000705444*x+5.52829e-07*x*x)*(1+(0.37036+-0.000657865*x+1.01752e-06*x*x+-5.45122e-10*x*x*x))"
XXT,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(1.08453+-0.000705444*x+5.52829e-07*x*x)*(1+(0.16431+-0.000113763*x+1.1599e-07*x*x+-4.17206e-11*x*x*x))"
