wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.104,"0.854206118464389"
-,shape,central,5,0,2.5,20,40,0.104,0.305,"11.835049487139642*(x-0.104)*(x-0.104)*(x-0.104)-12.320343874163694*(x-0.104)*(x-0.104)+3.518334734424019*(x-0.104)+0.854206118464389"
-,shape,central,5,0,2.5,20,40,0.305,0.39,"324.04513217192283*(x-0.305)*(x-0.305)*(x-0.305)-43.1106038010377*(x-0.305)*(x-0.305)+0.0*(x-0.305)+1.159744901923845"
-,shape,central,5,0,2.5,20,40,0.39,0.496,"-10.291559392812816*(x-0.39)*(x-0.39)*(x-0.39)+2.394697378574208*(x-0.39)*(x-0.39)-0.30512440634998045*(x-0.39)+1.0472750062564298"
-,shape,central,5,0,2.5,20,40,0.496,0.606,"-1.3226002335055003*(x-0.496)*(x-0.496)*(x-0.496)+0.3034780123298701*(x-0.496)*(x-0.496)-0.14435644610518278*(x-0.496)+1.0295812270272013"
-,shape,central,5,0,2.5,20,40,0.606,0.718,"2.9966236351752595*(x-0.606)*(x-0.606)*(x-0.606)-0.32353086644124107*(x-0.606)*(x-0.606)-0.12560167186886104*(x-0.606)+1.0156137209940268"
-,shape,central,5,0,2.5,20,40,0.718,0.83,"3.5546928738481776*(x-0.718)*(x-0.718)*(x-0.718)-0.21636855766013804*(x-0.718)*(x-0.718)-0.08530364531278367*(x-0.718)+1.001698003006595"
-,shape,central,5,0,2.5,20,40,0.83,0.971,"-1.2502244210705322*(x-0.83)*(x-0.83)*(x-0.83)+1.154371930281808*(x-0.83)*(x-0.83)+0.0*(x-0.83)+0.9944239550941442"
-,shape,central,5,0,2.5,20,40,0.971,1.1,"1.0138693680882191"
-,shape,central,5,0,2.5,40,60,0,0.103,"0.9960444055367365"
-,shape,central,5,0,2.5,40,60,0.103,0.32,"-0.6379206682162872*(x-0.103)*(x-0.103)*(x-0.103)-0.7865282615714363*(x-0.103)*(x-0.103)+0.6537303835975846*(x-0.103)+0.9960444055367365"
-,shape,central,5,0,2.5,40,60,0.32,0.421,"-9.361508511118679*(x-0.32)*(x-0.32)*(x-0.32)+0.3179716135004645*(x-0.32)*(x-0.32)+0.22225997903867092*(x-0.32)+1.0943485964112718"
-,shape,central,5,0,2.5,40,60,0.421,0.525,"6.759727290643852*(x-0.421)*(x-0.421)*(x-0.421)-2.4820612286913413*(x-0.421)*(x-0.421)+0.0*(x-0.421)+1.1103953111429816"
-,shape,central,5,0,2.5,40,60,0.525,0.636,"102.11227019212996*(x-0.525)*(x-0.525)*(x-0.525)-15.664174498516719*(x-0.525)*(x-0.525)-0.29692910444098725*(x-0.525)+1.091153110772519"
-,shape,central,5,0,2.5,40,60,0.636,0.748,"-15.631395442928067*(x-0.636)*(x-0.636)*(x-0.636)+2.626074434411915*(x-0.636)*(x-0.636)+0.0*(x-0.636)+1.0048475923784776"
-,shape,central,5,0,2.5,40,60,0.748,0.855,"5.322989297600984*(x-0.748)*(x-0.748)*(x-0.748)-1.5930421194442248*(x-0.748)*(x-0.748)+0.0*(x-0.748)+1.0158280849468988"
-,shape,central,5,0,2.5,40,60,0.855,0.98,"2.4144738129248413*(x-0.855)*(x-0.855)*(x-0.855)-1.4101217352033157*(x-0.855)*(x-0.855)-0.15808230015636315*(x-0.855)+1.0041102364994827"
-,shape,central,5,0,2.5,40,60,0.98,1.1,"0.9670325660332544"
-,shape,central,5,0,2.5,60,80,0,0.099,"1.0552408175240593"
-,shape,central,5,0,2.5,60,80,0.099,0.314,"-2.154777370400127*(x-0.099)*(x-0.099)*(x-0.099)+1.3898314039080821*(x-0.099)*(x-0.099)-0.2988137518402376*(x-0.099)+1.0552408175240593"
-,shape,central,5,0,2.5,60,80,0.314,0.426,"-78.27235841703315*(x-0.314)*(x-0.314)*(x-0.314)+13.149756214061568*(x-0.314)*(x-0.314)+0.0*(x-0.314)+1.033825831975509"
-,shape,central,5,0,2.5,60,80,0.426,0.535,"2.274560035977569*(x-0.426)*(x-0.426)*(x-0.426)-0.9325922175224706*(x-0.426)*(x-0.426)+0.0*(x-0.426)+1.0888093459585717"
-,shape,central,5,0,2.5,60,80,0.535,0.646,"16.459666876809912*(x-0.535)*(x-0.535)*(x-0.535)-3.799765541210025*(x-0.535)*(x-0.535)-0.1222329600575501*(x-0.535)+1.0806748390310192"
-,shape,central,5,0,2.5,60,80,0.646,0.759,"30.791342527462167*(x-0.646)*(x-0.646)*(x-0.646)-3.6377951980568235*(x-0.646)*(x-0.646)-0.3573822434386508*(x-0.646)+1.0428008199017809"
-,shape,central,5,0,2.5,60,80,0.759,0.866,"-65.44999704860646*(x-0.759)*(x-0.759)*(x-0.759)+10.504724526301336*(x-0.759)*(x-0.759)+0.0*(x-0.759)+1.0003943552680732"
-,shape,central,5,0,2.5,60,80,0.866,0.983,"10.5736958948546*(x-0.866)*(x-0.866)*(x-0.866)-7.328561018923193*(x-0.866)*(x-0.866)+0.0*(x-0.866)+1.0404838856352812"
-,shape,central,5,0,2.5,60,80,0.983,1.1,"0.9570981826504874"
-,shape,central,5,0,2.5,80,120,0,0.102,"1.2004188065299386"
-,shape,central,5,0,2.5,80,120,0.102,0.325,"0.2144524925830776*(x-0.102)*(x-0.102)*(x-0.102)+0.6470255922228524*(x-0.102)*(x-0.102)-0.6263495661427267*(x-0.102)+1.2004188065299386"
-,shape,central,5,0,2.5,80,120,0.325,0.437,"-13.23829904545238*(x-0.325)*(x-0.325)*(x-0.325)+2.0823191696982613*(x-0.325)*(x-0.325)-0.30578262800034295*(x-0.325)+1.0952969742405778"
-,shape,central,5,0,2.5,80,120,0.437,0.544,"28.16222298849786*(x-0.437)*(x-0.437)*(x-0.437)-5.189264062272112*(x-0.437)*(x-0.437)-0.33752680366639626*(x-0.437)+1.0685710745679051"
-,shape,central,5,0,2.5,80,120,0.544,0.657,"27.2635683479776*(x-0.544)*(x-0.544)*(x-0.544)-2.4940003216782562*(x-0.544)*(x-0.544)-0.4807414400066919*(x-0.544)+1.0075437564631458"
-,shape,central,5,0,2.5,80,120,0.657,0.769,"-73.60601431798123*(x-0.657)*(x-0.657)*(x-0.657)+12.365810405420845*(x-0.657)*(x-0.657)+0.0*(x-0.657)+0.9607126046134717"
-,shape,central,5,0,2.5,80,120,0.769,0.876,"7.776967119623832*(x-0.769)*(x-0.769)*(x-0.769)-2.3332857095043478*(x-0.769)*(x-0.769)+0.0*(x-0.769)+1.012418179855338"
-,shape,central,5,0,2.5,80,120,0.876,0.985,"4.830785602038748*(x-0.876)*(x-0.876)*(x-0.876)-2.258523799091561*(x-0.876)*(x-0.876)-0.2322076521762107*(x-0.876)+0.995231510898348"
-,shape,central,5,0,2.5,80,120,0.985,1.1,"0.9493433630015569"
-,shape,central,5,0,2.5,120,200.0,0,0.111,"1.3652154676233648"
-,shape,central,5,0,2.5,120,200.0,0.111,0.345,"1.5346294700875698*(x-0.111)*(x-0.111)*(x-0.111)+1.7775167370912621*(x-0.111)*(x-0.111)-1.60502931326453*(x-0.111)+1.3652154676233648"
-,shape,central,5,0,2.5,120,200.0,0.345,0.456,"-26.54359529464412*(x-0.345)*(x-0.345)*(x-0.345)+4.325930540850272*(x-0.345)*(x-0.345)-0.5210609665134742*(x-0.345)+1.106631374851437"
-,shape,central,5,0,2.5,120,200.0,0.456,0.565,"111.03122465568859*(x-0.456)*(x-0.456)*(x-0.456)-16.507387966794933*(x-0.456)*(x-0.456)-0.5418352993206447*(x-0.456)+1.065791553985848"
-,shape,central,5,0,2.5,120,200.0,0.565,0.677,"1.3685487482882353*(x-0.565)*(x-0.565)*(x-0.565)+0.586869237427016*(x-0.565)*(x-0.565)-0.1829599356792347*(x-0.565)+0.9543958857610388"
-,shape,central,5,0,2.5,120,200.0,0.677,0.784,"-86.4505940509482*(x-0.677)*(x-0.677)*(x-0.677)+13.875320345177183*(x-0.677)*(x-0.677)+0.0*(x-0.677)+0.9431887731350841"
-,shape,central,5,0,2.5,120,200.0,0.784,0.881,"2.1665450992608606*(x-0.784)*(x-0.784)*(x-0.784)-1.0192169730727823*(x-0.784)*(x-0.784)+0.0*(x-0.784)+0.996141620679062"
-,shape,central,5,0,2.5,120,200.0,0.881,0.985,"16.26978253529636*(x-0.881)*(x-0.881)*(x-0.881)-5.79718660870179*(x-0.881)*(x-0.881)-0.13657302425928344*(x-0.881)+0.9885291553947978"
-,shape,central,5,0,2.5,120,200.0,0.985,1.1,"0.9299244831738974"
-,shape,central,0,0.0,0.8,20,30,0,0.012,"0.8513744619837534"
-,shape,central,0,0.0,0.8,20,30,0.012,0.028,"-10196.033763081698*(x-0.012)*(x-0.012)*(x-0.012)-30.57098239615182*(x-0.012)*(x-0.012)+15.090786679864435*(x-0.012)+0.8513744619837534"
-,shape,central,0,0.0,0.8,20,30,0.028,0.053,"1194.764177428054*(x-0.028)*(x-0.028)*(x-0.028)-119.16924130720375*(x-0.028)*(x-0.028)+6.281961313140831*(x-0.028)+1.043237923074587"
-,shape,central,0,0.0,0.8,20,30,0.053,0.092,"-253.69845966956177*(x-0.053)*(x-0.053)*(x-0.053)-9.698861816421525*(x-0.053)*(x-0.053)+2.5636820804582454*(x-0.053)+1.1444743703584186"
-,shape,central,0,0.0,0.8,20,30,0.092,0.186,"-6.244913240700813*(x-0.092)*(x-0.092)*(x-0.092)-2.5744926974503146*(x-0.092)*(x-0.092)+0.6495447873051563*(x-0.092)+1.2146568637443744"
-,shape,central,0,0.0,0.8,20,30,0.186,0.439,"-2.9787399825557905*(x-0.186)*(x-0.186)*(x-0.186)+1.100177584132576e-16*(x-0.186)*(x-0.186)+0.0*(x-0.186)+1.2477789312572738"
-,shape,central,0,0.0,0.8,20,30,0.439,1.1,"1.1995403908687903"
-,shape,central,0,0.8,1.6,20,30,0,0.017,"0.9408549610419747"
-,shape,central,0,0.8,1.6,20,30,0.017,0.042,"-4563.325518179169*(x-0.017)*(x-0.017)*(x-0.017)+29.045977160706514*(x-0.017)*(x-0.017)+7.179048461637599*(x-0.017)+0.9408549610419747"
