wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.114,"1.036182795567502"
-,shape,central,5,0,2.5,20,40,0.114,0.33,"4.062283212127227*(x-0.114)*(x-0.114)*(x-0.114)-2.925748272955118*(x-0.114)*(x-0.114)+0.6953335972815874*(x-0.114)+1.036182795567502"
-,shape,central,5,0,2.5,20,40,0.33,0.419,"40.229836209992605*(x-0.33)*(x-0.33)*(x-0.33)-7.758299797611586*(x-0.33)*(x-0.33)+0.0*(x-0.33)+1.0908095964350526"
-,shape,central,5,0,2.5,20,40,0.419,0.52,"56.26736286204008*(x-0.419)*(x-0.419)*(x-0.419)-6.420566037377252*(x-0.419)*(x-0.419)-0.42499576611680817*(x-0.419)+1.0577168911412935"
-,shape,central,5,0,2.5,20,40,0.52,0.621,"-64.30745060394973*(x-0.52)*(x-0.52)*(x-0.52)+9.742578766498383*(x-0.52)*(x-0.52)+0.0*(x-0.52)+1.0072684448403333"
-,shape,central,5,0,2.5,20,40,0.621,0.728,"44.215581631533105*(x-0.621)*(x-0.621)*(x-0.621)-8.979670916140577*(x-0.621)*(x-0.621)+0.0*(x-0.621)+1.0403964601726832"
-,shape,central,5,0,2.5,20,40,0.728,0.838,"26.454947477111237*(x-0.728)*(x-0.728)*(x-0.728)-2.5333527257423705*(x-0.728)*(x-0.728)-0.40297699375581625*(x-0.728)+0.991754196622428"
-,shape,central,5,0,2.5,20,40,0.838,0.978,"6.9573201472856585*(x-0.838)*(x-0.838)*(x-0.838)+0.09901812446576277*(x-0.838)*(x-0.838)+0.0*(x-0.838)+0.9519846944198406"
-,shape,central,5,0,2.5,20,40,0.978,1.1,"0.9730163361435213"
-,shape,central,5,0,2.5,40,60,0,0.105,"1.0420417980617045"
-,shape,central,5,0,2.5,40,60,0.105,0.319,"-0.6849320644240633*(x-0.105)*(x-0.105)*(x-0.105)+0.7961720510975584*(x-0.105)*(x-0.105)+0.0*(x-0.105)+1.0420417980617045"
-,shape,central,5,0,2.5,40,60,0.319,0.418,"-102.38336150946519*(x-0.319)*(x-0.319)*(x-0.319)+13.95817064171789*(x-0.319)*(x-0.319)+0.24666019140266182*(x-0.319)+1.0717907234657824"
-,shape,central,5,0,2.5,40,60,0.418,0.527,"68.63829300533612*(x-0.418)*(x-0.418)*(x-0.418)-12.062659775854566*(x-0.418)*(x-0.418)+0.0*(x-0.418)+1.1336716395848503"
-,shape,central,5,0,2.5,40,60,0.527,0.634,"-10.368116150971783*(x-0.527)*(x-0.527)*(x-0.527)+1.7706010386062232*(x-0.527)*(x-0.527)-0.1831851535470994*(x-0.527)+1.0792437587403296"
-,shape,central,5,0,2.5,40,60,0.634,0.747,"6.263019961522685*(x-0.634)*(x-0.634)*(x-0.634)-1.797570186613749*(x-0.634)*(x-0.634)-0.16039021672279544*(x-0.634)+1.0672131704878578"
-,shape,central,5,0,2.5,40,60,0.747,0.854,"12.257788441809767*(x-0.747)*(x-0.747)*(x-0.747)-1.8485119788007098*(x-0.747)*(x-0.747)-0.3267235732314533*(x-0.747)+1.0351727949987322"
-,shape,central,5,0,2.5,40,60,0.854,0.983,"1.1898867404736535*(x-0.854)*(x-0.854)*(x-0.854)+0.28260877946865687*(x-0.854)*(x-0.854)-0.30128687708396523*(x-0.854)+0.9940660769437972"
-,shape,central,5,0,2.5,40,60,0.983,1.1,"0.9624572792761243"
-,shape,central,5,0,2.5,60,80,0,0.1,"1.0858983272910292"
-,shape,central,5,0,2.5,60,80,0.1,0.313,"0.9395100037479399*(x-0.1)*(x-0.1)*(x-0.1)-0.8263894299409933*(x-0.1)*(x-0.1)+0.2241680090747423*(x-0.1)+1.0858983272910292"
-,shape,central,5,0,2.5,60,80,0.313,0.422,"12.036381137993404*(x-0.313)*(x-0.313)*(x-0.313)-2.32929098868892*(x-0.313)*(x-0.313)+0.0*(x-0.313)+1.105232697230645"
-,shape,central,5,0,2.5,60,80,0.422,0.539,"-5.08386279579098*(x-0.422)*(x-0.422)*(x-0.422)+0.7487995243095267*(x-0.422)*(x-0.422)-0.07877270263268567*(x-0.422)+1.0931458536227865"
-,shape,central,5,0,2.5,60,80,0.539,0.644,"102.30809296055939*(x-0.539)*(x-0.539)*(x-0.539)-15.57860746329284*(x-0.539)*(x-0.539)-0.11233260737900468*(x-0.539)+1.0860373833590802"
-,shape,central,5,0,2.5,60,80,0.644,0.756,"-48.7853677429186*(x-0.644)*(x-0.644)*(x-0.644)+8.195941780810324*(x-0.644)*(x-0.644)+0.0*(x-0.644)+1.0209227184149487"
