wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.126,"1.0003396341308934"
-,shape,central,5,0,2.5,20,40,0.126,0.355,"6.153174936716476*(x-0.126)*(x-0.126)*(x-0.126)-6.711895465615705*(x-0.126)*(x-0.126)+2.1060121826829468*(x-0.126)+1.0003396341308934"
-,shape,central,5,0,2.5,20,40,0.355,0.43,"101.95423780551762*(x-0.355)*(x-0.355)*(x-0.355)-17.25176819860611*(x-0.355)*(x-0.355)+0.0*(x-0.355)+1.2045313239830389"
-,shape,central,5,0,2.5,20,40,0.43,0.521,"60.7264400139238*(x-0.43)*(x-0.43)*(x-0.43)-8.174442060074455*(x-0.43)*(x-0.43)-0.8672874668228067*(x-0.43)+1.1505020719400822"
-,shape,central,5,0,2.5,20,40,0.521,0.621,"23.05720539797769*(x-0.521)*(x-0.521)*(x-0.521)-0.6464841563278189*(x-0.521)*(x-0.521)-0.8464089724904481*(x-0.521)+1.0496480418874627"
-,shape,central,5,0,2.5,20,40,0.621,0.727,"6.43585910342377*(x-0.621)*(x-0.621)*(x-0.621)+0.3162721847097798*(x-0.621)*(x-0.621)-0.2839896418166816*(x-0.621)+0.9815995084731175"
-,shape,central,5,0,2.5,20,40,0.727,0.84,"-26.783593960585574*(x-0.727)*(x-0.727)*(x-0.727)+4.539819176319254*(x-0.727)*(x-0.727)+0.0*(x-0.727)+0.9627154518738716"
-,shape,central,5,0,2.5,20,40,0.84,0.982,"-2.2811871372066648*(x-0.84)*(x-0.84)*(x-0.84)-0.4583552265441327*(x-0.84)*(x-0.84)+0.0*(x-0.84)+0.9820384355613452"
-,shape,central,5,0,2.5,20,40,0.982,1.1,"0.9662644650175911"
-,shape,central,5,0,2.5,40,60,0,0.111,"1.0265241920778978"
-,shape,central,5,0,2.5,40,60,0.111,0.32,"-0.5093575437990705*(x-0.111)*(x-0.111)*(x-0.111)-4.035663595586251*(x-0.111)*(x-0.111)+1.7536551235671147*(x-0.111)+1.0265241920778978"
-,shape,central,5,0,2.5,40,60,0.32,0.41,"23.11569476258472*(x-0.32)*(x-0.32)*(x-0.32)-5.975317996754132*(x-0.32)*(x-0.32)+0.0*(x-0.32)+1.2121061987886481"
-,shape,central,5,0,2.5,40,60,0.41,0.516,"134.28910609561999*(x-0.41)*(x-0.41)*(x-0.41)-18.928166658425592*(x-0.41)*(x-0.41)-0.5138458566849353*(x-0.41)+1.180557464496864"
-,shape,central,5,0,2.5,40,60,0.516,0.626,"-1.4823039402769913*(x-0.516)*(x-0.516)*(x-0.516)+0.6004793277559725*(x-0.516)*(x-0.516)+0.0*(x-0.516)+1.073353397099772"
-,shape,central,5,0,2.5,40,60,0.626,0.738,"-27.591339363782435*(x-0.626)*(x-0.626)*(x-0.626)+4.285801177962506*(x-0.626)*(x-0.626)+0.07829781907425917*(x-0.626)+1.0786462504211105"
-,shape,central,5,0,2.5,40,60,0.738,0.851,"84.78788048968086*(x-0.738)*(x-0.738)*(x-0.738)-16.845978601720184*(x-0.738)*(x-0.738)+0.0*(x-0.738)+1.1024128509041091"
