wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.9870662699178049
L,wc,central,4,0,2.4,30.0,40.0,0,1,0.9872814530685656
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.9807915051094064
L,wc,central,4,0,2.4,60.0,80.0,0,1,0.9802307856630277
L,wc,central,4,0,2.4,80.0,140.0,0,1,0.9848156803757018
L,wc,central,4,0,2.4,140.0,200.0,0,1,0.9075435677767829
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9978032008435691
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9958257155121725
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9883208951965095
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.9921308865034232
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0006329770239968
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,0.9584788683649181
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9764444184380456
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.978810262095047
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9733192956048493
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9684726879240079
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9692466745829856
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.8592564057782431
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,0.9916822823256828
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9931422566310308
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9843532959148642
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9915415257252109
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.9913341499975362
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,0.9225651576066481
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9795644593295174
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9802807253582708
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9778872374468213
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.974494029388065
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9799328625137674
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.896313563912573
M,wc,central,4,0,2.4,25.0,30.0,0,1,0.9901900091718986
M,wc,central,4,0,2.4,30.0,40.0,0,1,0.9789588246933371
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9718931087447912
M,wc,central,4,0,2.4,60.0,80.0,0,1,0.981984565187961
M,wc,central,4,0,2.4,80.0,140.0,0,1,0.9819686926807759
M,wc,central,4,0,2.4,140.0,200.0,0,1,0.8956462269683267
M,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0052320049661922
M,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9900943057428205
M,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9817796446910861
M,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.9975967377520384
M,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0023514433955405
M,wc,up_stat,4,0,2.4,140.0,200.0,0,1,0.9628567115830867
M,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9753719437257917
M,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9679480681921793
M,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9621057366477725
M,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9666151488236471
M,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9619967757823589
M,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.832998316159573
M,wc,up_syst,4,0,2.4,25.0,30.0,0,1,0.9976885519661105
M,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9864804809413856
M,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9757615318191641
M,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9943893893925294
M,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.9880198038856711
M,wc,up_syst,4,0,2.4,140.0,200.0,0,1,0.9293371771159424
M,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9833902069918807
M,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9718808831135236
M,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9681403398616986
M,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9769607547540857
M,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.976160608798414
M,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.8621863794149447
T,wc,central,4,0,2.4,25.0,30.0,0,1,0.9832594578728279
T,wc,central,4,0,2.4,30.0,40.0,0,1,0.9706137893467993
T,wc,central,4,0,2.4,40.0,60.0,0,1,0.9628878902001388
