wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.9853632217128035
L,wc,central,4,0,2.4,30.0,40.0,0,1,0.9902414031060927
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.9916062647627313
L,wc,central,4,0,2.4,60.0,80.0,0,1,0.977854811361926
L,wc,central,4,0,2.4,80.0,140.0,0,1,0.9868288610073247
L,wc,central,4,0,2.4,140.0,200.0,0,1,0.894201267713369
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9940045451843603
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9974444943523614
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9988514979882649
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.9896810092957254
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0032502165580321
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,0.948208834133126
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9767967642988491
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9830901735827388
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9844134195704343
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9661691953424332
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9706743670476796
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.8431981974816064
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,0.9886654799966986
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9954719576805667
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9955238125732401
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9887636057204322
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.9958027153215142
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,0.9069135373468741
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.975851824671736
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9842794340057017
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9864000340183697
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9745851482257357
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9784964553283759
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.8809505659092688
M,wc,central,4,0,2.4,25.0,30.0,0,1,0.957313159659654
M,wc,central,4,0,2.4,30.0,40.0,0,1,0.9611088889857407
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9524065680472714
M,wc,central,4,0,2.4,60.0,80.0,0,1,0.9671079484631
