wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.8849507915981827"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.903690111210547"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"0.9058428549786738"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"1.0111825238346202"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.9922663192901899"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"1.0274297507889656"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.8849507915981827-0.13256954957040423"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.903690111210547-0.10466602904476237"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"0.9058428549786738-0.07332181020567627"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"1.0111825238346202-0.05019048754945274"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.9922663192901899-0.06846732291558459"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"1.0274297507889656-0.1306791216741981"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.8849507915981827+0.13256954957040423"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.903690111210547+0.10466602904476237"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"0.9058428549786738+0.07332181020567627"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"1.0111825238346202+0.05019048754945274"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.9922663192901899+0.06846732291558459"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"1.0274297507889656+0.1306791216741981"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.8849507915981827-0.11427806833946931"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.903690111210547-0.09365946908891318"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.9058428549786738-0.06636045634402063"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.0111825238346202-0.04853437026097692"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9922663192901899-0.06657650603218843"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"1.0274297507889656-0.1279132295720249"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.8849507915981827+0.11427806833946931"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.903690111210547+0.09365946908891318"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.9058428549786738+0.06636045634402063"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.0111825238346202+0.04853437026097692"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9922663192901899+0.06657650603218843"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"1.0274297507889656+0.1279132295720249"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.8849507915981827-0.016672156024596756"
