wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.9599963286807284"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.9658260285971693"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"0.974866825147232"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"1.045479667433793"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.985765805813772"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"1.1491511823093468"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.9599963286807284-0.09831384345391415"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.9658260285971693-0.08857505966848166"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"0.974866825147232-0.06525876989802441"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"1.045479667433793-0.05161546090724614"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.985765805813772-0.07697921932036864"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"1.1491511823093468-0.11614832151225947"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.9599963286807284+0.09831384345391415"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.9658260285971693+0.08857505966848166"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"0.974866825147232+0.06525876989802441"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"1.045479667433793+0.05161546090724614"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.985765805813772+0.07697921932036864"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"1.1491511823093468+0.11614832151225947"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9599963286807284-0.08623237237866883"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9658260285971693-0.07981048906447409"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.974866825147232-0.05954323201468698"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.045479667433793-0.049801952259319965"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.985765805813772-0.0749440565299392"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"1.1491511823093468-0.11349450749344248"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9599963286807284+0.08623237237866883"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9658260285971693+0.07981048906447409"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.974866825147232+0.05954323201468698"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.045479667433793+0.049801952259319965"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.985765805813772+0.0749440565299392"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"1.1491511823093468+0.11349450749344248"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.9599963286807284-0.006873273517466391"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9658260285971693-0.011644472716616273"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"0.974866825147232-0.009085519073462996"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"1.045479667433793-0.003393215764938435"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.985765805813772-0.0042832525071569835"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"1.1491511823093468-0.0052976317928530425"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.9599963286807284+0.006873273517466391"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9658260285971693+0.011644472716616273"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"0.974866825147232+0.009085519073462996"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"1.045479667433793+0.003393215764938435"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.985765805813772+0.0042832525071569835"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"1.1491511823093468+0.0052976317928530425"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"0.9599963286807284-0.017685062308433006"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9658260285971693-0.01812372707912657"
L,tnp,down_jes,5,0,2.4,70.0,100.0,0.0,1.0,"0.974866825147232-0.009873455824337418"
L,tnp,down_jes,5,0,2.4,100.0,140.0,0.0,1.0,"1.045479667433793-0.005163530748319025"
