wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.9870913215899224
L,wc,central,4,0,2.4,30.0,40.0,0,1,0.9926810761930495
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.993590004707511
L,wc,central,4,0,2.4,60.0,80.0,0,1,0.982642119350081
L,wc,central,4,0,2.4,80.0,140.0,0,1,0.9907371350224665
L,wc,central,4,0,2.4,140.0,200.0,0,1,0.9194124627711779
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9964910121328042
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.0005452774972063
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,1.0014898339271512
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.9954992377731313
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0076214949050437
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,0.9744116470687503
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9777799847523384
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9848784978940788
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9857522919962152
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9699501850371139
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9741336640081644
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.867448799391053
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,0.9897190284467909
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9970320088884285
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.996967241464157
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9904321627587763
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.0014348433518803
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,0.9384711308415262
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9828834165350242
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9881643805823371
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9897223417000635
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9803374791610685
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.980459605333617
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.9000330393471707
M,wc,central,4,0,2.4,25.0,30.0,0,1,0.9512970276634788
M,wc,central,4,0,2.4,30.0,40.0,0,1,0.9670341319385298
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9562996899177155
M,wc,central,4,0,2.4,60.0,80.0,0,1,0.965382965827144
M,wc,central,4,0,2.4,80.0,140.0,0,1,0.9316099942354416
M,wc,central,4,0,2.4,140.0,200.0,0,1,0.9451115682681087
M,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9774369199003932
