wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.670316*(1+0.241128*x+-1.64282e-05*x*x)/(1+0.1505*x)"
L,light,down,0,0,2.5,20,1000,0,1,"(0.670316*(1+0.241128*x+-1.64282e-05*x*x)/(1+0.1505*x))*(1-(0.0419735+7.04309e-07*x+-6.13e-09*x*x+5.49487e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.670316*(1+0.241128*x+-1.64282e-05*x*x)/(1+0.1505*x))*(1-(0.0291005+5.63957e-07*x+-4.41341e-09*x*x+3.6517e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.670316*(1+0.241128*x+-1.64282e-05*x*x)/(1+0.1505*x))*(1-(0.0302458+4.38555e-07*x+-4.2593e-09*x*x+4.10792e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.670316*(1+0.241128*x+-1.64282e-05*x*x)/(1+0.1505*x))*(1+(0.0419735+7.04309e-07*x+-6.13e-09*x*x+5.49487e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.670316*(1+0.241128*x+-1.64282e-05*x*x)/(1+0.1505*x))*(1+(0.0291005+5.63957e-07*x+-4.41341e-09*x*x+3.6517e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.670316*(1+0.241128*x+-1.64282e-05*x*x)/(1+0.1505*x))*(1+(0.0302458+4.38555e-07*x+-4.2593e-09*x*x+4.10792e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"-5.94139+7.35294*x/(1.26764+x)+-0.000181209*x+-7.88409e-08*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(-5.94139+7.35294*x/(1.26764+x)+-0.000181209*x+-7.88409e-08*x*x)*(1-(0.100617+3.70744e-06*x+-1.7326e-08*x*x+1.19138e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(-5.94139+7.35294*x/(1.26764+x)+-0.000181209*x+-7.88409e-08*x*x)*(1-(0.0806259+2.91685e-06*x+-1.46055e-08*x*x+9.24786e-12*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-5.94139+7.35294*x/(1.26764+x)+-0.000181209*x+-7.88409e-08*x*x)*(1-(0.0614205+-1.06563e-05*x+2.18408e-08*x*x+-1.31853e-11*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(-5.94139+7.35294*x/(1.26764+x)+-0.000181209*x+-7.88409e-08*x*x)*(1+(0.100617+3.70744e-06*x+-1.7326e-08*x*x+1.19138e-11*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(-5.94139+7.35294*x/(1.26764+x)+-0.000181209*x+-7.88409e-08*x*x)*(1+(0.0806259+2.91685e-06*x+-1.46055e-08*x*x+9.24786e-12*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-5.94139+7.35294*x/(1.26764+x)+-0.000181209*x+-7.88409e-08*x*x)*(1+(0.0614205+-1.06563e-05*x+2.18408e-08*x*x+-1.31853e-11*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"1.10603+0.00194591*x+-4.29747e-06*x*x+2.64253e-09*x*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"(1.10603+0.00194591*x+-4.29747e-06*x*x+2.64253e-09*x*x*x)*(1-(0.175091+0.000120008*x+-2.56136e-07*x*x+1.42403e-10*x*x*x))"
T,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.10603+0.00194591*x+-4.29747e-06*x*x+2.64253e-09*x*x*x)*(1-(0.141563+0.000156941*x+-3.32225e-07*x*x+1.86231e-10*x*x*x))"
T,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.10603+0.00194591*x+-4.29747e-06*x*x+2.64253e-09*x*x*x)*(1-(0.103349+-2.15275e-05*x+4.26652e-08*x*x+-2.63956e-11*x*x*x))"
T,light,up,0,0,2.5,20,1000,0,1,"(1.10603+0.00194591*x+-4.29747e-06*x*x+2.64253e-09*x*x*x)*(1+(0.175091+0.000120008*x+-2.56136e-07*x*x+1.42403e-10*x*x*x))"
T,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.10603+0.00194591*x+-4.29747e-06*x*x+2.64253e-09*x*x*x)*(1+(0.141563+0.000156941*x+-3.32225e-07*x*x+1.86231e-10*x*x*x))"
T,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(1.10603+0.00194591*x+-4.29747e-06*x*x+2.64253e-09*x*x*x)*(1+(0.103349+-2.15275e-05*x+4.26652e-08*x*x+-2.63956e-11*x*x*x))"
