wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.498907*(1+0.208215*x+-4.59258e-05*x*x+1.96224e-08*x*x*x)/(1+0.0864304*x)"
L,light,down,0,0,2.5,20,1000,0,1,"(0.498907*(1+0.208215*x+-4.59258e-05*x*x+1.96224e-08*x*x*x)/(1+0.0864304*x))*(1-(0.0423507+9.66471e-07*x+-6.26136e-09*x*x+4.52307e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.498907*(1+0.208215*x+-4.59258e-05*x*x+1.96224e-08*x*x*x)/(1+0.0864304*x))*(1-(0.0297531+4.74925e-07*x+-4.78816e-09*x*x+3.16834e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.498907*(1+0.208215*x+-4.59258e-05*x*x+1.96224e-08*x*x*x)/(1+0.0864304*x))*(1-(0.0306974+-5.1984e-06*x+1.05179e-08*x*x+-6.26606e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.498907*(1+0.208215*x+-4.59258e-05*x*x+1.96224e-08*x*x*x)/(1+0.0864304*x))*(1+(0.0423507+9.66471e-07*x+-6.26136e-09*x*x+4.52307e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.498907*(1+0.208215*x+-4.59258e-05*x*x+1.96224e-08*x*x*x)/(1+0.0864304*x))*(1+(0.0297531+4.74925e-07*x+-4.78816e-09*x*x+3.16834e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.498907*(1+0.208215*x+-4.59258e-05*x*x+1.96224e-08*x*x*x)/(1+0.0864304*x))*(1+(0.0306974+-5.1984e-06*x+1.05179e-08*x*x+-6.26606e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"-8.06025+9.4349*x/(1.01628+x)+0.000144323*x+-1.05636e-07*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(-8.06025+9.4349*x/(1.01628+x)+0.000144323*x+-1.05636e-07*x*x)*(1-(0.104341+3.77859e-06*x+-1.88044e-08*x*x+1.18313e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(-8.06025+9.4349*x/(1.01628+x)+0.000144323*x+-1.05636e-07*x*x)*(1-(0.0835127+2.05068e-05*x+-5.84659e-08*x*x+3.69957e-11*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-8.06025+9.4349*x/(1.01628+x)+0.000144323*x+-1.05636e-07*x*x)*(1-(0.0613955+-1.01004e-05*x+2.07388e-08*x*x+-1.25567e-11*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(-8.06025+9.4349*x/(1.01628+x)+0.000144323*x+-1.05636e-07*x*x)*(1+(0.104341+3.77859e-06*x+-1.88044e-08*x*x+1.18313e-11*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(-8.06025+9.4349*x/(1.01628+x)+0.000144323*x+-1.05636e-07*x*x)*(1+(0.0835127+2.05068e-05*x+-5.84659e-08*x*x+3.69957e-11*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-8.06025+9.4349*x/(1.01628+x)+0.000144323*x+-1.05636e-07*x*x)*(1+(0.0613955+-1.01004e-05*x+2.07388e-08*x*x+-1.25567e-11*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"0.372037+1.14765*x/(14.7347+x)+-3.5864e-06*x+8.19147e-08*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"(0.372037+1.14765*x/(14.7347+x)+-3.5864e-06*x+8.19147e-08*x*x)*(1-(0.208406+1.97912e-05*x+-1.04416e-07*x*x+7.8642e-11*x*x*x))"
T,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.372037+1.14765*x/(14.7347+x)+-3.5864e-06*x+8.19147e-08*x*x)*(1-(0.182127+2.58823e-05*x+-1.24767e-07*x*x+9.26211e-11*x*x*x))"
T,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.372037+1.14765*x/(14.7347+x)+-3.5864e-06*x+8.19147e-08*x*x)*(1-(0.0998712+6.64931e-06*x+-1.87649e-08*x*x+1.3264e-11*x*x*x))"
T,light,up,0,0,2.5,20,1000,0,1,"(0.372037+1.14765*x/(14.7347+x)+-3.5864e-06*x+8.19147e-08*x*x)*(1+(0.208406+1.97912e-05*x+-1.04416e-07*x*x+7.8642e-11*x*x*x))"
T,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.372037+1.14765*x/(14.7347+x)+-3.5864e-06*x+8.19147e-08*x*x)*(1+(0.182127+2.58823e-05*x+-1.24767e-07*x*x+9.26211e-11*x*x*x))"
T,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.372037+1.14765*x/(14.7347+x)+-3.5864e-06*x+8.19147e-08*x*x)*(1+(0.0998712+6.64931e-06*x+-1.87649e-08*x*x+1.3264e-11*x*x*x))"
