wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.986852+0.000561516*x+-1.07542e-06*x*x+5.87499e-10*x*x*x"
L,light,down,0,0,2.5,20,1000,0,1,"(0.986852+0.000561516*x+-1.07542e-06*x*x+5.87499e-10*x*x*x)*(1-(0.0419957+1.46281e-06*x+-6.00221e-09*x*x+4.22025e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.986852+0.000561516*x+-1.07542e-06*x*x+5.87499e-10*x*x*x)*(1-(0.0291652+1.30731e-06*x+-4.31663e-09*x*x+2.6321e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.986852+0.000561516*x+-1.07542e-06*x*x+5.87499e-10*x*x*x)*(1-(0.0302121+7.78541e-07*x+-4.17285e-09*x*x+3.31881e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.986852+0.000561516*x+-1.07542e-06*x*x+5.87499e-10*x*x*x)*(1+(0.0419957+1.46281e-06*x+-6.00221e-09*x*x+4.22025e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.986852+0.000561516*x+-1.07542e-06*x*x+5.87499e-10*x*x*x)*(1+(0.0291652+1.30731e-06*x+-4.31663e-09*x*x+2.6321e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.986852+0.000561516*x+-1.07542e-06*x*x+5.87499e-10*x*x*x)*(1+(0.0302121+7.78541e-07*x+-4.17285e-09*x*x+3.31881e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"0.658287+0.986065*x/(40.6962+x)+-0.000513812*x+1.4237e-07*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(0.658287+0.986065*x/(40.6962+x)+-0.000513812*x+1.4237e-07*x*x)*(1-(0.0987399+3.63308e-05*x+-8.4569e-08*x*x+5.14144e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.658287+0.986065*x/(40.6962+x)+-0.000513812*x+1.4237e-07*x*x)*(1-(0.0780358+4.74629e-05*x+-1.09202e-07*x*x+6.61246e-11*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.658287+0.986065*x/(40.6962+x)+-0.000513812*x+1.4237e-07*x*x)*(1-(0.0599099+3.16455e-06*x+-9.42348e-09*x*x+6.85877e-12*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(0.658287+0.986065*x/(40.6962+x)+-0.000513812*x+1.4237e-07*x*x)*(1+(0.0987399+3.63308e-05*x+-8.4569e-08*x*x+5.14144e-11*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.658287+0.986065*x/(40.6962+x)+-0.000513812*x+1.4237e-07*x*x)*(1+(0.0780358+4.74629e-05*x+-1.09202e-07*x*x+6.61246e-11*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.658287+0.986065*x/(40.6962+x)+-0.000513812*x+1.4237e-07*x*x)*(1+(0.0599099+3.16455e-06*x+-9.42348e-09*x*x+6.85877e-12*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"0.837451+1.19708*x/(80.6998+x)+-0.00127137*x+7.65556e-07*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"(0.837451+1.19708*x/(80.6998+x)+-0.00127137*x+7.65556e-07*x*x)*(1-(0.171116+0.00014113*x+-2.84155e-07*x*x+1.58202e-10*x*x*x))"
T,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.837451+1.19708*x/(80.6998+x)+-0.00127137*x+7.65556e-07*x*x)*(1-(0.1386+0.000170092*x+-3.42314e-07*x*x+1.91111e-10*x*x*x))"
T,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.837451+1.19708*x/(80.6998+x)+-0.00127137*x+7.65556e-07*x*x)*(1-(0.0996685+7.28219e-06*x+-1.86102e-08*x*x+1.20581e-11*x*x*x))"
T,light,up,0,0,2.5,20,1000,0,1,"(0.837451+1.19708*x/(80.6998+x)+-0.00127137*x+7.65556e-07*x*x)*(1+(0.171116+0.00014113*x+-2.84155e-07*x*x+1.58202e-10*x*x*x))"
T,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.837451+1.19708*x/(80.6998+x)+-0.00127137*x+7.65556e-07*x*x)*(1+(0.1386+0.000170092*x+-3.42314e-07*x*x+1.91111e-10*x*x*x))"
T,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.837451+1.19708*x/(80.6998+x)+-0.00127137*x+7.65556e-07*x*x)*(1+(0.0996685+7.28219e-06*x+-1.86102e-08*x*x+1.20581e-11*x*x*x))"
