wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,20,1000,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)"
L,comb,central,4,0,2.5,20,1000,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)"
L,comb,down,5,0,2.5,20,30,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.03435352136526554"
L,comb,down,5,0,2.5,30,50,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.023535879281871473"
L,comb,down,5,0,2.5,50,70,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.017606582921041943"
L,comb,down,5,0,2.5,70,100,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.017550176646051855"
L,comb,down,5,0,2.5,100,140,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.01606651522507818"
L,comb,down,5,0,2.5,140,200,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.015866379191591357"
L,comb,down,5,0,2.5,200,300,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.023576871699202067"
L,comb,down,5,0,2.5,300,600,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.042453734731859004"
L,comb,down,5,0,2.5,600,1000,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.040292302866018245"
L,comb,down,4,0,2.5,20,30,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.08588380341316385"
L,comb,down,4,0,2.5,30,50,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.058839698204678686"
L,comb,down,4,0,2.5,50,70,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.04401645730260486"
L,comb,down,4,0,2.5,70,100,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.043875441615129636"
L,comb,down,4,0,2.5,100,140,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.04016628806269545"
L,comb,down,4,0,2.5,140,200,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.03966594797897839"
L,comb,down,4,0,2.5,200,300,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.05894217924800517"
L,comb,down,4,0,2.5,300,600,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.10613433682964751"
L,comb,down,4,0,2.5,600,1000,0,1,"0.908118+0.0447154*log(x)+-0.00596659*log(x)*log(x)-0.10073075716504562"
