wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.151213526725769"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.0496928691864014"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.0115149021148682"
L,kinfit,central,5,0,2.4,100,140,0,1,"1.0011287927627563"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9944839477539062"
L,kinfit,central,5,0,2.4,200,300,0,1,"0.9977023005485535"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.1101323366165161"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.1484441322443864"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.047539488070486"
L,kinfit,down,5,0,2.4,70,100,0,1,"1.0089056244136163"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.9947565498002853"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.9884222580150062"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.9899739770996137"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.098411540895112"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.1512127234168155"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.0496926909507032"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.0115143761857404"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"1.0011284691534001"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9944837853313606"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.9976999133022986"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.1100994493542906"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.1512135209775352"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.0496928672304051"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.011514897440886"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"1.0011287692609017"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9944839255139044"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9977022565290099"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.1101320487187962"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.1512135228683604"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.0496925905515582"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0115147865251402"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"1.0011287751271425"
L,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.994483945440205"
L,kinfit,down_jes,5,0,2.4,200,300,0,1,"0.9977021018259471"
L,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.110117259820754"
L,kinfit,down_topmass,5,0,2.4,30,50,0,1,"1.1512130642047254"
L,kinfit,down_topmass,5,0,2.4,50,70,0,1,"1.0496925562029986"
L,kinfit,down_topmass,5,0,2.4,70,100,0,1,"1.0115147497876364"
L,kinfit,down_topmass,5,0,2.4,100,140,0,1,"1.0011287682636834"
L,kinfit,down_topmass,5,0,2.4,140,200,0,1,"0.994482632755588"
