wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"1.0608012676239014"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.289732366767451"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.8881925039524374"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"1.2072649259490862"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"1.0533647537231445"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.0556238889694214"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.0664031505584717"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0622540712356567"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0481528043746948"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.060795783996582"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0976370573043823"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"1.060795783996582"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"1.064790964126587"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"1.0604345798492432"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"1.060795783996582"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"1.0668600415161904"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"1.054742493731612"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.0696690262009623"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"1.0519335090468405"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.2323290275308616"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.8892735077169411"
L,ltsv,central,5,0,2.4,30.0,50.0,0,1,"1.00937020778656"
L,ltsv,up,5,0,2.4,30.0,50.0,0,1,"1.07954836647981"
L,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.9424529612322652"
L,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"1.0296314542521385"
L,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"1.0089958906173706"
L,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.014709711074829"
L,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.002708077430725"
L,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.023331880569458"
L,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9936956167221069"
L,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0093709230422974"
L,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0198942422866821"
L,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"1.0093709230422974"
L,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"1.0066426992416382"
L,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"1.0093863010406494"
L,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"1.0093709230422974"
L,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"1.009894748378864"
L,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"1.008845667194256"
L,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"1.0116855180964057"
L,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"1.0070548974767144"
L,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"1.0739713648326965"
L,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.9447690507404236"
L,ltsv,central,5,0,2.4,50.0,70.0,0,1,"1.1390844583511353"
L,ltsv,up,5,0,2.4,50.0,70.0,0,1,"1.2334754467578386"
L,ltsv,down,5,0,2.4,50.0,70.0,0,1,"1.0296977202320605"
L,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"1.1390844583511353"
L,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"1.0847765177927151"
L,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.1420775651931763"
L,ltsv,down_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.1362110376358032"
L,ltsv,up_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1553863286972046"
L,ltsv,down_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1211825609207153"
L,ltsv,up_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.139084815979004"
