,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
38,L,mujets,central,5,0,2.5,20,1000,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)
39,L,mujets,central,4,0,2.5,20,1000,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)
40,L,mujets,down,5,0,2.5,20,30,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.034899313062674284
41,L,mujets,down,5,0,2.5,30,50,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.026262265066071544
42,L,mujets,down,5,0,2.5,50,70,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.019580487667106444
43,L,mujets,down,5,0,2.5,70,100,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.023391264606817667
44,L,mujets,down,5,0,2.5,100,140,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.032304840589637444
45,L,mujets,down,5,0,2.5,140,200,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.04258172206134006
46,L,mujets,down,5,0,2.5,200,300,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.045396548986487956
47,L,mujets,down,5,0,2.5,300,600,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.04191036419326855
48,L,mujets,down,5,0,2.5,600,1000,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.04005587266128365
49,L,mujets,down,4,0,2.5,20,30,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.08724828265668572
50,L,mujets,down,4,0,2.5,30,50,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.06565566266517886
51,L,mujets,down,4,0,2.5,50,70,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.04895121916776611
52,L,mujets,down,4,0,2.5,70,100,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.05847816151704417
53,L,mujets,down,4,0,2.5,100,140,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.08076210147409361
54,L,mujets,down,4,0,2.5,140,200,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.10645430515335015
55,L,mujets,down,4,0,2.5,200,300,0,1,1.01969*(1.+0.00642536*x)/(1.+0.00713009*x)-0.11349137246621989
