wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.01281"
L,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.952243"
L,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.07338"
L,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"1.00339"
L,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.02223"
L,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"0.994812"
L,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"1.03081"
L,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"0.977416"
L,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"1.0482"
L,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.05611"
L,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"0.96951"
L,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.0126"
L,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.01302"
L,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.01457"
L,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.01105"
L,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.01297"
L,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"1.01265"
L,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.01334"
L,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"1.01228"
L,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"1.00167"
L,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"1.02395"
L,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"1.01356"
L,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"1.01206"
L,sys8,central,5,0,2.5,30.0,50.0,0,1,"1.00603"
L,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.978334"
L,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.03373"
L,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.999164"
L,sys8,up_statistic,5,0,2.5,30.0,50.0,0,1,"1.0129"
L,sys8,up_jetaway,5,0,2.5,30.0,50.0,0,1,"0.985645"
L,sys8,down_jetaway,5,0,2.5,30.0,50.0,0,1,"1.02642"
L,sys8,up_mupt,5,0,2.5,30.0,50.0,0,1,"0.98931"
L,sys8,down_mupt,5,0,2.5,30.0,50.0,0,1,"1.02275"
L,sys8,up_ptrel,5,0,2.5,30.0,50.0,0,1,"1.01026"
L,sys8,down_ptrel,5,0,2.5,30.0,50.0,0,1,"1.0018"
L,sys8,up_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"1.00587"
L,sys8,down_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"1.00619"
L,sys8,up_bfragmentation,5,0,2.5,30.0,50.0,0,1,"1.00725"
L,sys8,down_bfragmentation,5,0,2.5,30.0,50.0,0,1,"1.00481"
L,sys8,up_mudr,5,0,2.5,30.0,50.0,0,1,"1.00551"
L,sys8,down_mudr,5,0,2.5,30.0,50.0,0,1,"1.00655"
L,sys8,up_pileup,5,0,2.5,30.0,50.0,0,1,"1.00525"
L,sys8,down_pileup,5,0,2.5,30.0,50.0,0,1,"1.00681"
L,sys8,up_jes,5,0,2.5,30.0,50.0,0,1,"1.00814"
L,sys8,down_jes,5,0,2.5,30.0,50.0,0,1,"1.00392"
L,sys8,up_bdecay,5,0,2.5,30.0,50.0,0,1,"1.00636"
L,sys8,down_bdecay,5,0,2.5,30.0,50.0,0,1,"1.0057"
L,sys8,central,5,0,2.5,50.0,70.0,0,1,"0.985958"
L,sys8,down,5,0,2.5,50.0,70.0,0,1,"0.965192"
L,sys8,up,5,0,2.5,50.0,70.0,0,1,"1.00672"
L,sys8,down_statistic,5,0,2.5,50.0,70.0,0,1,"0.976441"
L,sys8,up_statistic,5,0,2.5,50.0,70.0,0,1,"0.995475"
L,sys8,up_jetaway,5,0,2.5,50.0,70.0,0,1,"1.00263"
L,sys8,down_jetaway,5,0,2.5,50.0,70.0,0,1,"0.969286"
L,sys8,up_mupt,5,0,2.5,50.0,70.0,0,1,"0.979338"
L,sys8,down_mupt,5,0,2.5,50.0,70.0,0,1,"0.992578"
L,sys8,up_ptrel,5,0,2.5,50.0,70.0,0,1,"0.983326"
L,sys8,down_ptrel,5,0,2.5,50.0,70.0,0,1,"0.98859"
L,sys8,up_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.985508"
L,sys8,down_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.986408"
L,sys8,up_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.987959"
L,sys8,down_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.983957"
L,sys8,up_mudr,5,0,2.5,50.0,70.0,0,1,"0.98486"
L,sys8,down_mudr,5,0,2.5,50.0,70.0,0,1,"0.987056"
L,sys8,up_pileup,5,0,2.5,50.0,70.0,0,1,"0.986629"
L,sys8,down_pileup,5,0,2.5,50.0,70.0,0,1,"0.985287"
L,sys8,up_jes,5,0,2.5,50.0,70.0,0,1,"0.983565"
L,sys8,down_jes,5,0,2.5,50.0,70.0,0,1,"0.988351"
L,sys8,up_bdecay,5,0,2.5,50.0,70.0,0,1,"0.986542"
L,sys8,down_bdecay,5,0,2.5,50.0,70.0,0,1,"0.985374"
L,sys8,central,5,0,2.5,70.0,100.0,0,1,"0.971332"
L,sys8,down,5,0,2.5,70.0,100.0,0,1,"0.947031"
L,sys8,up,5,0,2.5,70.0,100.0,0,1,"0.995633"
L,sys8,down_statistic,5,0,2.5,70.0,100.0,0,1,"0.961162"
L,sys8,up_statistic,5,0,2.5,70.0,100.0,0,1,"0.981502"
L,sys8,up_jetaway,5,0,2.5,70.0,100.0,0,1,"0.987032"
L,sys8,down_jetaway,5,0,2.5,70.0,100.0,0,1,"0.955632"
L,sys8,up_mupt,5,0,2.5,70.0,100.0,0,1,"0.965129"
L,sys8,down_mupt,5,0,2.5,70.0,100.0,0,1,"0.977535"
L,sys8,up_ptrel,5,0,2.5,70.0,100.0,0,1,"0.957648"
L,sys8,down_ptrel,5,0,2.5,70.0,100.0,0,1,"0.985016"
L,sys8,up_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"0.96791"
L,sys8,down_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"0.974754"
L,sys8,up_bfragmentation,5,0,2.5,70.0,100.0,0,1,"0.97234"
L,sys8,down_bfragmentation,5,0,2.5,70.0,100.0,0,1,"0.970324"
L,sys8,up_mudr,5,0,2.5,70.0,100.0,0,1,"0.970772"
L,sys8,down_mudr,5,0,2.5,70.0,100.0,0,1,"0.971892"
L,sys8,up_pileup,5,0,2.5,70.0,100.0,0,1,"0.972543"
L,sys8,down_pileup,5,0,2.5,70.0,100.0,0,1,"0.970121"
L,sys8,up_jes,5,0,2.5,70.0,100.0,0,1,"0.971828"
L,sys8,down_jes,5,0,2.5,70.0,100.0,0,1,"0.970836"
L,sys8,up_bdecay,5,0,2.5,70.0,100.0,0,1,"0.971663"
L,sys8,down_bdecay,5,0,2.5,70.0,100.0,0,1,"0.971001"
L,sys8,central,5,0,2.5,100.0,140.0,0,1,"0.961633"
L,sys8,down,5,0,2.5,100.0,140.0,0,1,"0.863902"
L,sys8,up,5,0,2.5,100.0,140.0,0,1,"1.05936"
L,sys8,down_statistic,5,0,2.5,100.0,140.0,0,1,"0.886802"
L,sys8,up_statistic,5,0,2.5,100.0,140.0,0,1,"1.03646"
L,sys8,up_jetaway,5,0,2.5,100.0,140.0,0,1,"0.913982"
L,sys8,down_jetaway,5,0,2.5,100.0,140.0,0,1,"1.00928"
L,sys8,up_mupt,5,0,2.5,100.0,140.0,0,1,"0.972722"
L,sys8,down_mupt,5,0,2.5,100.0,140.0,0,1,"0.950544"
L,sys8,up_ptrel,5,0,2.5,100.0,140.0,0,1,"0.970156"
L,sys8,down_ptrel,5,0,2.5,100.0,140.0,0,1,"0.95311"
L,sys8,up_gluonsplitting,5,0,2.5,100.0,140.0,0,1,"0.936349"
L,sys8,down_gluonsplitting,5,0,2.5,100.0,140.0,0,1,"0.986917"
L,sys8,up_bfragmentation,5,0,2.5,100.0,140.0,0,1,"0.982772"
L,sys8,down_bfragmentation,5,0,2.5,100.0,140.0,0,1,"0.940494"
L,sys8,up_mudr,5,0,2.5,100.0,140.0,0,1,"0.97128"
L,sys8,down_mudr,5,0,2.5,100.0,140.0,0,1,"0.951986"
L,sys8,up_pileup,5,0,2.5,100.0,140.0,0,1,"0.950987"
L,sys8,down_pileup,5,0,2.5,100.0,140.0,0,1,"0.972279"
L,sys8,up_jes,5,0,2.5,100.0,140.0,0,1,"0.956282"
L,sys8,down_jes,5,0,2.5,100.0,140.0,0,1,"0.966984"
L,sys8,up_bdecay,5,0,2.5,100.0,140.0,0,1,"0.948818"
L,sys8,down_bdecay,5,0,2.5,100.0,140.0,0,1,"0.974448"
M,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.03611"
M,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.904362"
M,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.16786"
M,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"1.02161"
M,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.05061"
M,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"1.07981"
M,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"0.992412"
M,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"0.924294"
M,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"1.14793"
M,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.08747"
M,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"0.984749"
M,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.03483"
M,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.03739"
M,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.04128"
M,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.03094"
M,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.03819"
M,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"1.03403"
M,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.03805"
M,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"1.03417"
M,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"1.02833"
M,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"1.04389"
M,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"1.03634"
M,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"1.03588"
M,sys8,central,5,0,2.5,30.0,50.0,0,1,"1.00765"
M,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.976184"
M,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.03912"
M,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.998856"
M,sys8,up_statistic,5,0,2.5,30.0,50.0,0,1,"1.01644"
M,sys8,up_jetaway,5,0,2.5,30.0,50.0,0,1,"1.02961"
M,sys8,down_jetaway,5,0,2.5,30.0,50.0,0,1,"0.985686"
M,sys8,up_mupt,5,0,2.5,30.0,50.0,0,1,"0.995719"
M,sys8,down_mupt,5,0,2.5,30.0,50.0,0,1,"1.01958"
M,sys8,up_ptrel,5,0,2.5,30.0,50.0,0,1,"1.02292"
M,sys8,down_ptrel,5,0,2.5,30.0,50.0,0,1,"0.99238"
M,sys8,up_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"1.00627"
M,sys8,down_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"1.00903"
M,sys8,up_bfragmentation,5,0,2.5,30.0,50.0,0,1,"1.0118"
M,sys8,down_bfragmentation,5,0,2.5,30.0,50.0,0,1,"1.0035"
M,sys8,up_mudr,5,0,2.5,30.0,50.0,0,1,"1.00989"
M,sys8,down_mudr,5,0,2.5,30.0,50.0,0,1,"1.00541"
M,sys8,up_pileup,5,0,2.5,30.0,50.0,0,1,"1.01158"
M,sys8,down_pileup,5,0,2.5,30.0,50.0,0,1,"1.00372"
M,sys8,up_jes,5,0,2.5,30.0,50.0,0,1,"1.01126"
M,sys8,down_jes,5,0,2.5,30.0,50.0,0,1,"1.00404"
M,sys8,up_bdecay,5,0,2.5,30.0,50.0,0,1,"1.00914"
M,sys8,down_bdecay,5,0,2.5,30.0,50.0,0,1,"1.00616"
M,sys8,central,5,0,2.5,50.0,70.0,0,1,"0.988536"
M,sys8,down,5,0,2.5,50.0,70.0,0,1,"0.967734"
M,sys8,up,5,0,2.5,50.0,70.0,0,1,"1.00934"
M,sys8,down_statistic,5,0,2.5,50.0,70.0,0,1,"0.976025"
M,sys8,up_statistic,5,0,2.5,50.0,70.0,0,1,"1.00105"
M,sys8,up_jetaway,5,0,2.5,50.0,70.0,0,1,"0.998504"
M,sys8,down_jetaway,5,0,2.5,50.0,70.0,0,1,"0.978568"
M,sys8,up_mupt,5,0,2.5,50.0,70.0,0,1,"0.977591"
M,sys8,down_mupt,5,0,2.5,50.0,70.0,0,1,"0.999481"
M,sys8,up_ptrel,5,0,2.5,50.0,70.0,0,1,"0.985105"
M,sys8,down_ptrel,5,0,2.5,50.0,70.0,0,1,"0.991967"
M,sys8,up_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.986503"
M,sys8,down_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.990569"
M,sys8,up_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.99371"
M,sys8,down_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.983362"
M,sys8,up_mudr,5,0,2.5,50.0,70.0,0,1,"0.989103"
M,sys8,down_mudr,5,0,2.5,50.0,70.0,0,1,"0.987969"
M,sys8,up_pileup,5,0,2.5,50.0,70.0,0,1,"0.990629"
M,sys8,down_pileup,5,0,2.5,50.0,70.0,0,1,"0.986443"
M,sys8,up_jes,5,0,2.5,50.0,70.0,0,1,"0.985866"
M,sys8,down_jes,5,0,2.5,50.0,70.0,0,1,"0.991206"
M,sys8,up_bdecay,5,0,2.5,50.0,70.0,0,1,"0.99013"
M,sys8,down_bdecay,5,0,2.5,50.0,70.0,0,1,"0.986942"
M,sys8,central,5,0,2.5,70.0,100.0,0,1,"0.980503"
M,sys8,down,5,0,2.5,70.0,100.0,0,1,"0.934931"
M,sys8,up,5,0,2.5,70.0,100.0,0,1,"1.02608"
M,sys8,down_statistic,5,0,2.5,70.0,100.0,0,1,"0.965149"
M,sys8,up_statistic,5,0,2.5,70.0,100.0,0,1,"0.995857"
M,sys8,up_jetaway,5,0,2.5,70.0,100.0,0,1,"1.01744"
M,sys8,down_jetaway,5,0,2.5,70.0,100.0,0,1,"0.943566"
M,sys8,up_mupt,5,0,2.5,70.0,100.0,0,1,"0.968374"
M,sys8,down_mupt,5,0,2.5,70.0,100.0,0,1,"0.992632"
M,sys8,up_ptrel,5,0,2.5,70.0,100.0,0,1,"0.997045"
M,sys8,down_ptrel,5,0,2.5,70.0,100.0,0,1,"0.963961"
M,sys8,up_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"0.978291"
M,sys8,down_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"0.982715"
M,sys8,up_bfragmentation,5,0,2.5,70.0,100.0,0,1,"0.986828"
M,sys8,down_bfragmentation,5,0,2.5,70.0,100.0,0,1,"0.974178"
M,sys8,up_mudr,5,0,2.5,70.0,100.0,0,1,"0.978891"
M,sys8,down_mudr,5,0,2.5,70.0,100.0,0,1,"0.982115"
M,sys8,up_pileup,5,0,2.5,70.0,100.0,0,1,"0.979371"
M,sys8,down_pileup,5,0,2.5,70.0,100.0,0,1,"0.981635"
M,sys8,up_jes,5,0,2.5,70.0,100.0,0,1,"0.977853"
M,sys8,down_jes,5,0,2.5,70.0,100.0,0,1,"0.983153"
M,sys8,up_bdecay,5,0,2.5,70.0,100.0,0,1,"0.980961"
M,sys8,down_bdecay,5,0,2.5,70.0,100.0,0,1,"0.980045"
M,sys8,central,5,0,2.5,100.0,140.0,0,1,"0.996983"
M,sys8,down,5,0,2.5,100.0,140.0,0,1,"0.912773"
M,sys8,up,5,0,2.5,100.0,140.0,0,1,"1.08119"
M,sys8,down_statistic,5,0,2.5,100.0,140.0,0,1,"0.957004"
M,sys8,up_statistic,5,0,2.5,100.0,140.0,0,1,"1.03696"
M,sys8,up_jetaway,5,0,2.5,100.0,140.0,0,1,"0.946127"
M,sys8,down_jetaway,5,0,2.5,100.0,140.0,0,1,"1.04784"
M,sys8,up_mupt,5,0,2.5,100.0,140.0,0,1,"0.952384"
M,sys8,down_mupt,5,0,2.5,100.0,140.0,0,1,"1.04158"
M,sys8,up_ptrel,5,0,2.5,100.0,140.0,0,1,"1.00987"
M,sys8,down_ptrel,5,0,2.5,100.0,140.0,0,1,"0.984091"
M,sys8,up_gluonsplitting,5,0,2.5,100.0,140.0,0,1,"0.970286"
M,sys8,down_gluonsplitting,5,0,2.5,100.0,140.0,0,1,"1.02368"
M,sys8,up_bfragmentation,5,0,2.5,100.0,140.0,0,1,"1.00105"
M,sys8,down_bfragmentation,5,0,2.5,100.0,140.0,0,1,"0.992916"
M,sys8,up_mudr,5,0,2.5,100.0,140.0,0,1,"0.99616"
M,sys8,down_mudr,5,0,2.5,100.0,140.0,0,1,"0.997806"
M,sys8,up_pileup,5,0,2.5,100.0,140.0,0,1,"0.992596"
M,sys8,down_pileup,5,0,2.5,100.0,140.0,0,1,"1.00137"
M,sys8,up_jes,5,0,2.5,100.0,140.0,0,1,"0.995674"
M,sys8,down_jes,5,0,2.5,100.0,140.0,0,1,"0.998292"
M,sys8,up_bdecay,5,0,2.5,100.0,140.0,0,1,"0.997724"
M,sys8,down_bdecay,5,0,2.5,100.0,140.0,0,1,"0.996242"
T,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.07064"
T,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.951227"
T,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.19005"
T,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"1.04516"
T,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.09612"
T,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"1.10131"
T,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"1.03997"
T,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"1.16825"
T,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.97303"
T,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.02023"
T,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"1.12105"
T,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.06709"
T,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.07419"
T,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.07906"
T,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.06222"
T,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.08008"
T,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"1.0612"
T,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.08007"
T,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"1.06121"
T,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"1.05237"
T,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"1.08891"
T,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"1.07293"
T,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"1.06835"
T,sys8,central,5,0,2.5,30.0,50.0,0,1,"1.00959"
T,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.963905"
T,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.05527"
T,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.997384"
T,sys8,up_statistic,5,0,2.5,30.0,50.0,0,1,"1.0218"
T,sys8,up_jetaway,5,0,2.5,30.0,50.0,0,1,"1.03421"
T,sys8,down_jetaway,5,0,2.5,30.0,50.0,0,1,"0.984968"
T,sys8,up_mupt,5,0,2.5,30.0,50.0,0,1,"0.986762"
T,sys8,down_mupt,5,0,2.5,30.0,50.0,0,1,"1.03242"
T,sys8,up_ptrel,5,0,2.5,30.0,50.0,0,1,"1.0351"
T,sys8,down_ptrel,5,0,2.5,30.0,50.0,0,1,"0.984081"
T,sys8,up_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"1.00918"
T,sys8,down_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"1.01"
