wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.9873337319872968"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.9713944660394207"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"0.9923089696794225"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.9814321920008916"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.9961160172753566"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9946906945677333"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.9873337319872968-0.05516418006632115"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.9713944660394207-0.041505861546796086"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"0.9923089696794225-0.02700111857173265"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.9814321920008916-0.0185011436782074"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.9961160172753566-0.01732428757581667"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9946906945677333-0.028112102778532575"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.9873337319872968+0.05516418006632115"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.9713944660394207+0.041505861546796086"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"0.9923089696794225+0.02700111857173265"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.9814321920008916+0.0185011436782074"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.9961160172753566+0.01732428757581667"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9946906945677333+0.028112102778532575"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9873337319872968-0.04708291757701333"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9713944660394207-0.03804305541332025"
