wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,30,300,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)"
L,comb,central,4,0,2.5,30,300,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)"
L,comb,down,5,0,2.5,30,50,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.048623555959969124"
L,comb,down,5,0,2.5,50,70,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.039147606191910586"
L,comb,down,5,0,2.5,70,100,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.025943246784193928"
L,comb,down,5,0,2.5,100,140,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.01880641107617866"
L,comb,down,5,0,2.5,140,200,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.0151689502046296"
L,comb,down,5,0,2.5,200,300,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.026615518025545015"
L,comb,down,4,0,2.5,30,50,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.1215588898999228"
L,comb,down,4,0,2.5,50,70,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.09786901547977647"
L,comb,down,4,0,2.5,70,100,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.06485811696048482"
L,comb,down,4,0,2.5,100,140,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.047016027690446646"
L,comb,down,4,0,2.5,140,200,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.037922375511574"
L,comb,down,4,0,2.5,200,300,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)-0.06653879506386254"
L,comb,up,5,0,2.5,30,50,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)+0.048623555959969124"
L,comb,up,5,0,2.5,50,70,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)+0.039147606191910586"
L,comb,up,5,0,2.5,70,100,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)+0.025943246784193928"
L,comb,up,5,0,2.5,100,140,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)+0.01880641107617866"
L,comb,up,5,0,2.5,140,200,0,1,"0.589488+0.169711*log(x)+-0.017494*log(x)*log(x)+0.0151689502046296"
