wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.1535358428955078"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.0482137203216553"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.0141972303390503"
L,kinfit,central,5,0,2.4,100,140,0,1,"1.0055028200149536"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9929451942443848"
L,kinfit,central,5,0,2.4,200,300,0,1,"0.9980453848838806"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.086936354637146"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.1504617452810855"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.04483472183841"
L,kinfit,down,5,0,2.4,70,100,0,1,"1.0086827511346947"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.9991835286464412"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.9895420354480647"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.9905063310358418"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.0718127661612968"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.1535348357560018"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.0482136750426747"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.0141969371724713"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"1.0055024931423304"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9929450825127333"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.998043180307767"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.086913006705597"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.1535358388431973"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.048213717718454"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.0141972286768919"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"1.0055027978104931"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9929451869794406"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9980453736527437"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.0869362195645493"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.1535357936258492"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.0482135486179232"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0141971724104764"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"1.0055028165469935"
L,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.9929451917614074"
L,kinfit,down_jes,5,0,2.4,200,300,0,1,"0.9980452355658507"
L,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.0869331392640902"
L,kinfit,down_topmass,5,0,2.4,30,50,0,1,"1.1535351664147662"
L,kinfit,down_topmass,5,0,2.4,50,70,0,1,"1.0482135519604867"
L,kinfit,down_topmass,5,0,2.4,70,100,0,1,"1.0141970666890892"
L,kinfit,down_topmass,5,0,2.4,100,140,0,1,"1.0055027919024404"
L,kinfit,down_topmass,5,0,2.4,140,200,0,1,"0.9929442926337577"
L,kinfit,down_topmass,5,0,2.4,200,300,0,1,"0.9980444101985446"
L,kinfit,down_topmass,5,0,2.4,300,600,0,1,"1.0869322426252914"
L,kinfit,down_pileup,5,0,2.4,30,50,0,1,"1.1535358368914217"
L,kinfit,down_pileup,5,0,2.4,50,70,0,1,"1.0482137186351075"
L,kinfit,down_pileup,5,0,2.4,70,100,0,1,"1.0141972242422383"
L,kinfit,down_pileup,5,0,2.4,100,140,0,1,"1.005502811022037"
L,kinfit,down_pileup,5,0,2.4,140,200,0,1,"0.9929451833517611"
L,kinfit,down_pileup,5,0,2.4,200,300,0,1,"0.9980453848215083"
L,kinfit,down_pileup,5,0,2.4,300,600,0,1,"1.0869355609154034"
L,kinfit,down_statistic,5,0,2.4,30,50,0,1,"1.1509345362428576"
L,kinfit,down_statistic,5,0,2.4,50,70,0,1,"1.044896034989506"
L,kinfit,down_statistic,5,0,2.4,70,100,0,1,"1.00873060291633"
L,kinfit,down_statistic,5,0,2.4,100,140,0,1,"0.9992214553058147"
L,kinfit,down_statistic,5,0,2.4,140,200,0,1,"0.9897047388367355"
L,kinfit,down_statistic,5,0,2.4,200,300,0,1,"0.990854995790869"
L,kinfit,down_statistic,5,0,2.4,300,600,0,1,"1.0731466449797153"
L,kinfit,down_tune,5,0,2.4,30,50,0,1,"1.1535349025619688"
L,kinfit,down_tune,5,0,2.4,50,70,0,1,"1.048213699360499"
L,kinfit,down_tune,5,0,2.4,70,100,0,1,"1.0141972273776183"
L,kinfit,down_tune,5,0,2.4,100,140,0,1,"1.0055027317646363"
L,kinfit,down_tune,5,0,2.4,140,200,0,1,"0.9929451472886646"
L,kinfit,down_tune,5,0,2.4,200,300,0,1,"0.9980435891192547"
L,kinfit,down_tune,5,0,2.4,300,600,0,1,"1.086929391911994"
L,kinfit,up,5,0,2.4,30,50,0,1,"1.1566099405099302"
L,kinfit,up,5,0,2.4,50,70,0,1,"1.0515927188049006"
L,kinfit,up,5,0,2.4,70,100,0,1,"1.0197117095434058"
L,kinfit,up,5,0,2.4,100,140,0,1,"1.011822111383466"
L,kinfit,up,5,0,2.4,140,200,0,1,"0.9963483530407048"
L,kinfit,up,5,0,2.4,200,300,0,1,"1.0055844387319195"
L,kinfit,up,5,0,2.4,300,600,0,1,"1.1020599431129952"
L,kinfit,up_hdamp,5,0,2.4,30,50,0,1,"1.1535368500350138"
L,kinfit,up_hdamp,5,0,2.4,50,70,0,1,"1.0482137656006358"
L,kinfit,up_hdamp,5,0,2.4,70,100,0,1,"1.0141975235056293"
L,kinfit,up_hdamp,5,0,2.4,100,140,0,1,"1.0055031468875768"
L,kinfit,up_hdamp,5,0,2.4,140,200,0,1,"0.9929453059760363"
L,kinfit,up_hdamp,5,0,2.4,200,300,0,1,"0.9980475894599943"
L,kinfit,up_hdamp,5,0,2.4,300,600,0,1,"1.086959702568695"
L,kinfit,up_jer,5,0,2.4,30,50,0,1,"1.1535358469478183"
L,kinfit,up_jer,5,0,2.4,50,70,0,1,"1.0482137229248565"
L,kinfit,up_jer,5,0,2.4,70,100,0,1,"1.0141972320012087"
L,kinfit,up_jer,5,0,2.4,100,140,0,1,"1.005502842219414"
L,kinfit,up_jer,5,0,2.4,140,200,0,1,"0.992945201509329"
L,kinfit,up_jer,5,0,2.4,200,300,0,1,"0.9980453961150175"
L,kinfit,up_jer,5,0,2.4,300,600,0,1,"1.0869364897097427"
L,kinfit,up_jes,5,0,2.4,30,50,0,1,"1.1535358921651664"
L,kinfit,up_jes,5,0,2.4,50,70,0,1,"1.0482138920253874"
L,kinfit,up_jes,5,0,2.4,70,100,0,1,"1.0141972882676242"
L,kinfit,up_jes,5,0,2.4,100,140,0,1,"1.0055028234829138"
L,kinfit,up_jes,5,0,2.4,140,200,0,1,"0.9929451967273621"
L,kinfit,up_jes,5,0,2.4,200,300,0,1,"0.9980455342019106"
L,kinfit,up_jes,5,0,2.4,300,600,0,1,"1.0869395700102018"
L,kinfit,up_topmass,5,0,2.4,30,50,0,1,"1.1535365193762495"
L,kinfit,up_topmass,5,0,2.4,50,70,0,1,"1.0482138886828238"
L,kinfit,up_topmass,5,0,2.4,70,100,0,1,"1.0141973939890114"
L,kinfit,up_topmass,5,0,2.4,100,140,0,1,"1.0055028481274668"
L,kinfit,up_topmass,5,0,2.4,140,200,0,1,"0.9929460958550118"
L,kinfit,up_topmass,5,0,2.4,200,300,0,1,"0.9980463595692166"
L,kinfit,up_topmass,5,0,2.4,300,600,0,1,"1.0869404666490006"
L,kinfit,up_pileup,5,0,2.4,30,50,0,1,"1.153535848899594"
L,kinfit,up_pileup,5,0,2.4,50,70,0,1,"1.048213722008203"
L,kinfit,up_pileup,5,0,2.4,70,100,0,1,"1.0141972364358622"
L,kinfit,up_pileup,5,0,2.4,100,140,0,1,"1.0055028290078702"
L,kinfit,up_pileup,5,0,2.4,140,200,0,1,"0.9929452051370085"
L,kinfit,up_pileup,5,0,2.4,200,300,0,1,"0.998045384946253"
L,kinfit,up_pileup,5,0,2.4,300,600,0,1,"1.0869371483588885"
L,kinfit,up_statistic,5,0,2.4,30,50,0,1,"1.156137149548158"
L,kinfit,up_statistic,5,0,2.4,50,70,0,1,"1.0515314056538045"
L,kinfit,up_statistic,5,0,2.4,70,100,0,1,"1.0196638577617705"
L,kinfit,up_statistic,5,0,2.4,100,140,0,1,"1.0117841847240925"
L,kinfit,up_statistic,5,0,2.4,140,200,0,1,"0.996185649652034"
L,kinfit,up_statistic,5,0,2.4,200,300,0,1,"1.0052357739768922"
L,kinfit,up_statistic,5,0,2.4,300,600,0,1,"1.1007260642945766"
L,kinfit,up_tune,5,0,2.4,30,50,0,1,"1.1535367832290468"
L,kinfit,up_tune,5,0,2.4,50,70,0,1,"1.0482137412828116"
L,kinfit,up_tune,5,0,2.4,70,100,0,1,"1.0141972333004823"
L,kinfit,up_tune,5,0,2.4,100,140,0,1,"1.005502908265271"
L,kinfit,up_tune,5,0,2.4,140,200,0,1,"0.992945241200105"
L,kinfit,up_tune,5,0,2.4,200,300,0,1,"0.9980471806485065"
L,kinfit,up_tune,5,0,2.4,300,600,0,1,"1.086943317362298"
M,kinfit,central,5,0,2.4,30,50,0,1,"0.9716804027557373"
M,kinfit,central,5,0,2.4,50,70,0,1,"0.966935932636261"
M,kinfit,central,5,0,2.4,70,100,0,1,"0.970343828201294"
M,kinfit,central,5,0,2.4,100,140,0,1,"0.9690669775009155"
M,kinfit,central,5,0,2.4,140,200,0,1,"0.9658105373382568"
M,kinfit,central,5,0,2.4,200,300,0,1,"0.9732764959335327"
M,kinfit,central,5,0,2.4,300,600,0,1,"1.044585943222046"
M,kinfit,down,5,0,2.4,30,50,0,1,"0.9653717260521947"
M,kinfit,down,5,0,2.4,50,70,0,1,"0.9610745707928599"
M,kinfit,down,5,0,2.4,70,100,0,1,"0.9652660634068478"
M,kinfit,down,5,0,2.4,100,140,0,1,"0.965494098045838"
M,kinfit,down,5,0,2.4,140,200,0,1,"0.9622025737243645"
M,kinfit,down,5,0,2.4,200,300,0,1,"0.9681364671339775"
M,kinfit,down,5,0,2.4,300,600,0,1,"1.0270750327428568"
M,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"0.97167946022455"
M,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"0.9669358102833163"
M,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"0.9703434873467494"
M,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9690667690705217"
M,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9658101729137343"
M,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.9732745743131623"
M,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.0445644314746545"
M,kinfit,down_jer,5,0,2.4,30,50,0,1,"0.9716803412591153"
M,kinfit,down_jer,5,0,2.4,50,70,0,1,"0.9669359134068349"
M,kinfit,down_jer,5,0,2.4,70,100,0,1,"0.9703437717834014"
M,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9690669741822466"
M,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9658102110446967"
M,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9732764182036879"
M,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.0445858777765693"
M,kinfit,down_jes,5,0,2.4,30,50,0,1,"0.9716801548736349"
M,kinfit,down_jes,5,0,2.4,50,70,0,1,"0.9669358442442331"
M,kinfit,down_jes,5,0,2.4,70,100,0,1,"0.9703437542303526"
M,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9690669594993118"
M,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.9658105307090494"
M,kinfit,down_jes,5,0,2.4,200,300,0,1,"0.9732750342026861"
M,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.0445850960584124"
M,kinfit,down_topmass,5,0,2.4,30,50,0,1,"0.971680283777598"
M,kinfit,down_topmass,5,0,2.4,50,70,0,1,"0.9669354988017806"
M,kinfit,down_topmass,5,0,2.4,70,100,0,1,"0.970343429959299"
M,kinfit,down_topmass,5,0,2.4,100,140,0,1,"0.9690669420361635"
M,kinfit,down_topmass,5,0,2.4,140,200,0,1,"0.965809399013267"
M,kinfit,down_topmass,5,0,2.4,200,300,0,1,"0.973276188692366"
M,kinfit,down_topmass,5,0,2.4,300,600,0,1,"1.0445833354213185"
M,kinfit,down_pileup,5,0,2.4,30,50,0,1,"0.971680317089116"
M,kinfit,down_pileup,5,0,2.4,50,70,0,1,"0.9669359222356171"
M,kinfit,down_pileup,5,0,2.4,70,100,0,1,"0.9703438273587004"
M,kinfit,down_pileup,5,0,2.4,100,140,0,1,"0.9690669583952705"
M,kinfit,down_pileup,5,0,2.4,140,200,0,1,"0.965810471618024"
M,kinfit,down_pileup,5,0,2.4,200,300,0,1,"0.9732764698516752"
M,kinfit,down_pileup,5,0,2.4,300,600,0,1,"1.0445846047439176"
M,kinfit,down_statistic,5,0,2.4,30,50,0,1,"0.9654894028790295"
M,kinfit,down_statistic,5,0,2.4,50,70,0,1,"0.961144735570997"
M,kinfit,down_statistic,5,0,2.4,70,100,0,1,"0.9653530335053802"
M,kinfit,down_statistic,5,0,2.4,100,140,0,1,"0.9655463304370642"
M,kinfit,down_statistic,5,0,2.4,140,200,0,1,"0.9625072805210948"
M,kinfit,down_statistic,5,0,2.4,200,300,0,1,"0.9686485473066568"
M,kinfit,down_statistic,5,0,2.4,300,600,0,1,"1.0286872871220112"
M,kinfit,down_tune,5,0,2.4,30,50,0,1,"0.9716803883881333"
M,kinfit,down_tune,5,0,2.4,50,70,0,1,"0.9669357892465733"
M,kinfit,down_tune,5,0,2.4,70,100,0,1,"0.97034382286565"
M,kinfit,down_tune,5,0,2.4,100,140,0,1,"0.9690668913101268"
M,kinfit,down_tune,5,0,2.4,140,200,0,1,"0.9658103328349306"
M,kinfit,down_tune,5,0,2.4,200,300,0,1,"0.9732752883500515"
M,kinfit,down_tune,5,0,2.4,300,600,0,1,"1.04455844913738"
M,kinfit,up,5,0,2.4,30,50,0,1,"0.9779890794592799"
M,kinfit,up,5,0,2.4,50,70,0,1,"0.9727972944796621"
M,kinfit,up,5,0,2.4,70,100,0,1,"0.97542159299574"
M,kinfit,up,5,0,2.4,100,140,0,1,"0.9726398569559931"
M,kinfit,up,5,0,2.4,140,200,0,1,"0.9694185009521492"
