wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"1.1053152084350586"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.3433136488608108"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.9338783485295488"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"1.2662971265633534"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"1.0965255498886108"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.0989820957183838"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.1124138832092285"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.107367753982544"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.094042420387268"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.105320930480957"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.1441470384597778"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"1.105320930480957"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"1.109736680984497"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"1.1049413681030273"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"1.105320930480957"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"1.113035255889745"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"1.0975951609803722"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.126178774489013"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"1.0844516423811041"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.2744800740895006"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.9361503427806167"
L,ltsv,central,5,0,2.4,30.0,50.0,0,1,"0.9635022282600403"
L,ltsv,up,5,0,2.4,30.0,50.0,0,1,"1.0283797427057009"
L,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.9016751585799232"
L,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"0.9813185650197226"
L,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"0.9621583223342896"
L,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"0.9680821299552917"
L,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"0.957818329334259"
L,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9760872721672058"
L,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9506564736366272"
L,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9635030031204224"
L,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9733535647392273"
L,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"0.9635030031204224"
L,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"0.9606389403343201"
L,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"0.9635231494903564"
L,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"0.9635030031204224"
L,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"0.9663396177717894"
L,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"0.9606648387482911"
L,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"0.9686188113367659"
L,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"0.9583856451833147"
L,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"1.0233402283193302"
L,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.9036642282007503"
L,ltsv,central,5,0,2.4,50.0,70.0,0,1,"1.1300029754638672"
L,ltsv,up,5,0,2.4,50.0,70.0,0,1,"1.2241352153534273"
L,ltsv,down,5,0,2.4,50.0,70.0,0,1,"1.0209964438276893"
L,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"1.1300029754638672"
L,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"1.0755039879868549"
L,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.133080244064331"
L,ltsv,down_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.1268432140350342"
L,ltsv,up_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.149795651435852"
L,ltsv,down_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1102150678634644"
L,ltsv,up_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1299976110458374"
L,ltsv,down_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.128920316696167"
L,ltsv,up_dmux,5,0,2.4,50.0,70.0,0,1,"1.1299976110458374"
L,ltsv,down_dmux,5,0,2.4,50.0,70.0,0,1,"1.1230101585388184"
L,ltsv,up_ksl,5,0,2.4,50.0,70.0,0,1,"1.128998875617981"
L,ltsv,down_ksl,5,0,2.4,50.0,70.0,0,1,"1.1299976110458374"
L,ltsv,up_cb,5,0,2.4,50.0,70.0,0,1,"1.1302152049066259"
L,ltsv,down_cb,5,0,2.4,50.0,70.0,0,1,"1.1297907460211085"
L,ltsv,up_add,5,0,2.4,50.0,70.0,0,1,"1.146527252648824"
L,ltsv,down_add,5,0,2.4,50.0,70.0,0,1,"1.1134786982789104"
L,ltsv,up_statistic,5,0,2.4,50.0,70.0,0,1,"1.2204233414718422"
L,ltsv,down_statistic,5,0,2.4,50.0,70.0,0,1,"1.0395826094558922"
L,ltsv,central,5,0,2.4,70.0,100.0,0,1,"1.048933744430542"
L,ltsv,up,5,0,2.4,70.0,100.0,0,1,"1.1369272077414183"
L,ltsv,down,5,0,2.4,70.0,100.0,0,1,"0.9786418292701563"
L,ltsv,up_jes,5,0,2.4,70.0,100.0,0,1,"1.0957741242570425"
L,ltsv,down_jes,5,0,2.4,70.0,100.0,0,1,"1.0360289812088013"
L,ltsv,up_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"1.058152437210083"
L,ltsv,down_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"1.0374737977981567"
L,ltsv,up_bfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0806729793548584"
L,ltsv,down_bfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0329945087432861"
