wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
T,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.0041"
T,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.718369"
T,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.28983"
T,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"0.979338"
T,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.02886"
T,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"0.930329"
T,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"1.07787"
T,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"1.24869"
T,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.75951"
T,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"0.879424"
T,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"1.12878"
T,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.0034"
T,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.0048"
T,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.00764"
T,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.00056"
T,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.00589"
T,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"1.00231"
T,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.00293"
T,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"1.00527"
T,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"1.01819"
T,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"0.990009"
T,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"1.00261"
T,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"1.00559"
T,sys8,central,5,0,2.5,30.0,50.0,0,1,"1.00099"
T,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.926689"
T,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.07529"
T,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.991911"
