wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"1.0028482922136"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.9766065666690914"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"0.9887312715666016"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.9734859372295748"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"1.0063924219800326"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9828173521997919"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"1.0028482922136-0.051768939085821544"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.9766065666690914-0.03977590624472236"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"0.9887312715666016-0.02626029968212089"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.9734859372295748-0.018322125871099153"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"1.0063924219800326-0.015236337865891585"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9828173521997919-0.02630131721915827"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"1.0028482922136+0.051768939085821544"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.9766065666690914+0.03977590624472236"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"0.9887312715666016+0.02626029968212089"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.9734859372295748+0.018322125871099153"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"1.0063924219800326+0.015236337865891585"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9828173521997919+0.02630131721915827"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.0028482922136-0.04438034199342179"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9766065666690914-0.036529699892912694"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.9887312715666016-0.02504565648681216"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9734859372295748-0.017887736364213196"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"1.0063924219800326-0.01495296588255665"
