wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"0.996777355670929"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.2491451342152151"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.8098283771672667"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"1.1626485647154512"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"0.9920037388801575"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"0.9909061193466187"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.0033068656921387"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0047394037246704"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"0.9830607771873474"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"0.9967772960662842"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.033400297164917"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"0.9967772960662842"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"1.0017344951629639"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"0.9964290261268616"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"0.9967772960662842"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"1.0030992794966753"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"0.9904554318451826"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.105633973435623"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"0.8879207379062348"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.1477899406718608"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.8457647706699971"
L,ltsv,central,5,0,2.4,30.0,50.0,0,1,"1.0276333093643188"
L,ltsv,up,5,0,2.4,30.0,50.0,0,1,"1.0990773914872483"
L,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.9598920288203491"
L,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"1.0477542028035782"
L,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"1.0257656574249268"
L,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.032410740852356"
L,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.0217008590698242"
L,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0400668382644653"
L,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0146398544311523"
L,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0276318788528442"
L,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0397636890411377"
L,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"1.0276318788528442"
L,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"1.0250787734985352"
L,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"1.0276544094085693"
L,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"1.0276318788528442"
L,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"1.0288545305862817"
L,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"1.026412088142356"
L,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"1.0383542028114408"
L,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"1.016912415917197"
L,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"1.0928890059444936"
L,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.9623776127841441"
L,ltsv,central,5,0,2.4,50.0,70.0,0,1,"1.126330018043518"
L,ltsv,up,5,0,2.4,50.0,70.0,0,1,"1.2194560263676637"
L,ltsv,down,5,0,2.4,50.0,70.0,0,1,"1.0188065404449087"
L,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"1.126330018043518"
L,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"1.0732442383777034"
L,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.1292743682861328"
L,ltsv,down_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.1234228610992432"
L,ltsv,up_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.145470142364502"
L,ltsv,down_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1066147089004517"
L,ltsv,up_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1263307332992554"
L,ltsv,down_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1253101825714111"
L,ltsv,up_dmux,5,0,2.4,50.0,70.0,0,1,"1.1263307332992554"
L,ltsv,down_dmux,5,0,2.4,50.0,70.0,0,1,"1.1195071935653687"
L,ltsv,up_ksl,5,0,2.4,50.0,70.0,0,1,"1.1253188848495483"
L,ltsv,down_ksl,5,0,2.4,50.0,70.0,0,1,"1.1263307332992554"
L,ltsv,up_cb,5,0,2.4,50.0,70.0,0,1,"1.126612746987209"
L,ltsv,down_cb,5,0,2.4,50.0,70.0,0,1,"1.1260472890998272"
L,ltsv,up_add,5,0,2.4,50.0,70.0,0,1,"1.1316769144711696"
L,ltsv,down_add,5,0,2.4,50.0,70.0,0,1,"1.1209831216158666"
L,ltsv,up_statistic,5,0,2.4,50.0,70.0,0,1,"1.21671058773623"
L,ltsv,down_statistic,5,0,2.4,50.0,70.0,0,1,"1.035949448350806"
L,ltsv,central,5,0,2.4,70.0,100.0,0,1,"1.0520451068878174"
L,ltsv,up,5,0,2.4,70.0,100.0,0,1,"1.1410802383331473"
L,ltsv,down,5,0,2.4,70.0,100.0,0,1,"0.9808830536506177"
L,ltsv,up_jes,5,0,2.4,70.0,100.0,0,1,"1.099679169018215"
L,ltsv,down_jes,5,0,2.4,70.0,100.0,0,1,"1.0379908084869385"
L,ltsv,up_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"1.0612211227416992"
L,ltsv,down_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"1.0407339334487915"
L,ltsv,up_bfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0841639041900635"
L,ltsv,down_bfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0357129573822021"
L,ltsv,up_cfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0520448684692383"
L,ltsv,down_cfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0604820251464844"
L,ltsv,up_dmux,5,0,2.4,70.0,100.0,0,1,"1.0520448684692383"
L,ltsv,down_dmux,5,0,2.4,70.0,100.0,0,1,"1.0512815713882446"
L,ltsv,up_ksl,5,0,2.4,70.0,100.0,0,1,"1.0520997047424316"
L,ltsv,down_ksl,5,0,2.4,70.0,100.0,0,1,"1.0520448684692383"
L,ltsv,up_cb,5,0,2.4,70.0,100.0,0,1,"1.0527796518227073"
L,ltsv,down_cb,5,0,2.4,70.0,100.0,0,1,"1.0513105619529275"
L,ltsv,up_add,5,0,2.4,70.0,100.0,0,1,"1.059311915728241"
L,ltsv,down_add,5,0,2.4,70.0,100.0,0,1,"1.0447782980473939"
L,ltsv,up_statistic,5,0,2.4,70.0,100.0,0,1,"1.1184894337934963"
L,ltsv,down_statistic,5,0,2.4,70.0,100.0,0,1,"0.9856007799821386"
L,ltsv,central,5,0,2.4,100.0,140.0,0,1,"1.047973394393921"
L,ltsv,up,5,0,2.4,100.0,140.0,0,1,"1.1140293005024975"
L,ltsv,down,5,0,2.4,100.0,140.0,0,1,"0.9825470663435472"
L,ltsv,up_jes,5,0,2.4,100.0,140.0,0,1,"1.0579109167569896"
L,ltsv,down_jes,5,0,2.4,100.0,140.0,0,1,"1.0396676509380236"
L,ltsv,up_gluonsplitting,5,0,2.4,100.0,140.0,0,1,"1.0546061992645264"
L,ltsv,down_gluonsplitting,5,0,2.4,100.0,140.0,0,1,"1.0405890941619873"
L,ltsv,up_bfragmentation,5,0,2.4,100.0,140.0,0,1,"1.0756486654281616"
L,ltsv,down_bfragmentation,5,0,2.4,100.0,140.0,0,1,"1.0219157934188843"
L,ltsv,up_cfragmentation,5,0,2.4,100.0,140.0,0,1,"1.0479754209518433"
L,ltsv,down_cfragmentation,5,0,2.4,100.0,140.0,0,1,"1.047912836074829"
L,ltsv,up_dmux,5,0,2.4,100.0,140.0,0,1,"1.0479754209518433"
L,ltsv,down_dmux,5,0,2.4,100.0,140.0,0,1,"1.0431417226791382"
L,ltsv,up_ksl,5,0,2.4,100.0,140.0,0,1,"1.0477995872497559"
L,ltsv,down_ksl,5,0,2.4,100.0,140.0,0,1,"1.0479754209518433"
L,ltsv,up_cb,5,0,2.4,100.0,140.0,0,1,"1.050213252556805"
L,ltsv,down_cb,5,0,2.4,100.0,140.0,0,1,"1.0457335362310365"
L,ltsv,up_add,5,0,2.4,100.0,140.0,0,1,"1.0669690008787691"
L,ltsv,down_add,5,0,2.4,100.0,140.0,0,1,"1.0289777879090727"
L,ltsv,up_statistic,5,0,2.4,100.0,140.0,0,1,"1.1035820889492964"
L,ltsv,down_statistic,5,0,2.4,100.0,140.0,0,1,"0.9923646998385455"
L,ltsv,central,5,0,2.4,140.0,200.0,0,1,"1.0371201038360596"
L,ltsv,up,5,0,2.4,140.0,200.0,0,1,"1.105350418504937"
L,ltsv,down,5,0,2.4,140.0,200.0,0,1,"0.9607308113514779"
L,ltsv,up_jes,5,0,2.4,140.0,200.0,0,1,"1.0371201038360596"
L,ltsv,down_jes,5,0,2.4,140.0,200.0,0,1,"1.005298097366452"
L,ltsv,up_gluonsplitting,5,0,2.4,140.0,200.0,0,1,"1.0479564666748047"
L,ltsv,down_gluonsplitting,5,0,2.4,140.0,200.0,0,1,"1.0239006280899048"
L,ltsv,up_bfragmentation,5,0,2.4,140.0,200.0,0,1,"1.0542590618133545"
L,ltsv,down_bfragmentation,5,0,2.4,140.0,200.0,0,1,"1.016982078552246"
L,ltsv,up_cfragmentation,5,0,2.4,140.0,200.0,0,1,"1.0371190309524536"
L,ltsv,down_cfragmentation,5,0,2.4,140.0,200.0,0,1,"1.039215326309204"
