wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"1.0025488688922002"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9941391473087079"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549-0.054583040373854766"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383-0.0408010985406264"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007-0.027741105126156608"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236-0.017944709016414068"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"1.0025488688922002-0.015336100443129623"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9941391473087079-0.02479788107740826"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549+0.054583040373854766"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383+0.0408010985406264"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007+0.027741105126156608"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236+0.017944709016414068"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"1.0025488688922002+0.015336100443129623"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9941391473087079+0.02479788107740826"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549-0.04601984813058533"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383-0.03705043558351714"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007-0.026021436951604082"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236-0.01759608762157851"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"1.0025488688922002-0.014927734012049453"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9941391473087079-0.024259569382027328"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549+0.04601984813058533"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383+0.03705043558351714"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007+0.026021436951604082"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236+0.01759608762157851"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"1.0025488688922002+0.014927734012049453"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9941391473087079+0.024259569382027328"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549-0.01027109959201713"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383-0.004723826751402883"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007-0.0018967086665418898"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236-0.0010743652161634115"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"1.0025488688922002-0.0005424326611184731"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9941391473087079-0.00044783957658827214"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549+0.01027109959201713"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383+0.004723826751402883"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007+0.0018967086665418898"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236+0.0010743652161634115"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"1.0025488688922002+0.0005424326611184731"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9941391473087079+0.00044783957658827214"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549-0.013411690922802075"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383-0.007999358935120616"
L,tnp,down_jes,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007-0.004455743349945808"
L,tnp,down_jes,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236-0.0016389899413669527"
L,tnp,down_jes,5,0,2.4,140.0,200.0,0.0,1.0,"1.0025488688922002-0.0014809818863782834"
L,tnp,down_jes,5,0,2.4,200.0,300.0,0.0,1.0,"0.9941391473087079-0.0025680211503850735"
L,tnp,up_jes,5,0,2.4,30.0,50.0,0.0,1.0,"1.024304283671549+0.013411690922802075"
L,tnp,up_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9835857114617383+0.007999358935120616"
L,tnp,up_jes,5,0,2.4,70.0,100.0,0.0,1.0,"0.9903375292227007+0.004455743349945808"
L,tnp,up_jes,5,0,2.4,100.0,140.0,0.0,1.0,"0.977414083588236+0.0016389899413669527"
