wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615-0.07750062184037725"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505-0.09523278261047075"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707-0.07229707567765012"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132-0.06199881259852372"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037-0.09036211578143451"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809-0.14810662639567543"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615+0.07750062184037725"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505+0.09523278261047075"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707+0.07229707567765012"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132+0.06199881259852372"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037+0.09036211578143451"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809+0.14810662639567543"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615-0.06760026727559244"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505-0.08583092942491347"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707-0.06709901322258605"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132-0.06022422157521018"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037-0.08707077373123981"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809-0.14548792913896477"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615+0.06760026727559244"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505+0.08583092942491347"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707+0.06709901322258605"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132+0.06022422157521018"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037+0.08707077373123981"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809+0.14548792913896477"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615-0.00911141427158443"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505-0.012804815306827184"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707-0.015393387836650771"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132-0.009569340892884241"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037-0.0022530308516875777"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809-0.005060579145079282"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615+0.00911141427158443"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505+0.012804815306827184"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707+0.015393387836650771"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132+0.009569340892884241"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037+0.0022530308516875777"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809+0.005060579145079282"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615-0.014296763445514364"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505-0.017821660051216298"
L,tnp,down_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707-0.007739290385202991"
L,tnp,down_jes,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132-0.006450213269296805"
L,tnp,down_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037-0.005455081708389707"
L,tnp,down_jes,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809-0.013296979792695523"
L,tnp,up_jes,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615+0.014296763445514364"
L,tnp,up_jes,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505+0.017821660051216298"
L,tnp,up_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707+0.007739290385202991"
L,tnp,up_jes,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132+0.006450213269296805"
L,tnp,up_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037+0.005455081708389707"
L,tnp,up_jes,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809+0.013296979792695523"
L,tnp,down_jer,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615-0.009158649613642537"
L,tnp,down_jer,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505-0.013534662080348573"
L,tnp,down_jer,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707-0.005831723379338212"
L,tnp,down_jer,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132-0.004023763902856972"
L,tnp,down_jer,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037-0.004119241824461306"
L,tnp,down_jer,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809-0.003853324402355455"
L,tnp,up_jer,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615+0.009158649613642537"
L,tnp,up_jer,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505+0.013534662080348573"
L,tnp,up_jer,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707+0.005831723379338212"
L,tnp,up_jer,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132+0.004023763902856972"
L,tnp,up_jer,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037+0.004119241824461306"
L,tnp,up_jer,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809+0.003853324402355455"
L,tnp,down_pdf,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615-0.0024578889273271748"
L,tnp,down_pdf,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505-0.0016051062108921612"
L,tnp,down_pdf,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707-0.0012100788435429792"
L,tnp,down_pdf,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132-0.0008157688003826759"
L,tnp,down_pdf,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037-0.0018188054772107453"
L,tnp,down_pdf,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809-0.0020087648236098545"
L,tnp,up_pdf,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615+0.0024578889273271748"
L,tnp,up_pdf,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505+0.0016051062108921612"
L,tnp,up_pdf,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707+0.0012100788435429792"
L,tnp,up_pdf,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132+0.0008157688003826759"
L,tnp,up_pdf,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037+0.0018188054772107453"
L,tnp,up_pdf,5,0,2.4,200.0,300.0,0.0,1.0,"1.030820569383809+0.0020087648236098545"
L,tnp,down_bdecay,5,0,2.4,30.0,50.0,0.0,1.0,"1.1776410373644615-0.00084697097372159"
L,tnp,down_bdecay,5,0,2.4,50.0,70.0,0.0,1.0,"1.0224848067202505-0.0008374068717700685"
L,tnp,down_bdecay,5,0,2.4,70.0,100.0,0.0,1.0,"1.0591517475900707-0.0003718278742823039"
L,tnp,down_bdecay,5,0,2.4,100.0,140.0,0.0,1.0,"1.017149373030132-0.0006591556158851804"
L,tnp,down_bdecay,5,0,2.4,140.0,200.0,0.0,1.0,"0.92872371234037-0.00021386517355656697"
