wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283-0.23532449020765467"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753-0.1330544839166164"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401-0.09933789316665115"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033-0.06533277336568034"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226-0.10393751025630578"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493-0.14650184362563565"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283+0.23532449020765467"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753+0.1330544839166164"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401+0.09933789316665115"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033+0.06533277336568034"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226+0.10393751025630578"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493+0.14650184362563565"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283-0.19034121974290055"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753-0.11719711632462566"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401-0.09204832029480242"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033-0.0638633078367471"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226-0.09902077825123257"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493-0.14257395243581272"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283+0.19034121974290055"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753+0.11719711632462566"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401+0.09204832029480242"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033+0.0638633078367471"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226+0.09902077825123257"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493+0.14257395243581272"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283-0.06273130145143721"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753-0.017174331509169482"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401-0.011692439213912475"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033-0.00548613189810382"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226-0.0017431961957933414"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493-0.003584946758473155"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283+0.06273130145143721"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753+0.017174331509169482"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401+0.011692439213912475"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033+0.00548613189810382"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226+0.0017431961957933414"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493+0.003584946758473155"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283-0.042299831085614054"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753-0.020856164014404908"
L,tnp,down_jes,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401-0.013366140020539671"
L,tnp,down_jes,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033-0.007159403804128558"
L,tnp,down_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226-0.008482975143218144"
L,tnp,down_jes,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493-0.016177084221368494"
L,tnp,up_jes,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283+0.042299831085614054"
L,tnp,up_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753+0.020856164014404908"
L,tnp,up_jes,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401+0.013366140020539671"
L,tnp,up_jes,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033+0.007159403804128558"
L,tnp,up_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226+0.008482975143218144"
L,tnp,up_jes,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493+0.016177084221368494"
L,tnp,down_jer,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283-0.04015265516530277"
L,tnp,down_jer,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753-0.02076872866807038"
L,tnp,down_jer,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401-0.009851189132359009"
L,tnp,down_jer,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033-0.0047364564096644"
L,tnp,down_jer,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226-0.006311295987214806"
L,tnp,down_jer,5,0,2.4,200.0,300.0,0.0,1.0,"1.0575941712790493-0.011338131732394749"
L,tnp,up_jer,5,0,2.4,30.0,50.0,0.0,1.0,"0.7972290799743283+0.04015265516530277"
L,tnp,up_jer,5,0,2.4,50.0,70.0,0.0,1.0,"0.9134027513333753+0.02076872866807038"
L,tnp,up_jer,5,0,2.4,70.0,100.0,0.0,1.0,"0.9156053021394401+0.009851189132359009"
L,tnp,up_jer,5,0,2.4,100.0,140.0,0.0,1.0,"0.9891977834666033+0.0047364564096644"
L,tnp,up_jer,5,0,2.4,140.0,200.0,0.0,1.0,"0.8882578246380226+0.006311295987214806"
