wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.9911310706470693
L,wc,central,4,0,2.4,30.0,40.0,0,1,0.9786187353550223
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.9890783638187232
L,wc,central,4,0,2.4,60.0,80.0,0,1,1.0020047201879618
L,wc,central,4,0,2.4,80.0,140.0,0,1,1.001669290285306
L,wc,central,4,0,2.4,140.0,200.0,0,1,0.951312056105869
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0049525789718803
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9886950148840173
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,1.001609740024814
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.019720004505515
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0262390347792731
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.0324872348880831
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9774988430943431
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9686447327282488
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9767031567615221
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.984595126903838
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9776828236761689
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.8763134341669035
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0040786188748188
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9861191098272504
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.996263221099819
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,1.012605106266675
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.0128393793868846
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.0026346401078836
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.972791619671453
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9710454789455263
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9793459062317953
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9928773079610543
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9863912362888659
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.9323092512017983
M,wc,central,4,0,2.4,25.0,30.0,0,1,1.0203983363963167
M,wc,central,4,0,2.4,30.0,40.0,0,1,0.9756508230654233
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9755433178504229
M,wc,central,4,0,2.4,60.0,80.0,0,1,0.997936829878439
M,wc,central,4,0,2.4,80.0,140.0,0,1,1.0092665146692419
M,wc,central,4,0,2.4,140.0,200.0,0,1,1.0130860344254902
M,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0704823187913113
M,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.007453926062065
M,wc,up_stat,4,0,2.4,40.0,60.0,0,1,1.0026669736635585
M,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.0369595397652949
M,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0603482502017874
M,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.1894789453241592
M,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9726374784672436
M,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9448443084282546
M,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9491490045919044
M,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.960370224181639
M,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9606200238543482
M,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.8620121025219223
M,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0742021958553323
M,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9976004036677906
M,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.985110230610303
M,wc,up_syst,4,0,2.4,60.0,80.0,0,1,1.0202905104263622
M,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.040452996540523
M,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.149290055537307
M,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9715120104046561
M,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.965421206525345
M,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9582148777145167
M,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9838883742390545
M,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9565565036227595
M,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.846059137502665
T,wc,central,4,0,2.4,25.0,30.0,0,1,1.0210340194339704
T,wc,central,4,0,2.4,30.0,40.0,0,1,0.9440383604078447
T,wc,central,4,0,2.4,40.0,60.0,0,1,0.9552340820202168
T,wc,central,4,0,2.4,60.0,80.0,0,1,0.9607683469896124
T,wc,central,4,0,2.4,80.0,140.0,0,1,0.9170889555400021
T,wc,central,4,0,2.4,140.0,200.0,0,1,0.9512732019252981
T,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.1005750742514777
T,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.993413755326885
T,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9950827237318108
T,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.014295656290189
T,wc,up_stat,4,0,2.4,80.0,140.0,0,1,0.9768409677423452
T,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.172216967143544
T,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9471845275997737
T,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.8970946399113195
T,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9169699465838752
T,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9100398411453128
T,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.8609454505593562
T,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.770640166133152
T,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0746060070483594
T,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9698897957035707
T,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9681043491198739
T,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9946043223230258
T,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.953432157381622
T,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.0726022209184627
T,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9232068840015586
T,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9224521917148204
T,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9214727729579829
T,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9294752923755143
T,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.8609060995449983
T,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.8221935139131692
XT,wc,central,4,0,2.4,25.0,30.0,0,1,0.97560101902795
XT,wc,central,4,0,2.4,30.0,40.0,0,1,0.9305338048168685
XT,wc,central,4,0,2.4,40.0,60.0,0,1,0.9117649891085254
XT,wc,central,4,0,2.4,60.0,80.0,0,1,0.9365630571489474
XT,wc,central,4,0,2.4,80.0,140.0,0,1,0.9011789358325629
XT,wc,central,4,0,2.4,140.0,200.0,0,1,1.0189736981872592
XT,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0703576806081567
XT,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9925778916000357
XT,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9589530852474404
XT,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.000411177377525
XT,wc,up_stat,4,0,2.4,80.0,140.0,0,1,0.9723213820816903
XT,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.3001986852142926
XT,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.889134710417048
XT,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.8723277955584444
XT,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.866879196804364
XT,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.8767492472996188
XT,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.8351729893442476
XT,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.7969726297419846
XT,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0499311113663508
XT,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9601506639539056
XT,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9284673952155523
XT,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9662739900776655
XT,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.943870499608289
XT,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.1578756862607948
XT,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.8424440201896826
XT,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.8992820085789652
XT,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.8697630037768505
XT,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.901922936569276
XT,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.8087950896450571
XT,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.8447893428870715
