wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.78528*(1+0.108618*x+-1.54314e-05*x*x+8.25148e-09*x*x*x)/(1+0.0783004*x)"
L,light,down,0,0,2.5,20,1000,0,1,"(0.78528*(1+0.108618*x+-1.54314e-05*x*x+8.25148e-09*x*x*x)/(1+0.0783004*x))*(1-(0.0416512+1.80322e-06*x+-5.86019e-09*x*x+3.91683e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.78528*(1+0.108618*x+-1.54314e-05*x*x+8.25148e-09*x*x*x)/(1+0.0783004*x))*(1-(0.0288836+1.29693e-06*x+-4.23119e-09*x*x+2.59924e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.78528*(1+0.108618*x+-1.54314e-05*x*x+8.25148e-09*x*x*x)/(1+0.0783004*x))*(1-(0.0300073+1.25805e-06*x+-4.0602e-09*x*x+2.93098e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.78528*(1+0.108618*x+-1.54314e-05*x*x+8.25148e-09*x*x*x)/(1+0.0783004*x))*(1+(0.0416512+1.80322e-06*x+-5.86019e-09*x*x+3.91683e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.78528*(1+0.108618*x+-1.54314e-05*x*x+8.25148e-09*x*x*x)/(1+0.0783004*x))*(1+(0.0288836+1.29693e-06*x+-4.23119e-09*x*x+2.59924e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.78528*(1+0.108618*x+-1.54314e-05*x*x+8.25148e-09*x*x*x)/(1+0.0783004*x))*(1+(0.0300073+1.25805e-06*x+-4.0602e-09*x*x+2.93098e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"-7.26359+8.74259*x/(0.905709+x)+-0.000512953*x+1.45115e-07*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(-7.26359+8.74259*x/(0.905709+x)+-0.000512953*x+1.45115e-07*x*x)*(1-(0.101416+1.96389e-06*x+-1.82599e-08*x*x+1.4103e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(-7.26359+8.74259*x/(0.905709+x)+-0.000512953*x+1.45115e-07*x*x)*(1-(0.0802281+1.42265e-05*x+-4.69997e-08*x*x+3.21316e-11*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-7.26359+8.74259*x/(0.905709+x)+-0.000512953*x+1.45115e-07*x*x)*(1-(0.0615432+-1.04958e-05*x+1.98132e-08*x*x+-1.11571e-11*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(-7.26359+8.74259*x/(0.905709+x)+-0.000512953*x+1.45115e-07*x*x)*(1+(0.101416+1.96389e-06*x+-1.82599e-08*x*x+1.4103e-11*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(-7.26359+8.74259*x/(0.905709+x)+-0.000512953*x+1.45115e-07*x*x)*(1+(0.0802281+1.42265e-05*x+-4.69997e-08*x*x+3.21316e-11*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-7.26359+8.74259*x/(0.905709+x)+-0.000512953*x+1.45115e-07*x*x)*(1+(0.0615432+-1.04958e-05*x+1.98132e-08*x*x+-1.11571e-11*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"0.675341*(1+0.135656*x+-8.20921e-05*x*x+5.35485e-08*x*x*x)/(1+0.0509619*x)"
